year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url,_score_key
2021,1,2021-W01-M04,4,5,Week 1 Recap (Won),ThreatLevelMidnight,138.26,129.38,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=1&mid1=5,"(129.38, 138.26)"
2021,2,2021-W02-M05,5,6,Week 2 Recap (Won),Pop Lockett Drop it,116.82,109.02,30,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=2&mid1=6,"(109.02, 116.82)"
2021,3,2021-W03-M05,5,7,Week 3 Recap (Lost),Post Mahomes,85.74,101.4,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=3&mid1=7,"(85.74, 101.4)"
2021,4,2021-W04-M06,6,8,Week 4 Recap (Won),Ginger FC,143.62,131.22,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=4&mid1=8,"(131.22, 143.62)"
2021,5,2021-W05-M06,6,9,Week 5 Recap (Lost),Big Sack Jack,114.88,126.7,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=5&mid1=9,"(114.88, 126.7)"
2021,6,2021-W06-M06,6,9,Week 6 Recap (Won),Big Sack Jack,127.48,101.84,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=6&mid1=9,"(101.84, 127.48)"
2021,8,2021-W08-M01,1,1,Week 8 Recap (Won),The Big Gronkowski,148.6,69.1,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=8&mid1=1,"(69.1, 148.6)"
2021,8,2021-W08-M06,6,9,Week 8 Recap (Lost),Big Sack Jack,69.1,148.6,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=8&mid1=9,"(69.1, 148.6)"
2021,9,2021-W09-M02,2,2,Week 9 Recap (Won),Malle ❤️ 🐸,82.98,75.24,30,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=2,"(75.24, 82.98)"
2021,9,2021-W09-M06,6,9,Week 9 Recap (Lost),Big Sack Jack,75.24,82.98,30,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=9,"(75.24, 82.98)"
