trade_id,year,transaction_id,transaction_key,timestamp,date,player,player_key,player_id,action,source_type,destination_type,source_team_yahoo,destination_team_yahoo,source_team,destination_team,status,source
2018-227,2018,227,380.l.941496.tr.227,1542731880,2018-11-20T11:38:00-05:00,James White,380.p.27658,27658,trade,team,team,Pop Lockett Drop it,PickUpYourBratsMalle,Pop Lockett Drop it,ThreatLevelMidnight,successful,yahoo_fantasy_api
2018-227,2018,227,380.l.941496.tr.227,1542731880,2018-11-20T11:38:00-05:00,Josh Gordon,380.p.26561,26561,trade,team,team,Pop Lockett Drop it,PickUpYourBratsMalle,Pop Lockett Drop it,ThreatLevelMidnight,successful,yahoo_fantasy_api
2018-227,2018,227,380.l.941496.tr.227,1542731880,2018-11-20T11:38:00-05:00,Matt Ryan,380.p.8780,8780,trade,team,team,Pop Lockett Drop it,PickUpYourBratsMalle,Pop Lockett Drop it,ThreatLevelMidnight,successful,yahoo_fantasy_api
2018-227,2018,227,380.l.941496.tr.227,1542731880,2018-11-20T11:38:00-05:00,Adam Thielen,380.p.27277,27277,trade,team,team,PickUpYourBratsMalle,Pop Lockett Drop it,ThreatLevelMidnight,Pop Lockett Drop it,successful,yahoo_fantasy_api
2018-227,2018,227,380.l.941496.tr.227,1542731880,2018-11-20T11:38:00-05:00,Kirk Cousins,380.p.25812,25812,trade,team,team,PickUpYourBratsMalle,Pop Lockett Drop it,ThreatLevelMidnight,Pop Lockett Drop it,successful,yahoo_fantasy_api
2018-227,2018,227,380.l.941496.tr.227,1542731880,2018-11-20T11:38:00-05:00,Zach Ertz,380.p.26658,26658,trade,team,team,PickUpYourBratsMalle,Pop Lockett Drop it,ThreatLevelMidnight,Pop Lockett Drop it,successful,yahoo_fantasy_api
2019-50,2019,50,390.l.322794.tr.50,1568964834,2019-09-20T03:33:54-04:00,George Kittle,390.p.30259,30259,trade,team,team,Pop Lockett Drop it,Post Mahomes,Pop Lockett Drop it,Post Mahomes,successful,yahoo_fantasy_api
2019-50,2019,50,390.l.322794.tr.50,1568964834,2019-09-20T03:33:54-04:00,Rashaad Penny,390.p.30997,30997,trade,team,team,Post Mahomes,Pop Lockett Drop it,Post Mahomes,Pop Lockett Drop it,successful,yahoo_fantasy_api
2019-168,2019,168,390.l.322794.tr.168,1571902144,2019-10-24T03:29:04-04:00,DJ Chark,390.p.31031,31031,trade,team,team,Post Mahomes,The Big Gronkowski,Post Mahomes,The Big Gronkowski,successful,yahoo_fantasy_api
2019-168,2019,168,390.l.322794.tr.168,1571902144,2019-10-24T03:29:04-04:00,James White,390.p.27658,27658,trade,team,team,Post Mahomes,The Big Gronkowski,Post Mahomes,The Big Gronkowski,successful,yahoo_fantasy_api
