rank,team,record,points_for,points_against,streak,waiver,moves,year,league_id
1,Post Mahomes,10-4-0,1697.22,1492.02,W-2,11,31,2024,673480
2,ThreatLevelMidnight,9-5-0,1580.42,1561.76,L-2,12,44,2024,673480
3,Patty Primetimes,8-6-0,1585.80,1483.62,W-1,10,8,2024,673480
4,Malle ❤️ 🐸,10-4-0,1530.74,1427.08,L-2,1,6,2024,673480
5,The Big Gronkowski,9-5-0,1493.86,1417.50,L-1,9,12,2024,673480
6,malle_dips_pouches,8-6-0,1535.96,1458.00,W-2,3,9,2024,673480
7,Voldemort,4-10-0,1507.64,1565.04,W-1,4,18,2024,673480
8,Buttermilk Puuump,5-9-0,1442.24,1523.28,W-1,5,9,2024,673480
9,Pop Lockett Drop it,6-8-0,1560.32,1623.90,L-1,8,17,2024,673480
10,Uncle Rico,6-8-0,1486.24,1630.30,W-2,2,8,2024,673480
11,Joe Mantegna,5-9-0,1408.58,1511.94,L-1,7,17,2024,673480
12,Ginger FC,4-10-0,1442.22,1576.80,L-6,6,13,2024,673480
