year,week,fantasy_team,opponent,team_score,opponent_score,side,lineup_slot,player,projection,fantasy_points,stat_summary,is_starter,is_bench,is_ir,source_url,source_table,source_row
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,QB,Patrick Mahomes,29.58,21.82,"223 Pass Yds, 1 Pass TD, 1 Rush TD",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,1
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,QB,Lamar Jackson,27.47,1.34,"9 Rush Yds, 11 Pass Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,1
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,WR,Christian Kirk,12.98,13.4,"104 Rec Yds, 6 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,2
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,WR,Amari Cooper,12.59,6.0,"40 Rec Yds, 4 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,2
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,WR,Ja'Marr Chase,12.99,13.2,"97 Rec Yds, 7 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,3
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,WR,Jaylen Waddle,11.73,1.4,"9 Rec Yds, 1 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,3
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,RB,Saquon Barkley,17.58,16.6,"63 Rush Yds, 1 Rush TD, 5 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,4
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,RB,Josh Jacobs,18.81,20.0,"144 Rush Yds, 1 Rush TD, 1 Fum Lost",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,4
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,RB,Isiah Pacheco,10.16,15.2,"66 Rush Yds, 1 Rush TD, 16 Rec Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,5
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,RB,Christian McCaffrey,16.86,24.6,"80 Rec Yds, 66 Rush Yds, 1 Rec TD",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,5
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,TE,Cole Kmet,6.68,10.2,"72 Rec Yds, 6 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,6
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,TE,Mark Andrews,12.04,7.4,"53 Rec Yds, 4 Rec, 1 Rush Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,6
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,W/R/T,Najee Harris,12.01,9.7,"86 Rush Yds, 6 Rec Yds, 1 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,7
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,W/R/T,DeVonta Smith,10.72,18.7,"102 Rec Yds, 1 Rec TD, 5 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,7
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,K,Robbie Gould,8.1,18.0,"3 FG 40-49, 1 FG 30-39, 3 PAT Made",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,8
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,K,Jason Myers,8.71,10.0,"1 FG 40-49, 1 FG 20-29, 3 PAT Made",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,8
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,DEF,Eagles - DEF,6.88,10.0,"6 Sack, Pts Allow 7-13",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,9
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,DEF,Steelers - DEF,6.3,4.0,"1 Int, 1 Sack, Pts Allow 14-20",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,starters,9
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,BN,Brandon Aiyuk,11.14,7.1,"46 Rec Yds, 5 Rec",False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,bench,1
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,BN,James Conner  Bye,0.0,,,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,bench,1
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,BN,Cordarrelle Patterson,11.29,6.0,60 Rush Yds,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,bench,2
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,BN,Tyler Boyd,5.51,8.0,"60 Rec Yds, 4 Rec",False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,bench,2
2022,13,Uncle Rico,malle_dips_pouches,128.12,93.44,left,BN,Parris Campbell,8.45,6.5,"43 Rec Yds, 4 Rec, 2 Rush Yds",False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,bench,3
2022,13,malle_dips_pouches,Uncle Rico,93.44,128.12,right,BN,Pat Freiermuth,8.8,9.1,"76 Rec Yds, 3 Rec",False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,bench,3
