year,week,fantasy_team,opponent,team_score,opponent_score,side,lineup_slot,player,projection,fantasy_points,stat_summary,is_starter,is_bench,is_ir,source_url,source_table,source_row
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,BN,Cordarrelle Patterson,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,3
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,BN,Deshaun Watson,21.75,19.34,"276 Pass Yds, 1 Pass TD, 33 Rush Yds",False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,3
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,BN,Jakobi Meyers,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,4
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,BN,Darren Waller,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,4
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,BN,DeAndre Carter,4.69,0.5,1 Rec,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,5
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,BN,JaMycal Hasty,3.26,1.3,13 Rush Yds,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,5
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,BN,Jerick McKinnon,10.5,28.9,"2 Rec TD, 112 Rec Yds, 7 Rec",False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,6
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,BN,Jameson Williams,3.15,10.6,"1 Rec TD, 41 Rec Yds, 1 Rec",False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,6
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,IR,(Empty),0.0,,,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,7
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,IR,Michael Thomas Bye,0.0,,,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,7
