year,week,fantasy_team,opponent,team_score,opponent_score,side,lineup_slot,player,projection,fantasy_points,stat_summary,is_starter,is_bench,is_ir,source_url,source_table,source_row
2022,3,Uncle Rico,Patty Primetimes,114.08,89.66,left,QB,Patrick Mahomes,29.06,20.08,"262 Pass Yds, 1 Pass TD, 26 Rush Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,1
2022,3,Patty Primetimes,Uncle Rico,89.66,114.08,right,QB,Matthew Stafford,23.38,10.16,"249 Pass Yds, 2 Rush Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,1
2022,3,Uncle Rico,Patty Primetimes,114.08,89.66,left,WR,Ja'Marr Chase,16.2,9.7,"1 Rec TD, 6 Rec, 29 Rec Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,2
2022,3,Patty Primetimes,Uncle Rico,89.66,114.08,right,WR,Terry McLaurin,10.69,13.2,"102 Rec Yds, 6 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,2
2022,3,Uncle Rico,Patty Primetimes,114.08,89.66,left,WR,Brandon Aiyuk,9.08,11.4,"1 Rec TD, 39 Rec Yds, 3 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,3
2022,3,Patty Primetimes,Uncle Rico,89.66,114.08,right,WR,Michael Thomas,12.35,7.4,"49 Rec Yds, 5 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,3
2022,3,Uncle Rico,Patty Primetimes,114.08,89.66,left,RB,Saquon Barkley,16.87,20.6,"81 Rush Yds, 1 Rush TD, 45 Rec Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,4
2022,3,Patty Primetimes,Uncle Rico,89.66,114.08,right,RB,Derrick Henry,15.96,22.8,"85 Rush Yds, 1 Rush TD, 58 Rec Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,4
2022,3,Uncle Rico,Patty Primetimes,114.08,89.66,left,RB,Nick Chubb,14.07,17.3,"113 Rush Yds, 1 Rush TD",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,5
2022,3,Patty Primetimes,Uncle Rico,89.66,114.08,right,RB,Javonte Williams,12.57,7.5,"58 Rush Yds, 3 Rec, 2 Rec Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,starters,5
