year,week,team_1,team_1_score,team_2,team_2_score,rows_saved,clean_file,source_url,status
2019,9,Uncle Rico,73.2,malle_dips_pouches,75.54,30,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2019_week_09_Uncle_Rico_vs_malle_dips_pouches_clean.csv,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,PASS
2020,8,Uncle Rico,79.02,malle_dips_pouches,86.36,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2020_week_08_Uncle_Rico_vs_malle_dips_pouches_clean.csv,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=8&mid1=10,PASS
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2020_week_09_Uncle_Rico_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,PASS
2021,8,Uncle Rico,73.96,malle_dips_pouches,107.6,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2021_week_08_Uncle_Rico_vs_malle_dips_pouches_clean.csv,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=8&mid1=10,PASS
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2021_week_09_Uncle_Rico_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,PASS
2022,1,malle_dips_pouches,106.32,Patty Primetimes,104.7,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2022_week_01_malle_dips_pouches_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=10,PASS
2022,2,Uncle Rico,95.5,malle_dips_pouches,168.52,30,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2022_week_02_Uncle_Rico_vs_malle_dips_pouches_clean.csv,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=10,PASS
2022,3,Uncle Rico,114.08,Patty Primetimes,89.66,30,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2022_week_03_Uncle_Rico_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,PASS
2022,12,malle_dips_pouches,142.66,Patty Primetimes,72.0,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2022_week_12_malle_dips_pouches_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=12&mid1=10,PASS
2022,13,Uncle Rico,128.12,malle_dips_pouches,93.44,30,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2022_week_13_Uncle_Rico_vs_malle_dips_pouches_clean.csv,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,PASS
2022,14,Uncle Rico,135.58,Patty Primetimes,95.9,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2022_week_14_Uncle_Rico_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,PASS
2023,1,Uncle Rico,52.38,malle_dips_pouches,80.64,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2023_week_01_Uncle_Rico_vs_malle_dips_pouches_clean.csv,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=1&mid1=10,PASS
2023,3,Uncle Rico,116.06,Patty Primetimes,122.66,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2023_week_03_Uncle_Rico_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=3&mid1=11,PASS
2023,5,malle_dips_pouches,112.96,Patty Primetimes,110.92,30,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2023_week_05_malle_dips_pouches_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=5&mid1=10,PASS
2023,12,Uncle Rico,89.68,malle_dips_pouches,90.26,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2023_week_12_Uncle_Rico_vs_malle_dips_pouches_clean.csv,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=12&mid1=10,PASS
2023,14,Uncle Rico,75.22,Patty Primetimes,85.8,32,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/clean/2023_week_14_Uncle_Rico_vs_Patty_Primetimes_clean.csv,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,PASS
