year,week,fantasy_team,opponent,team_score,opponent_score,side,lineup_slot,player,projection,fantasy_points,stat_summary,is_starter,is_bench,is_ir,source_url,source_table,source_row
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,QB,Justin Fields,22.62,26.72,"223 Pass Yds, 1 Pass TD, 1 Rush TD",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,1
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,QB,Tua TagovailoaVideo Forecast,24.0,9.1,"240 Pass Yds, 1 Fum Lost, 15 Rush Yds",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,1
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,WR,Ja'Marr ChaseVideo Forecast,12.78,4.4,"29 Rec Yds, 3 Rec",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,2
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,WR,Jaylen WaddleVideo Forecast,11.45,10.9,"79 Rec Yds, 6 Rec",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,2
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,WR,A.J. BrownVideo Forecast,15.11,11.9,"94 Rec Yds, 9 Rec, 1 Fum Lost",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,3
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,WR,Stefon DiggsVideo Forecast Bye,14.91,4.4,"24 Rec Yds, 4 Rec",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,3
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,RB,Alexander Mattison,10.4,6.6,66 Rush Yds,True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,4
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,RB,Travis Etienne Jr.Video Forecast,12.24,15.2,"1 Rush TD, 37 Rec Yds, 35 Rush Yds",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,4
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,RB,Josh JacobsVideo Forecast,14.12,6.0,"34 Rush Yds, 16 Rec Yds, 2 Rec",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,5
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,RB,Jaylen WarrenVideo Forecast,9.31,6.0,"29 Rec Yds, 4 Rec, 11 Rush Yds",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,5
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,TE,Dalton KincaidVideo Forecast,8.05,4.6,"5 Rec, 21 Rec Yds",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,6
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,TE,Jake FergusonVideo Forecast,9.09,9.7,"72 Rec Yds, 5 Rec",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,6
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,W/R/T,Gabe Davis,8.29,0.0,,True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,7
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,W/R/T,Michael Pittman Jr.,12.78,15.5,"95 Rec Yds, 8 Rec, 1 2-PT",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,7
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,K,Dustin Hopkins,7.18,9.0,"1 FG 50+, 4 PAT Made",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,8
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,K,Nick Folk,6.5,8.0,"2 FG 20-29, 2 PAT Made",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,8
2023,14,Uncle Rico,Patty Primetimes,75.22,85.8,left,DEF,Chiefs - DEF,5.34,6.0,"3 Sack, 1 Int, Pts Allow 14-20",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,9
2023,14,Patty Primetimes,Uncle Rico,85.8,75.22,right,DEF,Colts - DEF,7.3,7.0,"1 TD, 1 Int, Pts Allow 28-34",True,False,False,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,starters,9
