year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,margin,is_playoffs
2023,1,Ginger FC,4-10-0 | 11th,85.26,104.89,You Better Park It,6-8-0 | 7th,85.42,101.5,You Better Park It,Ginger FC,0.16,False
2023,1,Malle ❤️ 🐸,7-7-0 | 8th,97.9,112.21,ThreatLevelMidnight,10-4-0 | 2nd,124.34,108.46,ThreatLevelMidnight,Malle ❤️ 🐸,26.44,False
2023,1,Pop Lockett Drop it,5-9-0 | 10th,91.34,104.01,Patty Primetimes,5-9-0 | 9th,121.34,101.96,Patty Primetimes,Pop Lockett Drop it,30.0,False
2023,1,The Big Gronkowski,7-7-0 | 6th,148.36,110.8,Post Mahomes,8-6-0 | 3rd,114.34,111.55,The Big Gronkowski,Post Mahomes,34.02,False
2023,1,Uncle Rico,4-10-0 | 12th,52.38,109.72,malle_dips_pouches,8-6-0 | 4th,80.64,104.21,malle_dips_pouches,Uncle Rico,28.26,False
2023,1,Voldemort,7-7-0 | 5th,75.96,110.99,Joe Mantegna,13-1-0 | 1st,127.86,106.67,Joe Mantegna,Voldemort,51.9,False
2023,2,Joe Mantegna,13-1-0 | 1st,110.0,107.81,You Better Park It,6-8-0 | 7th,98.0,107.29,Joe Mantegna,You Better Park It,12.0,False
2023,2,Malle ❤️ 🐸,7-7-0 | 8th,125.42,109.14,Patty Primetimes,5-9-0 | 9th,79.66,108.05,Malle ❤️ 🐸,Patty Primetimes,45.76,False
2023,2,Pop Lockett Drop it,5-9-0 | 10th,103.24,101.26,Ginger FC,4-10-0 | 11th,107.16,94.84,Ginger FC,Pop Lockett Drop it,3.92,False
2023,2,Post Mahomes,8-6-0 | 3rd,127.96,110.45,malle_dips_pouches,8-6-0 | 4th,101.86,100.86,Post Mahomes,malle_dips_pouches,26.1,False
2023,2,The Big Gronkowski,7-7-0 | 6th,119.7,108.79,Voldemort,7-7-0 | 5th,116.28,103.75,The Big Gronkowski,Voldemort,3.42,False
2023,2,Uncle Rico,4-10-0 | 12th,76.78,109.8,ThreatLevelMidnight,10-4-0 | 2nd,112.14,114.24,ThreatLevelMidnight,Uncle Rico,35.36,False
2023,3,Joe Mantegna,13-1-0 | 1st,134.32,104.33,Pop Lockett Drop it,5-9-0 | 10th,102.0,102.77,Joe Mantegna,Pop Lockett Drop it,32.32,False
2023,3,Malle ❤️ 🐸,7-7-0 | 8th,127.68,114.26,Ginger FC,4-10-0 | 11th,55.28,100.46,Malle ❤️ 🐸,Ginger FC,72.4,False
2023,3,The Big Gronkowski,7-7-0 | 6th,105.5,105.58,You Better Park It,6-8-0 | 7th,127.76,106.38,You Better Park It,The Big Gronkowski,22.26,False
2023,3,ThreatLevelMidnight,10-4-0 | 2nd,121.06,107.47,malle_dips_pouches,8-6-0 | 4th,125.22,103.14,malle_dips_pouches,ThreatLevelMidnight,4.16,False
2023,3,Uncle Rico,4-10-0 | 12th,116.06,100.5,Patty Primetimes,5-9-0 | 9th,122.66,104.66,Patty Primetimes,Uncle Rico,6.6,False
2023,3,Voldemort,7-7-0 | 5th,129.08,107.56,Post Mahomes,8-6-0 | 3rd,139.88,117.97,Post Mahomes,Voldemort,10.8,False
2023,4,Malle ❤️ 🐸,7-7-0 | 8th,75.46,107.96,Joe Mantegna,13-1-0 | 1st,96.5,105.12,Joe Mantegna,Malle ❤️ 🐸,21.04,False
2023,4,Post Mahomes,8-6-0 | 3rd,141.82,113.07,You Better Park It,6-8-0 | 7th,101.44,107.31,Post Mahomes,You Better Park It,40.38,False
2023,4,The Big Gronkowski,7-7-0 | 6th,130.18,112.72,Pop Lockett Drop it,5-9-0 | 10th,96.1,94.5,The Big Gronkowski,Pop Lockett Drop it,34.08,False
2023,4,ThreatLevelMidnight,10-4-0 | 2nd,100.56,102.61,Patty Primetimes,5-9-0 | 9th,98.18,109.05,ThreatLevelMidnight,Patty Primetimes,2.38,False
2023,4,Uncle Rico,4-10-0 | 12th,120.14,101.39,Ginger FC,4-10-0 | 11th,95.66,99.77,Uncle Rico,Ginger FC,24.48,False
2023,4,Voldemort,7-7-0 | 5th,130.24,101.92,malle_dips_pouches,8-6-0 | 4th,105.6,98.36,Voldemort,malle_dips_pouches,24.64,False
2023,5,Pop Lockett Drop it,5-9-0 | 10th,85.46,102.35,Post Mahomes,8-6-0 | 3rd,120.84,116.79,Post Mahomes,Pop Lockett Drop it,35.38,False
2023,5,The Big Gronkowski,7-7-0 | 6th,107.38,96.68,Malle ❤️ 🐸,7-7-0 | 8th,91.12,98.77,The Big Gronkowski,Malle ❤️ 🐸,16.26,False
2023,5,ThreatLevelMidnight,10-4-0 | 2nd,116.2,103.6,Ginger FC,4-10-0 | 11th,96.36,98.6,ThreatLevelMidnight,Ginger FC,19.84,False
2023,5,Uncle Rico,4-10-0 | 12th,99.28,105.97,Joe Mantegna,13-1-0 | 1st,139.52,102.4,Joe Mantegna,Uncle Rico,40.24,False
2023,5,Voldemort,7-7-0 | 5th,78.54,102.12,You Better Park It,6-8-0 | 7th,66.72,94.39,Voldemort,You Better Park It,11.82,False
2023,5,malle_dips_pouches,8-6-0 | 4th,112.96,106.35,Patty Primetimes,5-9-0 | 9th,110.92,105.96,malle_dips_pouches,Patty Primetimes,2.04,False
2023,6,Ginger FC,4-10-0 | 11th,71.3,88.8,Patty Primetimes,5-9-0 | 9th,106.58,116.75,Patty Primetimes,Ginger FC,35.28,False
