rank,team,record,points_for,points_against,streak,waiver,moves,year,league_id
1,Joe Mantegna,13-1-0,1639.80,1363.54,W-5,5,16,2023,684195
2,ThreatLevelMidnight,10-4-0,1672.46,1458.34,L-1,12,32,2023,684195
3,Post Mahomes,8-6-0,1671.70,1547.64,L-2,6,30,2023,684195
4,malle_dips_pouches,8-6-0,1396.32,1537.46,W-3,2,12,2023,684195
5,Voldemort,7-7-0,1546.84,1582.92,W-2,9,34,2023,684195
6,The Big Gronkowski,7-7-0,1552.64,1554.24,W-1,1,7,2023,684195
7,You Better Park It,6-8-0,1430.48,1454.44,L-2,7,8,2023,684195
8,Malle ❤️ 🐸,7-7-0,1546.78,1477.00,L-3,8,9,2023,684195
9,Patty Primetimes,5-9-0,1440.44,1475.62,W-2,4,12,2023,684195
10,Pop Lockett Drop it,5-9-0,1478.18,1600.10,L-2,11,25,2023,684195
11,Ginger FC,4-10-0,1268.10,1472.12,W-2,10,33,2023,684195
12,Uncle Rico,4-10-0,1374.40,1494.72,L-5,3,22,2023,684195
