rank,team,record,points_for,points_against,streak,waiver,moves,year,league_id
1,Ginger FC,10-4-0,1558.36,1494.54,W-3,5,7,2025,637567
2,Patty Primetimes,12-2-0,1645.80,1324.84,W-1,12,16,2025,637567
3,ThreatLevelMidnight,9-5-0,1648.38,1504.62,L-2,10,38,2025,637567
4,Post Mahomes,9-5-0,1675.54,1450.18,L-1,11,35,2025,637567
5,Uncle Rico,7-7-0,1612.90,1499.94,W-1,8,11,2025,637567
6,Pop Lockett Drop it,8-6-0,1602.72,1508.44,W-2,7,22,2025,637567
7,Joe Mantegna,6-8-0,1458.48,1485.60,W-1,6,16,2025,637567
8,Voldemort,6-8-0,1402.00,1497.10,W-1,2,16,2025,637567
9,Malle ❤️ 🐸,3-11-0,1327.72,1704.06,L-1,3,13,2025,637567
10,Buttermilk Puuump,4-10-0,1475.18,1558.40,L-6,4,6,2025,637567
11,malle_dips_pouches,6-8-0,1285.84,1479.92,L-1,1,6,2025,637567
12,The Big Gronkowski,4-10-0,1386.04,1571.32,L-1,9,15,2025,637567
