year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,margin,is_playoffs
2025,1,Ginger FC,10-4-0 | 1st,102.82,114.06,Buttermilk Puuump,4-10-0 | 10th,93.7,106.03,Ginger FC,Buttermilk Puuump,9.12,False
2025,1,Joe Mantegna,6-8-0 | 7th,83.04,105.39,ThreatLevelMidnight,9-5-0 | 3rd,100.88,112.63,ThreatLevelMidnight,Joe Mantegna,17.84,False
2025,1,Malle ❤️ 🐸,3-11-0 | 9th,74.72,112.27,Patty Primetimes,12-2-0 | 2nd,140.36,116.4,Patty Primetimes,Malle ❤️ 🐸,65.64,False
2025,1,Pop Lockett Drop it,8-6-0 | 6th,119.26,111.07,malle_dips_pouches,6-8-0 | 11th,89.68,117.1,Pop Lockett Drop it,malle_dips_pouches,29.58,False
2025,1,The Big Gronkowski,4-10-0 | 12th,72.68,104.3,Post Mahomes,9-5-0 | 4th,125.82,117.18,Post Mahomes,The Big Gronkowski,53.14,False
2025,1,Uncle Rico,7-7-0 | 5th,93.92,111.16,Voldemort,6-8-0 | 8th,117.12,119.74,Voldemort,Uncle Rico,23.2,False
2025,2,Joe Mantegna,6-8-0 | 7th,157.44,113.59,Ginger FC,10-4-0 | 1st,98.98,117.76,Joe Mantegna,Ginger FC,58.46,False
2025,2,Malle ❤️ 🐸,3-11-0 | 9th,79.4,105.77,Voldemort,6-8-0 | 8th,111.0,124.54,Voldemort,Malle ❤️ 🐸,31.6,False
2025,2,Post Mahomes,9-5-0 | 4th,92.58,122.55,Patty Primetimes,12-2-0 | 2nd,95.22,117.81,Patty Primetimes,Post Mahomes,2.64,False
2025,2,The Big Gronkowski,4-10-0 | 12th,95.74,109.66,ThreatLevelMidnight,9-5-0 | 3rd,101.2,114.31,ThreatLevelMidnight,The Big Gronkowski,5.46,False
2025,2,Uncle Rico,7-7-0 | 5th,97.24,94.35,Pop Lockett Drop it,8-6-0 | 6th,130.4,112.64,Pop Lockett Drop it,Uncle Rico,33.16,False
2025,2,malle_dips_pouches,6-8-0 | 11th,88.74,122.73,Buttermilk Puuump,4-10-0 | 10th,134.16,114.31,Buttermilk Puuump,malle_dips_pouches,45.42,False
2025,3,Ginger FC,10-4-0 | 1st,103.6,112.2,malle_dips_pouches,6-8-0 | 11th,79.84,114.19,Ginger FC,malle_dips_pouches,23.76,False
2025,3,Malle ❤️ 🐸,3-11-0 | 9th,90.98,97.2,Pop Lockett Drop it,8-6-0 | 6th,117.02,128.37,Pop Lockett Drop it,Malle ❤️ 🐸,26.04,False
2025,3,The Big Gronkowski,4-10-0 | 12th,107.84,103.13,Joe Mantegna,6-8-0 | 7th,78.32,111.7,The Big Gronkowski,Joe Mantegna,29.52,False
2025,3,ThreatLevelMidnight,9-5-0 | 3rd,105.82,101.13,Patty Primetimes,12-2-0 | 2nd,115.02,118.75,Patty Primetimes,ThreatLevelMidnight,9.2,False
2025,3,Uncle Rico,7-7-0 | 5th,141.02,110.16,Buttermilk Puuump,4-10-0 | 10th,76.28,106.21,Uncle Rico,Buttermilk Puuump,64.74,False
2025,3,Voldemort,6-8-0 | 8th,84.06,115.35,Post Mahomes,9-5-0 | 4th,137.56,115.94,Post Mahomes,Voldemort,53.5,False
