year,round,pick_in_round,overall_pick,team,player,keeper
2019,1,1,1,Pop Lockett Drop it,Saquon Barkley,False
2019,1,2,2,The Big Gronkowski,Alvin Kamara,False
2019,1,3,3,malle_dips_pouches,Ezekiel Elliott,False
2019,1,4,4,Voldemort,Christian McCaffrey,False
2019,1,5,5,Patty Primetimes,Nick Chubb,False
2019,1,6,6,Ginger FC,Todd Gurley,False
2019,1,7,7,ThreatLevelMidnight,James Conner,False
2019,1,8,8,Post Mahomes,David Johnson,False
2019,1,9,9,Malle ❤️ 🐸,Le'Veon Bell,False
2019,1,10,10,Joe Mantegna,DeAndre Hopkins,False
2019,1,11,11,Uncle Rico,Julio Jones,False
2019,1,12,12,Big Sack Jack,Tyreek Hill,False
2019,2,1,13,Big Sack Jack,Sony Michel,False
2019,2,2,14,Uncle Rico,Davante Adams,False
2019,2,3,15,Joe Mantegna,Odell Beckham Jr.,False
2019,2,4,16,Malle ❤️ 🐸,Devonta Freeman,False
2019,2,5,17,Post Mahomes,Dalvin Cook,False
2019,2,6,18,ThreatLevelMidnight,Aaron Jones Sr.,False
2019,2,7,19,Ginger FC,Michael Thomas,False
2019,2,8,20,Patty Primetimes,Travis Kelce,False
2019,2,9,21,Voldemort,Patrick Mahomes,False
2019,2,10,22,malle_dips_pouches,Joe Mixon,False
2019,2,11,23,The Big Gronkowski,JuJu Smith-Schuster,False
2019,2,12,24,Pop Lockett Drop it,Mike Evans,False
2019,3,1,25,Pop Lockett Drop it,George Kittle,False
2019,3,2,26,The Big Gronkowski,Antonio Brown,False
2019,3,3,27,malle_dips_pouches,Brandin Cooks,False
2019,3,4,28,Voldemort,Keenan Allen,False
2019,3,5,29,Patty Primetimes,Kerryon Johnson,False
2019,3,6,30,Ginger FC,Baker Mayfield,False
2019,3,7,31,ThreatLevelMidnight,Leonard Fournette,False
2019,3,8,32,Post Mahomes,Adam Thielen,False
2019,3,9,33,Malle ❤️ 🐸,Amari Cooper,False
2019,3,10,34,Joe Mantegna,Stefon Diggs,False
2019,3,11,35,Uncle Rico,Damien Williams,False
2019,3,12,36,Big Sack Jack,Zach Ertz,False
2019,4,1,37,Big Sack Jack,Chris Godwin Jr.,False
2019,4,2,38,Uncle Rico,Derrick Henry,False
2019,4,3,39,Joe Mantegna,David Montgomery,False
2019,4,4,40,Malle ❤️ 🐸,Allen Robinson,False
2019,4,5,41,Post Mahomes,Deshaun Watson,False
2019,4,6,42,ThreatLevelMidnight,Robert Woods,False
2019,4,7,43,Ginger FC,Phillip Lindsay,False
2019,4,8,44,Patty Primetimes,Tyler Lockett,False
2019,4,9,45,Voldemort,Chris Carson,False
2019,4,10,46,malle_dips_pouches,Julian Edelman,False
2019,4,11,47,The Big Gronkowski,Marlon Mack,False
2019,4,12,48,Pop Lockett Drop it,Josh Jacobs,False
2019,5,1,49,Pop Lockett Drop it,Kenny Golladay,False
2019,5,2,50,The Big Gronkowski,Mark Ingram II,False
2019,5,3,51,malle_dips_pouches,Aaron Rodgers,False
2019,5,4,52,Voldemort,O.J. Howard,False
2019,5,5,53,Patty Primetimes,Austin Ekeler,False
2019,5,6,54,Ginger FC,Mike Williams,False
2019,5,7,55,ThreatLevelMidnight,Robbie Chosen,False
2019,5,8,56,Post Mahomes,T.Y. Hilton,False
2019,5,9,57,Malle ❤️ 🐸,Matt Ryan,False
2019,5,10,58,Joe Mantegna,Miles Sanders,False
