year,round,pick_in_round,overall_pick,team,player,keeper
2025,1,1,1,Joe Mantegna,Ja'Marr Chase,False
2025,1,2,2,Patty Primetimes,Saquon Barkley,False
2025,1,3,3,ThreatLevelMidnight,Bijan Robinson,False
2025,1,4,4,Post Mahomes,Jahmyr Gibbs,False
2025,1,5,5,Pop Lockett Drop it,CeeDee Lamb,False
2025,1,6,6,Voldemort,Justin Jefferson,False
2025,1,7,7,Uncle Rico,Christian McCaffrey,False
2025,1,8,8,Ginger FC,Derrick Henry,False
2025,1,9,9,Buttermilk Puuump,Josh Jacobs,False
2025,1,10,10,malle_dips_pouches,Ashton Jeanty,False
2025,1,11,11,The Big Gronkowski,Nico Collins,False
2025,1,12,12,Malle ❤️ 🐸,Drake London,False
2025,2,1,13,Malle ❤️ 🐸,Brian Thomas Jr.,False
2025,2,2,14,The Big Gronkowski,A.J. Brown,False
2025,2,3,15,malle_dips_pouches,Bucky Irving,False
2025,2,4,16,Buttermilk Puuump,Amon-Ra St. Brown,True
2025,2,5,17,Ginger FC,Tyreek Hill,False
2025,2,6,18,Uncle Rico,Jonathan Taylor,False
2025,2,7,19,Voldemort,Chase Brown,False
2025,2,8,20,Pop Lockett Drop it,Kenneth Walker III,False
2025,2,9,21,Post Mahomes,Brock Bowers,False
2025,2,10,22,ThreatLevelMidnight,James Conner,False
2025,2,11,23,Patty Primetimes,Josh Allen,False
2025,2,12,24,Joe Mantegna,Omarion Hampton,False
2025,3,1,25,Joe Mantegna,Malik Nabers,True
2025,3,2,26,Patty Primetimes,James Cook III,False
2025,3,3,27,ThreatLevelMidnight,Marvin Harrison Jr.,False
2025,3,4,28,Post Mahomes,Tee Higgins,False
2025,3,5,29,Pop Lockett Drop it,Lamar Jackson,False
2025,3,6,30,Voldemort,Jaxon Smith-Njigba,False
2025,3,7,31,Uncle Rico,Terry McLaurin,False
2025,3,8,32,Ginger FC,Davante Adams,False
2025,3,9,33,Buttermilk Puuump,Breece Hall,False
2025,3,10,34,malle_dips_pouches,Mike Evans,False
2025,3,11,35,The Big Gronkowski,Chuba Hubbard,False
2025,3,12,36,Malle ❤️ 🐸,George Kittle,False
2025,4,1,37,Malle ❤️ 🐸,Jayden Daniels,False
2025,4,2,38,The Big Gronkowski,TreVeyon Henderson,False
2025,4,3,39,malle_dips_pouches,Jalen Hurts,False
2025,4,4,40,Buttermilk Puuump,George Pickens,False
2025,4,5,41,Ginger FC,DeVonta Smith,False
2025,4,6,42,Uncle Rico,Joe Burrow,False
2025,4,7,43,Voldemort,Alvin Kamara,False
2025,4,8,44,Pop Lockett Drop it,Trey McBride,True
2025,4,9,45,Post Mahomes,Garrett Wilson,False
2025,4,10,46,ThreatLevelMidnight,Tony Pollard,False
2025,4,11,47,Patty Primetimes,DK Metcalf,False
2025,4,12,48,Joe Mantegna,RJ Harvey,False
2025,5,1,49,Joe Mantegna,Zay Flowers,False
2025,5,2,50,Patty Primetimes,Courtland Sutton,False
2025,5,3,51,ThreatLevelMidnight,DJ Moore,False
2025,5,4,52,Post Mahomes,Patrick Mahomes,False
2025,5,5,53,Pop Lockett Drop it,Tetairoa McMillan,False
2025,5,6,54,Voldemort,David Montgomery,False
2025,5,7,55,Uncle Rico,Jaylen Waddle,False
2025,5,8,56,Ginger FC,Mark Andrews,False
2025,5,9,57,Buttermilk Puuump,Travis Hunter,False
2025,5,10,58,malle_dips_pouches,Calvin Ridley,False
2025,5,11,59,The Big Gronkowski,T.J. Hockenson,False
2025,5,12,60,Malle ❤️ 🐸,D'Andre Swift,False
2025,6,1,61,Malle ❤️ 🐸,Isiah Pacheco,False
2025,6,2,62,The Big Gronkowski,Jameson Williams,False
2025,6,3,63,malle_dips_pouches,Tyrone Tracy Jr.,False
2025,6,4,64,Buttermilk Puuump,Aaron Jones Sr.,False
2025,6,5,65,Ginger FC,Chris Olave,False
2025,6,6,66,Uncle Rico,Emeka Egbuka,False
2025,6,7,67,Voldemort,Jaylen Warren,False
2025,6,8,68,Pop Lockett Drop it,Kaleb Johnson,False
2025,6,9,69,Post Mahomes,Ricky Pearsall,False
2025,6,10,70,ThreatLevelMidnight,Xavier Worthy,True
2025,6,11,71,Patty Primetimes,Travis Kelce,False
2025,6,12,72,Joe Mantegna,Tucker Kraft,False
2025,7,1,73,Joe Mantegna,Bo Nix,False
2025,7,2,74,Patty Primetimes,J.K. Dobbins,False
2025,7,3,75,ThreatLevelMidnight,Rashee Rice,False
2025,7,4,76,Post Mahomes,Jordan Mason,False
2025,7,5,77,Pop Lockett Drop it,Rome Odunze,False
2025,7,6,78,Voldemort,David Njoku,False
2025,7,7,79,Uncle Rico,Jerry Jeudy,False
2025,7,8,80,Ginger FC,Travis Etienne Jr.,False
2025,7,9,81,Buttermilk Puuump,Evan Engram,False
2025,7,10,82,malle_dips_pouches,Stefon Diggs,False
2025,7,11,83,The Big Gronkowski,Dak Prescott,False
2025,7,12,84,Malle ❤️ 🐸,Jordan Addison,False
2025,8,1,85,Malle ❤️ 🐸,Brock Purdy,False
2025,8,2,86,The Big Gronkowski,Braelon Allen,False
2025,8,3,87,malle_dips_pouches,Jakobi Meyers,False
2025,8,4,88,Buttermilk Puuump,Deebo Samuel Sr.,False
2025,8,5,89,Ginger FC,Michael Pittman Jr.,False
2025,8,6,90,Uncle Rico,Matthew Golden,False
2025,8,7,91,Voldemort,Kyler Murray,False
2025,8,8,92,Pop Lockett Drop it,Javonte Williams,False
2025,8,9,93,Post Mahomes,Austin Ekeler,False
2025,8,10,94,ThreatLevelMidnight,Baker Mayfield,False
2025,8,11,95,Patty Primetimes,Ladd McConkey,True
2025,8,12,96,Joe Mantegna,Jauan Jennings,False
2025,9,1,97,Joe Mantegna,Jacory Croskey-Merritt,False
2025,9,2,98,Patty Primetimes,Tank Bigsby,False
2025,9,3,99,ThreatLevelMidnight,Rhamondre Stevenson,False
2025,9,4,100,Post Mahomes,Kyren Williams,True
2025,9,5,101,Pop Lockett Drop it,Jayden Reed,False
2025,9,6,102,Voldemort,Puka Nacua,True
2025,9,7,103,Uncle Rico,Bhayshul Tuten,False
2025,9,8,104,Ginger FC,De'Von Achane,True
2025,9,9,105,Buttermilk Puuump,Jared Goff,False
2025,9,10,106,malle_dips_pouches,Sam LaPorta,True
2025,9,11,107,The Big Gronkowski,Drake Maye,False
2025,9,12,108,Malle ❤️ 🐸,Khalil Shakir,False
2025,10,1,109,Malle ❤️ 🐸,Rashid Shaheed,True
2025,10,2,110,The Big Gronkowski,Dylan Sampson,False
2025,10,3,111,malle_dips_pouches,Josh Downs,False
2025,10,4,112,Buttermilk Puuump,Nick Chubb,False
2025,10,5,113,Ginger FC,Justin Herbert,False
2025,10,6,114,Uncle Rico,Zach Charbonnet,True
2025,10,7,115,Voldemort,Keenan Allen,False
2025,10,8,116,Pop Lockett Drop it,Brian Robinson,False
2025,10,9,117,Post Mahomes,Cam Skattebo,False
2025,10,10,118,ThreatLevelMidnight,Jake Ferguson,False
2025,10,11,119,Patty Primetimes,Keon Coleman,False
2025,10,12,120,Joe Mantegna,Tyler Warren,False
2025,11,1,121,Joe Mantegna,Cooper Kupp,False
2025,11,2,122,Patty Primetimes,Colston Loveland,False
2025,11,3,123,ThreatLevelMidnight,Darnell Mooney,False
2025,11,4,124,Post Mahomes,Chris Godwin Jr.,False
2025,11,5,125,Pop Lockett Drop it,Cedric Tillman,False
2025,11,6,126,Voldemort,Tyler Allgeier,False
2025,11,7,127,Uncle Rico,Dalton Kincaid,False
2025,11,8,128,Ginger FC,Trey Benson,False
2025,11,9,129,Buttermilk Puuump,Luther Burden III,False
2025,11,10,130,malle_dips_pouches,Rachaad White,False
2025,11,11,131,The Big Gronkowski,Rashod Bateman,False
2025,11,12,132,Malle ❤️ 🐸,Dallas Goedert,False
2025,12,1,133,Malle ❤️ 🐸,Jerome Ford,False
2025,12,2,134,The Big Gronkowski,Hunter Henry,False
2025,12,3,135,malle_dips_pouches,Christian Kirk,False
2025,12,4,136,Buttermilk Puuump,Najee Harris,False
2025,12,5,137,Ginger FC,Ray Davis,False
2025,12,6,138,Uncle Rico,J.J. McCarthy,False
2025,12,7,139,Voldemort,Justin Fields,False
2025,12,8,140,Pop Lockett Drop it,Brandon Aiyuk,False
2025,12,9,141,Post Mahomes,Broncos,False
2025,12,10,142,ThreatLevelMidnight,Jaydon Blue,False
2025,12,11,143,Patty Primetimes,Caleb Williams,False
2025,12,12,144,Joe Mantegna,Jayden Higgins,False
2025,13,1,145,Joe Mantegna,Brandon Aubrey,False
2025,13,2,146,Patty Primetimes,Cameron Dicker,False
2025,13,3,147,ThreatLevelMidnight,Quinshon Judkins,False
2025,13,4,148,Post Mahomes,Joe Mixon,False
2025,13,5,149,Pop Lockett Drop it,Jake Bates,False
2025,13,6,150,Voldemort,Chig Okonkwo,False
2025,13,7,151,Uncle Rico,Joshua Palmer,False
2025,13,8,152,Ginger FC,Marvin Mims Jr.,False
2025,13,9,153,Buttermilk Puuump,Jordan Love,False
2025,13,10,154,malle_dips_pouches,Zach Ertz,False
2025,13,11,155,The Big Gronkowski,C.J. Stroud,False
2025,13,12,156,Malle ❤️ 🐸,Tyjae Spears,False
2025,14,1,157,Malle ❤️ 🐸,Eagles,False
2025,14,2,158,The Big Gronkowski,Ka'imi Fairbairn,False
2025,14,3,159,malle_dips_pouches,Ravens,False
2025,14,4,160,Buttermilk Puuump,Tyler Bass,False
2025,14,5,161,Ginger FC,Chiefs,False
2025,14,6,162,Uncle Rico,Steelers,False
2025,14,7,163,Voldemort,Vikings,False
2025,14,8,164,Pop Lockett Drop it,Ollie Gordon II,False
2025,14,9,165,Post Mahomes,DeMario Douglas,False
2025,14,10,166,ThreatLevelMidnight,Bills,False
2025,14,11,167,Patty Primetimes,Will Shipley,False
2025,14,12,168,Joe Mantegna,Trevor Lawrence,False
2025,15,1,169,Joe Mantegna,Lions,False
2025,15,2,170,Patty Primetimes,Texans,False
2025,15,3,171,ThreatLevelMidnight,Chase McLaughlin,False
2025,15,4,172,Post Mahomes,Harrison Butker,False
2025,15,5,173,Pop Lockett Drop it,Packers,False
2025,15,6,174,Voldemort,Chris Boswell,False
2025,15,7,175,Uncle Rico,Wil Lutz,False
2025,15,8,176,Ginger FC,Evan McPherson,False
2025,15,9,177,Buttermilk Puuump,49ers,False
2025,15,10,178,malle_dips_pouches,Jake Elliott,False
2025,15,11,179,The Big Gronkowski,Jets,False
2025,15,12,180,Malle ❤️ 🐸,Jason Sanders,False
