year,round,pick_in_round,overall_pick,team,player,keeper
2024,1,1,1,Ginger FC,Christian McCaffrey,False
2024,1,2,2,Buttermilk Puuump,Tyreek Hill,False
2024,1,3,3,Patty Primetimes,CeeDee Lamb,False
2024,1,4,4,ThreatLevelMidnight,Ja'Marr Chase,False
2024,1,5,5,The Big Gronkowski,Justin Jefferson,False
2024,1,6,6,Pop Lockett Drop it,Bijan Robinson,False
2024,1,7,7,malle_dips_pouches,A.J. Brown,False
2024,1,8,8,Voldemort,Jonathan Taylor,False
2024,1,9,9,Uncle Rico,Derrick Henry,False
2024,1,10,10,Joe Mantegna,Garrett Wilson,False
2024,1,11,11,Post Mahomes,Jahmyr Gibbs,False
2024,1,12,12,Malle ❤️ 🐸,Saquon Barkley,False
2024,2,1,13,Malle ❤️ 🐸,Marvin Harrison Jr.,False
2024,2,2,14,Post Mahomes,Isiah Pacheco,False
2024,2,3,15,Joe Mantegna,Breece Hall,True
2024,2,4,16,Uncle Rico,Davante Adams,False
2024,2,5,17,Voldemort,Travis Etienne Jr.,False
2024,2,6,18,malle_dips_pouches,Drake London,False
2024,2,7,19,Pop Lockett Drop it,Mike Evans,False
2024,2,8,20,The Big Gronkowski,Chris Olave,False
2024,2,9,21,ThreatLevelMidnight,Josh Jacobs,False
2024,2,10,22,Patty Primetimes,Cooper Kupp,False
2024,2,11,23,Buttermilk Puuump,Rachaad White,False
2024,2,12,24,Ginger FC,Brandon Aiyuk,False
2024,3,1,25,Ginger FC,Deebo Samuel Sr.,False
2024,3,2,26,Buttermilk Puuump,Amon-Ra St. Brown,True
2024,3,3,27,Patty Primetimes,Travis Kelce,False
2024,3,4,28,ThreatLevelMidnight,DK Metcalf,False
2024,3,5,29,The Big Gronkowski,DJ Moore,False
2024,3,6,30,Pop Lockett Drop it,DeVonta Smith,False
2024,3,7,31,malle_dips_pouches,Jaylen Waddle,False
2024,3,8,32,Voldemort,Josh Allen,False
2024,3,9,33,Uncle Rico,Patrick Mahomes,False
2024,3,10,34,Joe Mantegna,Nico Collins,False
2024,3,11,35,Post Mahomes,Michael Pittman Jr.,False
2024,3,12,36,Malle ❤️ 🐸,Jalen Hurts,False
2024,4,1,37,Malle ❤️ 🐸,Malik Nabers,False
2024,4,2,38,Post Mahomes,Lamar Jackson,False
2024,4,3,39,Joe Mantegna,James Cook III,False
2024,4,4,40,Uncle Rico,Mark Andrews,False
2024,4,5,41,Voldemort,Kenneth Walker III,False
2024,4,6,42,malle_dips_pouches,Joe Mixon,False
2024,4,7,43,Pop Lockett Drop it,David Montgomery,False
2024,4,8,44,The Big Gronkowski,Alvin Kamara,False
2024,4,9,45,ThreatLevelMidnight,James Conner,False
2024,4,10,46,Patty Primetimes,Aaron Jones Sr.,False
2024,4,11,47,Buttermilk Puuump,Najee Harris,False
2024,4,12,48,Ginger FC,Stefon Diggs,False
2024,5,1,49,Ginger FC,Amari Cooper,False
2024,5,2,50,Buttermilk Puuump,Raheem Mostert,False
2024,5,3,51,Patty Primetimes,Terry McLaurin,False
2024,5,4,52,ThreatLevelMidnight,Kyler Murray,False
2024,5,5,53,The Big Gronkowski,Joe Burrow,False
2024,5,6,54,Pop Lockett Drop it,Trey McBride,False
2024,5,7,55,malle_dips_pouches,Rhamondre Stevenson,False
2024,5,8,56,Voldemort,Dalton Kincaid,False
2024,5,9,57,Uncle Rico,D'Andre Swift,False
2024,5,10,58,Joe Mantegna,Dak Prescott,False
2024,5,11,59,Post Mahomes,Rashee Rice,False
2024,5,12,60,Malle ❤️ 🐸,George Kittle,False
2024,6,1,61,Malle ❤️ 🐸,Zamir White,False
2024,6,2,62,Post Mahomes,Tee Higgins,False
2024,6,3,63,Joe Mantegna,George Pickens,False
2024,6,4,64,Uncle Rico,Zay Flowers,False
2024,6,5,65,Voldemort,Calvin Ridley,False
2024,6,6,66,malle_dips_pouches,Kyle Pitts Sr.,False
2024,6,7,67,Pop Lockett Drop it,Jayden Reed,False
2024,6,8,68,The Big Gronkowski,Jake Ferguson,False
2024,6,9,69,ThreatLevelMidnight,Christian Kirk,False
2024,6,10,70,Patty Primetimes,Tony Pollard,False
2024,6,11,71,Buttermilk Puuump,Keenan Allen,False
2024,6,12,72,Ginger FC,Jordan Love,False
2024,7,1,73,Ginger FC,49ers,False
2024,7,2,74,Buttermilk Puuump,Jared Goff,False
2024,7,3,75,Patty Primetimes,Xavier Worthy,False
2024,7,4,76,ThreatLevelMidnight,Chris Godwin Jr.,False
2024,7,5,77,The Big Gronkowski,Javonte Williams,False
2024,7,6,78,Pop Lockett Drop it,Zack Moss,False
2024,7,7,79,malle_dips_pouches,Brian Robinson,False
2024,7,8,80,Voldemort,Diontae Johnson,False
2024,7,9,81,Uncle Rico,Devin Singletary,False
2024,7,10,82,Joe Mantegna,Evan Engram,False
2024,7,11,83,Post Mahomes,Tyjae Spears,False
2024,7,12,84,Malle ❤️ 🐸,Ravens,False
2024,8,1,85,Malle ❤️ 🐸,Justin Tucker,False
2024,8,2,86,Post Mahomes,Jaylen Warren,False
