year,round,pick_in_round,overall_pick,team,player,keeper
2023,1,1,1,Malle ❤️ 🐸,Justin Jefferson,False
2023,1,2,2,Post Mahomes,Christian McCaffrey,False
2023,1,3,3,Ginger FC,Bijan Robinson,False
2023,1,4,4,The Big Gronkowski,Austin Ekeler,False
2023,1,5,5,Joe Mantegna,Tyreek Hill,False
2023,1,6,6,Buttermilk Puuump,Travis Kelce,False
2023,1,7,7,malle_dips_pouches,Cooper Kupp,False
2023,1,8,8,Pop Lockett Drop it,CeeDee Lamb,False
2023,1,9,9,Patty Primetimes,Stefon Diggs,False
2023,1,10,10,ThreatLevelMidnight,Saquon Barkley,False
2023,1,11,11,Voldemort,Nick Chubb,False
2023,1,12,12,Uncle Rico,Josh Jacobs,False
2023,2,1,13,Uncle Rico,A.J. Brown,False
2023,2,2,14,Voldemort,Davante Adams,False
2023,2,3,15,ThreatLevelMidnight,Derrick Henry,False
2023,2,4,16,Patty Primetimes,Jaylen Waddle,False
2023,2,5,17,Pop Lockett Drop it,Chris Olave,False
2023,2,6,18,malle_dips_pouches,Joe Mixon,False
2023,2,7,19,Buttermilk Puuump,Najee Harris,False
2023,2,8,20,Joe Mantegna,Rhamondre Stevenson,False
2023,2,9,21,The Big Gronkowski,DeVonta Smith,False
2023,2,10,22,Ginger FC,Tee Higgins,False
2023,2,11,23,Post Mahomes,Aaron Jones Sr.,False
2023,2,12,24,Malle ❤️ 🐸,Jahmyr Gibbs,False
2023,3,1,25,Malle ❤️ 🐸,Deebo Samuel Sr.,False
2023,3,2,26,Post Mahomes,Patrick Mahomes,False
2023,3,3,27,Ginger FC,J.K. Dobbins,False
2023,3,4,28,The Big Gronkowski,DK Metcalf,False
2023,3,5,29,Joe Mantegna,Breece Hall,False
2023,3,6,30,Buttermilk Puuump,Kenneth Walker III,False
2023,3,7,31,malle_dips_pouches,Josh Allen,False
2023,3,8,32,Pop Lockett Drop it,Cam Akers,False
2023,3,9,33,Patty Primetimes,Dameon Pierce,False
2023,3,10,34,ThreatLevelMidnight,Mark Andrews,False
2023,3,11,35,Voldemort,Lamar Jackson,False
2023,3,12,36,Uncle Rico,Alexander Mattison,False
2023,4,1,37,Uncle Rico,Diontae Johnson,False
2023,4,2,38,Voldemort,Miles Sanders,False
2023,4,3,39,ThreatLevelMidnight,Brandon Aiyuk,False
2023,4,4,40,Patty Primetimes,DeAndre Hopkins,False
2023,4,5,41,Pop Lockett Drop it,T.J. Hockenson,False
2023,4,6,42,malle_dips_pouches,James Conner,False
2023,4,7,43,Buttermilk Puuump,Amon-Ra St. Brown,True
2023,4,8,44,Joe Mantegna,Keenan Allen,False
2023,4,9,45,The Big Gronkowski,DJ Moore,False
2023,4,10,46,Ginger FC,Jahan Dotson,False
2023,4,11,47,Post Mahomes,Jonathan Taylor,False
2023,4,12,48,Malle ❤️ 🐸,Javonte Williams,False
2023,5,1,49,Malle ❤️ 🐸,Jalen Hurts,True
2023,5,2,50,Post Mahomes,George Kittle,False
2023,5,3,51,Ginger FC,Dalvin Cook,False
2023,5,4,52,The Big Gronkowski,Dallas Goedert,False
2023,5,5,53,Joe Mantegna,David Montgomery,False
2023,5,6,54,Buttermilk Puuump,Chris Godwin Jr.,False
2023,5,7,55,malle_dips_pouches,Terry McLaurin,False
2023,5,8,56,Pop Lockett Drop it,Isiah Pacheco,False
2023,5,9,57,Patty Primetimes,Darren Waller,False
2023,5,10,58,ThreatLevelMidnight,Trevor Lawrence,False
2023,5,11,59,Voldemort,Tyler Lockett,False
2023,5,12,60,Uncle Rico,Ja'Marr Chase,True
2023,6,1,61,Uncle Rico,Joe Burrow,False
2023,6,2,62,Voldemort,Rachaad White,False
2023,6,3,63,ThreatLevelMidnight,Alvin Kamara,False
2023,6,4,64,Patty Primetimes,Michael Pittman Jr.,False
2023,6,5,65,Pop Lockett Drop it,Brian Robinson,False
2023,6,6,66,malle_dips_pouches,Amari Cooper,True
2023,6,7,67,Buttermilk Puuump,D'Andre Swift,False
2023,6,8,68,Joe Mantegna,Kyle Pitts Sr.,False
2023,6,9,69,The Big Gronkowski,Tony Pollard,True
2023,6,10,70,Ginger FC,Khalil Herbert,False
2023,6,11,71,Post Mahomes,Drake London,False
2023,6,12,72,Malle ❤️ 🐸,Mike Evans,False
2023,7,1,73,Malle ❤️ 🐸,Pat Freiermuth,False
2023,7,2,74,Post Mahomes,Christian Kirk,False
2023,7,3,75,Ginger FC,David Njoku,False
2023,7,4,76,The Big Gronkowski,Justin Herbert,False
2023,7,5,77,Joe Mantegna,Hollywood Brown,False
2023,7,6,78,Buttermilk Puuump,Mike Williams,False
2023,7,7,79,malle_dips_pouches,Damien Harris,False
2023,7,8,80,Pop Lockett Drop it,Jordan Addison,False
2023,7,9,81,Patty Primetimes,Antonio Gibson,False
2023,7,10,82,ThreatLevelMidnight,George Pickens,False
2023,7,11,83,Voldemort,Evan Engram,False
2023,7,12,84,Uncle Rico,Gabe Davis,False
2023,8,1,85,Uncle Rico,AJ Dillon,False
2023,8,2,86,Voldemort,Jerick McKinnon,False
2023,8,3,87,ThreatLevelMidnight,Zach Charbonnet,False
2023,8,4,88,Patty Primetimes,Jamaal Williams,False
2023,8,5,89,Pop Lockett Drop it,Jaxon Smith-Njigba,False
2023,8,6,90,malle_dips_pouches,Tyler Higbee,False
2023,8,7,91,Buttermilk Puuump,Jerry Jeudy,False
2023,8,8,92,Joe Mantegna,James Cook III,True
2023,8,9,93,The Big Gronkowski,Samaje Perine,False
2023,8,10,94,Ginger FC,Rashod Bateman,False
2023,8,11,95,Post Mahomes,Brandin Cooks,False
2023,8,12,96,Malle ❤️ 🐸,49ers,False
2023,9,1,97,Malle ❤️ 🐸,Justin Tucker,False
2023,9,2,98,Post Mahomes,Jaylen Warren,False
2023,9,3,99,Ginger FC,Aaron Rodgers,True
2023,9,4,100,The Big Gronkowski,Courtland Sutton,False
2023,9,5,101,Joe Mantegna,Deshaun Watson,False
2023,9,6,102,Buttermilk Puuump,JuJu Smith-Schuster,False
2023,9,7,103,malle_dips_pouches,Rashaad Penny,False
2023,9,8,104,Pop Lockett Drop it,Tyler Allgeier,False
2023,9,9,105,Patty Primetimes,Tua Tagovailoa,False
2023,9,10,106,ThreatLevelMidnight,Quentin Johnston,False
2023,9,11,107,Voldemort,Zay Flowers,False
2023,9,12,108,Uncle Rico,Jeff Wilson Jr.,False
2023,10,1,109,Uncle Rico,Elijah Moore,False
2023,10,2,110,Voldemort,Christian Watson,True
2023,10,3,111,ThreatLevelMidnight,Calvin Ridley,True
2023,10,4,112,Patty Primetimes,Kadarius Toney,False
2023,10,5,113,Pop Lockett Drop it,Marvin Mims Jr.,False
2023,10,6,114,malle_dips_pouches,Michael Thomas,False
2023,10,7,115,Buttermilk Puuump,Dak Prescott,False
2023,10,8,116,Joe Mantegna,Nico Collins,False
2023,10,9,117,The Big Gronkowski,Skyy Moore,False
2023,10,10,118,Ginger FC,Treylon Burks,False
2023,10,11,119,Post Mahomes,Garrett Wilson,True
2023,10,12,120,Malle ❤️ 🐸,Daniel Jones,False
2023,11,1,121,Malle ❤️ 🐸,Kenny Gainwell,False
2023,11,2,122,Post Mahomes,Elijah Mitchell,False
2023,11,3,123,Ginger FC,Ezekiel Elliott,False
2023,11,4,124,The Big Gronkowski,Tank Bigsby,False
2023,11,5,125,Joe Mantegna,Jakobi Meyers,False
2023,11,6,126,Buttermilk Puuump,De'Von Achane,False
2023,11,7,127,malle_dips_pouches,Allen Lazard,False
2023,11,8,128,Pop Lockett Drop it,Zay Jones,False
2023,11,9,129,Patty Primetimes,Anthony Richardson Sr.,False
2023,11,10,130,ThreatLevelMidnight,Raheem Mostert,False
2023,11,11,131,Voldemort,DJ Chark,False
2023,11,12,132,Uncle Rico,Chig Okonkwo,False
2023,12,1,133,Uncle Rico,Geno Smith,False
2023,12,2,134,Voldemort,Devin Singletary,False
2023,12,3,135,ThreatLevelMidnight,Rashee Rice,False
2023,12,4,136,Patty Primetimes,Eagles,False
2023,12,5,137,Pop Lockett Drop it,Rondale Moore,False
2023,12,6,138,malle_dips_pouches,Jets,False
