year,round,pick_in_round,overall_pick,team,player,keeper
2022,1,1,1,Post Mahomes,Jonathan Taylor,False
2022,1,2,2,malle_dips_pouches,Christian McCaffrey,False
2022,1,3,3,The Big Gronkowski,Austin Ekeler,False
2022,1,4,4,Patty Primetimes,Derrick Henry,False
2022,1,5,5,Voldemort,Joe Mixon,False
2022,1,6,6,Pop Lockett Drop it,Najee Harris,False
2022,1,7,7,Big Sack Jack,Dalvin Cook,False
2022,1,8,8,ThreatLevelMidnight,Stefon Diggs,False
2022,1,9,9,Malle ❤️ 🐸,CeeDee Lamb,False
2022,1,10,10,Ginger FC,Alvin Kamara,False
2022,1,11,11,Uncle Rico,Saquon Barkley,False
2022,1,12,12,Joe Mantegna,Davante Adams,False
2022,2,1,13,Joe Mantegna,Aaron Jones Sr.,False
2022,2,2,14,Uncle Rico,Nick Chubb,False
2022,2,3,15,Ginger FC,Travis Kelce,False
2022,2,4,16,Malle ❤️ 🐸,D'Andre Swift,False
2022,2,5,17,ThreatLevelMidnight,Mike Evans,False
2022,2,6,18,Big Sack Jack,Tyreek Hill,False
2022,2,7,19,Pop Lockett Drop it,Michael Pittman Jr.,False
2022,2,8,20,Voldemort,Deebo Samuel Sr.,False
2022,2,9,21,Patty Primetimes,Javonte Williams,False
2022,2,10,22,The Big Gronkowski,Cooper Kupp,True
2022,2,11,23,malle_dips_pouches,Mark Andrews,False
2022,2,12,24,Post Mahomes,A.J. Brown,False
2022,3,1,25,Post Mahomes,Ezekiel Elliott,False
2022,3,2,26,malle_dips_pouches,Josh Jacobs,False
2022,3,3,27,The Big Gronkowski,Tee Higgins,False
2022,3,4,28,Patty Primetimes,Terry McLaurin,False
2022,3,5,29,Voldemort,Josh Allen,False
2022,3,6,30,Pop Lockett Drop it,Keenan Allen,False
2022,3,7,31,Big Sack Jack,DJ Moore,True
2022,3,8,32,ThreatLevelMidnight,Allen Robinson,False
2022,3,9,33,Malle ❤️ 🐸,Adam Thielen,True
2022,3,10,34,Ginger FC,Mike Williams,False
2022,3,11,35,Uncle Rico,Kyle Pitts Sr.,False
2022,3,12,36,Joe Mantegna,Breece Hall,False
2022,4,1,37,Joe Mantegna,Courtland Sutton,False
2022,4,2,38,Uncle Rico,Patrick Mahomes,False
2022,4,3,39,Ginger FC,Kyler Murray,False
2022,4,4,40,Malle ❤️ 🐸,Diontae Johnson,False
2022,4,5,41,ThreatLevelMidnight,Chase Edmonds,False
2022,4,6,42,Big Sack Jack,AJ Dillon,False
2022,4,7,43,Pop Lockett Drop it,Dameon Pierce,False
2022,4,8,44,Voldemort,David Montgomery,False
2022,4,9,45,Patty Primetimes,Darren Waller,False
2022,4,10,46,The Big Gronkowski,George Kittle,False
2022,4,11,47,malle_dips_pouches,Lamar Jackson,False
2022,4,12,48,Post Mahomes,Gabe Davis,False
2022,5,1,49,Post Mahomes,Brandin Cooks,False
2022,5,2,50,malle_dips_pouches,Jaylen Waddle,False
2022,5,3,51,The Big Gronkowski,JuJu Smith-Schuster,False
2022,5,4,52,Patty Primetimes,DK Metcalf,False
2022,5,5,53,Voldemort,Antonio Gibson,False
2022,5,6,54,Pop Lockett Drop it,Dalton Schultz,False
2022,5,7,55,Big Sack Jack,Amon-Ra St. Brown,False
2022,5,8,56,ThreatLevelMidnight,Rashaad Penny,False
2022,5,9,57,Malle ❤️ 🐸,J.K. Dobbins,False
2022,5,10,58,Ginger FC,Jerry Jeudy,False
2022,5,11,59,Uncle Rico,Brandon Aiyuk,False
2022,5,12,60,Joe Mantegna,Justin Herbert,True
2022,6,1,61,Joe Mantegna,Dallas Goedert,False
2022,6,2,62,Uncle Rico,Ja'Marr Chase,True
2022,6,3,63,Ginger FC,Rhamondre Stevenson,False
2022,6,4,64,Malle ❤️ 🐸,Jalen Hurts,False
2022,6,5,65,ThreatLevelMidnight,Rashod Bateman,False
2022,6,6,66,Big Sack Jack,Joe Burrow,False
2022,6,7,67,Pop Lockett Drop it,Russell Wilson,False
