year,round,pick_in_round,overall_pick,team,player,keeper
2017,1,1,1,Post Mahomes,David Johnson,False
2017,1,2,2,Pop Lockett Drop it,Le'Veon Bell,False
2017,1,3,3,ThreatLevelMidnight,Antonio Brown,False
2017,1,4,4,Joe Mantegna,Odell Beckham Jr.,False
2017,1,5,5,malle_dips_pouches,Julio Jones,False
2017,1,6,6,Malle ❤️ 🐸,LeSean McCoy,False
2017,1,7,7,Ginger FC,Mike Evans,False
2017,1,8,8,Dillon Panthers,Devonta Freeman,False
2017,1,9,9,The Big Gronkowski,A.J. Green,False
2017,1,10,10,Voldemort,Melvin Gordon III,False
2017,1,11,11,Hello Harvard,Michael Thomas,False
2017,1,12,12,Big Sack Jack,DeMarco Murray,False
2017,2,1,13,Big Sack Jack,Brandin Cooks,False
2017,2,2,14,Hello Harvard,Jordan Howard,False
2017,2,3,15,Voldemort,Jordy Nelson,False
2017,2,4,16,The Big Gronkowski,Ezekiel Elliott,False
2017,2,5,17,Dillon Panthers,Dez Bryant,False
2017,2,6,18,Ginger FC,Jay Ajayi,False
2017,2,7,19,Malle ❤️ 🐸,Amari Cooper,False
2017,2,8,20,malle_dips_pouches,Todd Gurley,False
2017,2,9,21,Joe Mantegna,Christian McCaffrey,False
2017,2,10,22,ThreatLevelMidnight,Terrelle Pryor Sr.,False
2017,2,11,23,Pop Lockett Drop it,Isaiah Crowell,False
2017,2,12,24,Post Mahomes,Doug Baldwin,False
2017,3,1,25,Post Mahomes,Leonard Fournette,False
2017,3,2,26,Pop Lockett Drop it,T.Y. Hilton,False
2017,3,3,27,ThreatLevelMidnight,Lamar Miller,False
2017,3,4,28,Joe Mantegna,Travis Kelce,False
2017,3,5,29,malle_dips_pouches,Rob Gronkowski,False
2017,3,6,30,Malle ❤️ 🐸,Dalvin Cook,False
2017,3,7,31,Ginger FC,Carlos Hyde,False
2017,3,8,32,Dillon Panthers,Aaron Rodgers,False
2017,3,9,33,The Big Gronkowski,Marshawn Lynch,False
2017,3,10,34,Voldemort,Tom Brady,False
2017,3,11,35,Hello Harvard,Ty Montgomery II,False
2017,3,12,36,Big Sack Jack,Tyreek Hill,False
2017,4,1,37,Big Sack Jack,Mark Ingram II,False
2017,4,2,38,Hello Harvard,Joe Mixon,False
2017,4,3,39,Voldemort,Kareem Hunt,False
