year,round,pick_in_round,overall_pick,team,player,keeper,position,position_source
2017,7,5,77,malle_dips_pouches,LeGarrette Blount,False,RB,Weekly Lineup
2017,7,6,78,Malle ❤️ 🐸,Willie Snead IV,False,WR,Weekly Lineup
2017,7,7,79,Ginger FC,Danny Woodhead,False,RB,Weekly Lineup
2017,7,8,80,Dillon Panthers,Jeremy Maclin,False,WR,Weekly Lineup
2017,7,9,81,The Big Gronkowski,Delanie Walker,False,TE,Weekly Lineup
2017,7,10,82,Voldemort,Eddie Lacy,False,RB,Weekly Lineup
2017,7,11,83,Hello Harvard,Pierre Garcon,False,WR,Weekly Lineup
2017,7,12,84,Big Sack Jack,Hunter Henry,False,TE,Weekly Lineup
2017,8,1,85,Big Sack Jack,Kirk Cousins,False,QB,Weekly Lineup
2017,8,2,86,Hello Harvard,Thomas Rawls,False,RB,Weekly Lineup
2017,8,3,87,Voldemort,Chris Hogan,False,WR,Weekly Lineup
2017,8,4,88,The Big Gronkowski,Ben Roethlisberger,False,QB,Weekly Lineup
2017,8,5,89,Dillon Panthers,Cam Newton,False,QB,Weekly Lineup
2017,8,6,90,Ginger FC,Broncos,False,DEF,Defense
2017,8,7,91,Malle ❤️ 🐸,Terrance West,False,RB,Weekly Lineup
2017,8,8,92,malle_dips_pouches,Derek Carr,False,QB,Weekly Lineup
2017,8,9,93,Joe Mantegna,Sammy Watkins,False,WR,Weekly Lineup
2017,8,10,94,ThreatLevelMidnight,Dak Prescott,False,QB,Weekly Lineup
2017,8,11,95,Pop Lockett Drop it,Justin Tucker,False,K,Weekly Lineup
2017,8,12,96,Post Mahomes,Stefon Diggs,False,WR,NFLverse Exact
2017,9,1,97,Post Mahomes,Frank Gore,False,RB,Weekly Lineup
2017,9,2,98,Pop Lockett Drop it,Seahawks,False,DEF,Defense
2017,9,3,99,ThreatLevelMidnight,Texans,False,DEF,Defense
2017,9,4,100,Joe Mantegna,Randall Cobb,False,WR,NFLverse Exact
2017,9,5,101,malle_dips_pouches,Tyrell Williams,False,WR,Weekly Lineup
2017,9,6,102,Malle ❤️ 🐸,Chiefs,False,DEF,Defense
2017,9,7,103,Ginger FC,Stephen Gostkowski,False,K,Weekly Lineup
2017,9,8,104,Dillon Panthers,Patriots,False,DEF,Defense
2017,9,9,105,The Big Gronkowski,Dan Bailey,False,K,Weekly Lineup
2017,9,10,106,Voldemort,Paul Perkins,False,RB,NFLverse Exact
2017,9,11,107,Hello Harvard,Darren McFadden,False,RB,NFLverse Exact
2017,9,12,108,Big Sack Jack,Philip Rivers,False,QB,Weekly Lineup
2017,10,1,109,Big Sack Jack,Vikings,False,DEF,Defense
2017,10,2,110,Hello Harvard,Matthew Stafford,False,QB,Weekly Lineup
2017,10,3,111,Voldemort,Donte Moncrief,False,WR,NFLverse Exact
2017,10,4,112,The Big Gronkowski,Andy Dalton,False,QB,Weekly Lineup
2017,10,5,113,Dillon Panthers,Matt Bryant,False,K,Weekly Lineup
2017,10,6,114,Ginger FC,Zach Ertz,False,TE,Weekly Lineup
2017,10,7,115,Malle ❤️ 🐸,Eric Decker,False,WR,Weekly Lineup
2017,10,8,116,malle_dips_pouches,Jonathan Stewart,False,RB,Weekly Lineup
2017,10,9,117,Joe Mantegna,Rex Burkhead,False,RB,NFLverse Exact
2017,10,10,118,ThreatLevelMidnight,Rishard Matthews,False,WR,NFLverse Exact
2017,10,11,119,Pop Lockett Drop it,Duke Johnson,False,RB,Weekly Lineup
2017,10,12,120,Post Mahomes,Kenny Britt,False,WR,NFLverse Exact
2017,11,1,121,Post Mahomes,Mike Wallace,False,WR,NFLverse Exact
2017,11,2,122,Pop Lockett Drop it,Andrew Luck,False,QB,NFLverse Exact
2017,11,3,123,ThreatLevelMidnight,Eli Manning,False,QB,NFLverse Exact
2017,11,4,124,Joe Mantegna,Cardinals,False,DEF,Defense
2017,11,5,125,malle_dips_pouches,Corey Coleman,False,WR,NFLverse Exact
2017,11,6,126,Malle ❤️ 🐸,Adam Vinatieri,False,K,Weekly Lineup
2017,11,7,127,Ginger FC,Jack Doyle,False,TE,Weekly Lineup
2017,11,8,128,Dillon Panthers,Theo Riddick,False,RB,NFLverse Exact
2017,11,9,129,The Big Gronkowski,Ted Ginn Jr.,False,WR,Weekly Lineup
2017,11,10,130,Voldemort,Jeremy Hill,False,RB,NFLverse Exact
2017,11,11,131,Hello Harvard,Adam Thielen,False,WR,Weekly Lineup
2017,11,12,132,Big Sack Jack,Marvin Jones Jr.,False,WR,Weekly Lineup
2017,12,1,133,Big Sack Jack,John Brown,False,WR,NFLverse Exact
2017,12,2,134,Hello Harvard,Austin Hooper,False,TE,Weekly Lineup
2017,12,3,135,Voldemort,Matt Forte,False,RB,NFLverse Exact
2017,12,4,136,The Big Gronkowski,Steelers,False,DEF,Defense
