year,round,pick_in_round,overall_pick,team,player,keeper
2018,1,1,1,Uncle Rico,Todd Gurley,False
2018,1,2,2,Post Mahomes,Ezekiel Elliott,False
2018,1,3,3,Malle ❤️ 🐸,David Johnson,False
2018,1,4,4,Big Sack Jack,Alvin Kamara,False
2018,1,5,5,Dillon Panthers,Antonio Brown,False
2018,1,6,6,Ginger FC,DeAndre Hopkins,False
2018,1,7,7,Joe Mantegna,Saquon Barkley,False
2018,1,8,8,ThreatLevelMidnight,Melvin Gordon III,False
2018,1,9,9,Voldemort,Le'Veon Bell,False
2018,1,10,10,malle_dips_pouches,Leonard Fournette,False
2018,1,11,11,Pop Lockett Drop it,Kareem Hunt,False
2018,1,12,12,The Big Gronkowski,Christian McCaffrey,False
2018,2,1,13,The Big Gronkowski,Dalvin Cook,False
2018,2,2,14,Pop Lockett Drop it,Odell Beckham Jr.,False
2018,2,3,15,malle_dips_pouches,Davante Adams,False
2018,2,4,16,Voldemort,Devonta Freeman,False
2018,2,5,17,ThreatLevelMidnight,Jordan Howard,False
2018,2,6,18,Joe Mantegna,Julio Jones,False
2018,2,7,19,Ginger FC,Rob Gronkowski,False
2018,2,8,20,Dillon Panthers,A.J. Green,False
2018,2,9,21,Big Sack Jack,Tyreek Hill,False
2018,2,10,22,Malle ❤️ 🐸,Mike Evans,False
2018,2,11,23,Post Mahomes,Michael Thomas,False
2018,2,12,24,Uncle Rico,Keenan Allen,False
2018,3,1,25,Uncle Rico,Aaron Rodgers,False
2018,3,2,26,Post Mahomes,Joe Mixon,False
2018,3,3,27,Malle ❤️ 🐸,Kenyan Drake,False
2018,3,4,28,Big Sack Jack,Travis Kelce,False
2018,3,5,29,Dillon Panthers,Alex Collins,False
2018,3,6,30,Ginger FC,Jay Ajayi,False
2018,3,7,31,Joe Mantegna,Zach Ertz,False
2018,3,8,32,ThreatLevelMidnight,Adam Thielen,False
2018,3,9,33,Voldemort,Stefon Diggs,False
2018,3,10,34,malle_dips_pouches,Amari Cooper,False
2018,3,11,35,Pop Lockett Drop it,Royce Freeman,False
2018,3,12,36,The Big Gronkowski,JuJu Smith-Schuster,False
2018,4,1,37,The Big Gronkowski,Larry Fitzgerald,False
2018,4,2,38,Pop Lockett Drop it,Golden Tate,False
2018,4,3,39,malle_dips_pouches,Lamar Miller,False
2018,4,4,40,Voldemort,Tom Brady,False
2018,4,5,41,ThreatLevelMidnight,LeSean McCoy,False
2018,4,6,42,Joe Mantegna,Deshaun Watson,False
2018,4,7,43,Ginger FC,Russell Wilson,False
2018,4,8,44,Dillon Panthers,Drew Brees,False
2018,4,9,45,Big Sack Jack,Derrick Henry,False
2018,4,10,46,Malle ❤️ 🐸,Cam Newton,False
2018,4,11,47,Post Mahomes,T.Y. Hilton,False
2018,4,12,48,Uncle Rico,Chris Hogan,False
2018,5,1,49,Uncle Rico,Doug Baldwin,False
2018,5,2,50,Post Mahomes,Mark Ingram II,False
2018,5,3,51,Malle ❤️ 🐸,Allen Robinson,False
2018,5,4,52,Big Sack Jack,Jarvis Landry,False
2018,5,5,53,Dillon Panthers,Carlos Hyde,False
2018,5,6,54,Ginger FC,Carson Wentz,False
2018,5,7,55,Joe Mantegna,Corey Davis,False
2018,5,8,56,ThreatLevelMidnight,Marvin Jones Jr.,False
2018,5,9,57,Voldemort,Demaryius Thomas,False
2018,5,10,58,malle_dips_pouches,Dion Lewis,False
2018,5,11,59,Pop Lockett Drop it,Jimmy Graham,False
2018,5,12,60,The Big Gronkowski,Rex Burkhead,False
2018,6,1,61,The Big Gronkowski,Brandin Cooks,False
2018,6,2,62,Pop Lockett Drop it,Josh Gordon,False
2018,6,3,63,malle_dips_pouches,Delanie Walker,False
2018,6,4,64,Voldemort,Marshawn Lynch,False
2018,6,5,65,ThreatLevelMidnight,Greg Olsen,False
2018,6,6,66,Joe Mantegna,Alfred Morris,False
2018,6,7,67,Ginger FC,Jamaal Williams,False
2018,6,8,68,Dillon Panthers,Emmanuel Sanders,False
2018,6,9,69,Big Sack Jack,Matthew Stafford,False
2018,6,10,70,Malle ❤️ 🐸,Tevin Coleman,False
2018,6,11,71,Post Mahomes,Evan Engram,False
2018,6,12,72,Uncle Rico,Chris Carson,False
2018,7,1,73,Uncle Rico,Kyle Rudolph,False
2018,7,2,74,Post Mahomes,Marquise Goodwin,False
2018,7,3,75,Malle ❤️ 🐸,Ben Roethlisberger,False
2018,7,4,76,Big Sack Jack,Robert Woods,False
2018,7,5,77,Dillon Panthers,Trey Burton,False
2018,7,6,78,Ginger FC,Devin Funchess,False
2018,7,7,79,Joe Mantegna,Jamison Crowder,False
2018,7,8,80,ThreatLevelMidnight,Kirk Cousins,False
2018,7,9,81,Voldemort,James Conner,False
2018,7,10,82,malle_dips_pouches,Michael Crabtree,False
2018,7,11,83,Pop Lockett Drop it,Adrian Peterson,False
2018,7,12,84,The Big Gronkowski,Philip Rivers,False
2018,8,1,85,The Big Gronkowski,David Njoku,False
2018,8,2,86,Pop Lockett Drop it,Matt Ryan,False
2018,8,3,87,malle_dips_pouches,Cooper Kupp,False
2018,8,4,88,Voldemort,Jordan Reed,False
2018,8,5,89,ThreatLevelMidnight,Will Fuller V,False
2018,8,6,90,Joe Mantegna,Jaguars,False
2018,8,7,91,Ginger FC,Chris Thompson,False
2018,8,8,92,Dillon Panthers,Kerryon Johnson,False
2018,8,9,93,Big Sack Jack,Sony Michel,False
2018,8,10,94,Malle ❤️ 🐸,Cameron Brate,False
2018,8,11,95,Post Mahomes,Sammy Watkins,False
2018,8,12,96,Uncle Rico,Robbie Chosen,False
2018,9,1,97,Uncle Rico,Duke Johnson,False
2018,9,2,98,Post Mahomes,Andrew Luck,False
2018,9,3,99,Malle ❤️ 🐸,Alshon Jeffery,False
2018,9,4,100,Big Sack Jack,Jordy Nelson,False
2018,9,5,101,Dillon Panthers,Jimmy Garoppolo,False
