table_index,row_index,cell_index,tag,class,data_pos,text
1,6,8,TD,Alt Pend-med Ta-end F-shade Va-top,,12.18
1,6,9,TD,Last Ta-start,,Mark Andrews Final L 38-42 vs Mia
1,6,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"104 Rec Yds, 1 Rec TD, 9 Rec"
1,7,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,41 Rush Yds
1,7,1,TD,Ta-start,,Cordarrelle Patterson Final L 14-17 vs NE
1,7,2,TD,Alt Ta-end F-shade Va-top,,12.12
1,7,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,4.10
1,7,4,TD,Alt Bg-shade Hidden,,W/R/T
1,7,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,W/R/T
1,7,6,TD,Alt Hidden Hidden,,W/R/T
1,7,7,TD,Ta-end Fw-b Nowrap Va-top,,6.10
1,7,8,TD,Alt Pend-med Ta-end F-shade Va-top,,13.89
1,7,9,TD,Last Ta-start,,James Conner  Final W 29-23 @ LV
1,7,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"26 Rec Yds, 25 Rush Yds, 2 Rec"
1,8,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"1 FG 30-39, 3 PAT Made"
1,8,1,TD,Ta-start,,Jake Elliott Final W 24-7 vs Min
1,8,2,TD,Alt Ta-end F-shade Va-top,,8.78
1,8,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,6.00
1,8,4,TD,Alt Bg-shade Hidden,,K
1,8,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,K
1,8,6,TD,Alt Hidden Hidden,,K
1,8,7,TD,Ta-end Fw-b Nowrap Va-top,,7.00
1,8,8,TD,Alt Pend-med Ta-end F-shade Va-top,,10.68
1,8,9,TD,Last Ta-start,,Matt Gay Final L 23-29 vs Ari
1,8,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"4 PAT Made, 1 FG 20-29"
1,9,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"2 Sack, 1 Fum Rec, Pts Allow 28-34"
1,9,1,TD,Ta-start,,Browns - DEF Final L 30-31 vs NYJ
1,9,2,TD,Alt Ta-end F-shade Va-top,,8.10
1,9,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,3.00
1,9,4,TD,Alt Bg-shade Hidden,,DEF
1,9,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,DEF
1,9,6,TD,Alt Hidden Hidden,,DEF
1,9,7,TD,Ta-end Fw-b Nowrap Va-top,,7.00
1,9,8,TD,Alt Pend-med Ta-end F-shade Va-top,,7.97
