year,player,final_owner,ownership_confidence,ownership_evidence,snapshot_owner,snapshot_week
2017,Adam Thielen,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Corey Clement,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Danny Woodhead,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Jaguars,Hello Harvard,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Jaguars - DEF,Hello Harvard,Snapshot Only,Final regular-season roster snapshot (Week 13),Hello Harvard,13.0
2017,Jake Elliott,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Joe Mixon,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Jordan Howard,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Josh Doctson,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Lions,Hello Harvard,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Lions - DEF,Hello Harvard,Snapshot Only,Final regular-season roster snapshot (Week 13),Hello Harvard,13.0
2017,Marquise Goodwin,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Matthew Stafford,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Michael Thomas,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Ricky Seals-Jones,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Ted Ginn Jr.,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Vernon Davis,Hello Harvard,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Hello Harvard,13.0
2017,Adrian Peterson,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Ameer Abdullah,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Cardinals,Joe Mantegna,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Cardinals - DEF,Joe Mantegna,Snapshot Only,Final regular-season roster snapshot (Week 13),Joe Mantegna,13.0
2017,Carson Palmer,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Christian McCaffrey,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Coby Fleener,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Donte Moncrief,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Jameis Winston,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Julius Thomas,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Kelvin Benjamin,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Matt Prater,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Odell Beckham Jr.,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Randall Cobb,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
