year,team,player,round_kept_in,pick_in_round,overall_pick,keeper_number,keeper_status,keeper_limit_status,acquisition_basis,waiver_baseline,waiver_acquisition_type,waiver_acquisition_team,waiver_acquisition_date,previous_team,previous_year_round,previous_was_keeper,original_draft_year,original_draft_round,original_draft_team,expected_round,round_matches_rule,known_round_exception,rule_status,next_keeper_round,next_season_status
2022,Malle ❤️ 🐸,Adam Thielen,3,9,33,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Malle ❤️ 🐸,4.0,False,2021.0,4.0,Malle ❤️ 🐸,3,True,False,Matches Keeper Rule,2.0,Eligible — Round 2
2022,Patty Primetimes,Travis Etienne Jr.,14,9,165,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Patty Primetimes,15.0,False,2021.0,15.0,Patty Primetimes,14,True,False,Matches Keeper Rule,13.0,Eligible — Round 13
2022,Pop Lockett Drop it,Hollywood Brown,10,7,115,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Pop Lockett Drop it,11.0,False,2021.0,11.0,Pop Lockett Drop it,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2022,Post Mahomes,Cam Akers,11,1,121,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,ThreatLevelMidnight,12.0,False,2021.0,12.0,ThreatLevelMidnight,11,True,False,Matches Keeper Rule,10.0,Eligible — Round 10
2022,The Big Gronkowski,Cooper Kupp,2,10,22,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,The Big Gronkowski,3.0,False,2021.0,3.0,The Big Gronkowski,2,True,False,Matches Keeper Rule,1.0,Eligible — Round 1
2022,ThreatLevelMidnight,Elijah Mitchell,10,5,113,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Waiver,ThreatLevelMidnight,"Sep 15, 2:20 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2022,Uncle Rico,Ja'Marr Chase,6,2,62,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Uncle Rico,7.0,False,2021.0,7.0,Uncle Rico,6,True,False,Matches Keeper Rule,5.0,Eligible — Round 5
2022,Voldemort,Justin Jefferson,10,8,116,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Voldemort,11.0,True,2020.0,12.0,Pop Lockett Drop it,10,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2022,malle_dips_pouches,James Conner,6,11,71,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,malle_dips_pouches,7.0,False,2021.0,7.0,malle_dips_pouches,6,True,False,Matches Keeper Rule,5.0,Eligible — Round 5
2023,Buttermilk Puuump,Amon-Ra St. Brown,4,7,43,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Big Sack Jack,5.0,False,2022.0,5.0,Big Sack Jack,4,True,False,Matches Keeper Rule,3.0,Eligible — Round 3
2023,Ginger FC,Aaron Rodgers,9,3,99,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Patty Primetimes,10.0,False,2022.0,10.0,Patty Primetimes,9,True,False,Matches Keeper Rule,8.0,Eligible — Round 8
2023,Joe Mantegna,James Cook III,8,8,92,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Voldemort,9.0,False,2022.0,9.0,Voldemort,8,True,False,Matches Keeper Rule,7.0,Eligible — Round 7
2023,Malle ❤️ 🐸,Jalen Hurts,5,1,49,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Malle ❤️ 🐸,6.0,False,2022.0,6.0,Malle ❤️ 🐸,5,True,False,Matches Keeper Rule,4.0,Eligible — Round 4
2023,Patty Primetimes,Travis Etienne Jr.,13,9,153,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Patty Primetimes,14.0,True,2021.0,15.0,Patty Primetimes,13,True,False,Matches Keeper Rule,,Must Return to Draft Pool
