year,canonical_team,team_weeks,actual_wins,expected_wins,bad_beats,severe_bad_beats,brutal_bad_beats,lucky_wins,severe_lucky_wins,avg_score,actual_win_rate,expected_win_rate,wins_below_expected
2017,The Big Gronkowski,13,5,7.636363636363636,3,0,0,1,0,95.25846153846153,0.38461538461538464,0.5874125874125874,2.636363636363636
2017,Dillon Panthers,13,4,5.363636363636363,2,0,0,1,1,84.48153846153846,0.3076923076923077,0.41258741258741255,1.3636363636363633
2017,Malle ❤️ 🐸,13,3,4.363636363636363,1,0,0,0,0,80.13538461538461,0.23076923076923078,0.3356643356643356,1.3636363636363633
2017,ThreatLevelMidnight,13,6,7.181818181818182,4,2,2,1,0,91.77230769230769,0.46153846153846156,0.5524475524475524,1.1818181818181817
2017,Big Sack Jack,13,7,7.545454545454545,1,0,0,0,0,92.25692307692309,0.5384615384615384,0.5804195804195804,0.545454545454545
2017,Post Mahomes,13,8,8.454545454545455,1,0,0,0,0,98.9123076923077,0.6153846153846154,0.6503496503496504,0.45454545454545503
2017,Voldemort,13,9,9.454545454545455,2,0,0,0,0,103.30923076923077,0.6923076923076923,0.7272727272727273,0.45454545454545503
2017,malle_dips_pouches,13,7,7.0,3,0,0,3,0,94.46307692307693,0.5384615384615384,0.5384615384615384,0.0
2017,Hello Harvard,13,5,4.909090909090909,0,0,0,1,0,83.92153846153846,0.38461538461538464,0.3776223776223776,-0.09090909090909083
2017,Joe Mantegna,13,5,3.5454545454545454,0,0,0,2,1,73.03384615384616,0.38461538461538464,0.2727272727272727,-1.4545454545454546
2017,Ginger FC,13,10,6.909090909090909,1,0,0,5,0,91.86461538461539,0.7692307692307693,0.5314685314685315,-3.090909090909091
2017,Pop Lockett Drop it,13,9,5.636363636363637,0,0,0,4,1,84.13692307692307,0.6923076923076923,0.4335664335664336,-3.3636363636363633
2018,Joe Mantegna,13,4,6.636363636363637,3,1,1,0,0,104.84461538461538,0.3076923076923077,0.5104895104895105,2.6363636363636367
2018,Post Mahomes,13,6,8.272727272727273,3,1,1,0,0,111.17384615384616,0.46153846153846156,0.6363636363636365,2.2727272727272734
2018,Pop Lockett Drop it,13,8,8.909090909090908,3,0,0,1,0,113.86153846153846,0.6153846153846154,0.6853146853146852,0.9090909090909083
2018,Dillon Panthers,13,6,6.818181818181818,2,1,1,0,0,101.96615384615384,0.46153846153846156,0.5244755244755245,0.8181818181818183
2018,Malle ❤️ 🐸,13,4,4.545454545454546,1,0,0,1,0,92.8876923076923,0.3076923076923077,0.3496503496503497,0.5454545454545459
2018,Big Sack Jack,13,8,8.454545454545455,2,0,0,0,0,106.34153846153846,0.6153846153846154,0.6503496503496504,0.45454545454545503
2018,Voldemort,13,7,7.090909090909091,2,0,0,1,0,102.02461538461537,0.5384615384615384,0.5454545454545454,0.09090909090909083
2018,Ginger FC,13,4,3.909090909090909,1,0,0,2,0,91.21846153846153,0.3076923076923077,0.30069930069930073,-0.09090909090909083
2018,ThreatLevelMidnight,13,7,6.7272727272727275,0,0,0,1,0,104.14,0.5384615384615384,0.5174825174825175,-0.2727272727272725
2018,Uncle Rico,13,6,5.181818181818182,0,0,0,2,1,96.79076923076923,0.46153846153846156,0.3986013986013986,-0.8181818181818183
2018,The Big Gronkowski,13,7,4.545454545454545,0,0,0,4,2,97.10769230769232,0.5384615384615384,0.34965034965034963,-2.454545454545455
2018,malle_dips_pouches,13,11,6.909090909090909,0,0,0,5,1,104.62923076923077,0.8461538461538461,0.5314685314685315,-4.090909090909091
2019,Uncle Rico,13,2,5.090909090909091,2,0,0,0,0,89.79076923076923,0.15384615384615385,0.3916083916083916,3.090909090909091
