year,week,fantasy_team,opponent,team_score,opponent_score,margin,result,win,starting_qb,qb_nfl_team,qb_points,starting_qb_count,starting_wrs,starting_wr_count,starting_wr_points,stack_pairs,stack_nfl_teams,stacked_wr_count,stacked_wr_points,has_qb_wr_stack,team_avg_score,score_vs_team_average,season_team_avg_score,score_vs_season_team_average,season_score_percentile,top_quartile_score,canonical_team
2018,2,The Big Gronkowski,Voldemort,94.74,103.96,-9.219999999999999,L,0,Philip Rivers,LAC,28.74,1,JuJu Smith-Schuster | Larry Fitzgerald,2,20.900000000000002,,,0,0.0,False,106.0845045045045,-11.3445045045045,97.10769230769232,-2.367692307692323,0.33974358974358976,False,The Big Gronkowski
2018,2,ThreatLevelMidnight,Ginger FC 🏆🏆,127.1,83.04,44.05999999999999,W,1,Kirk Cousins,MIN,42.5,1,Adam Thielen | Marvin Jones Jr.,2,30.5,Kirk Cousins + Adam Thielen,MIN,1,19.1,True,110.93585585585585,16.164144144144146,104.14,22.959999999999994,0.9102564102564102,True,ThreatLevelMidnight
2018,2,Uncle Rico,Dillon Panthers,98.54,100.02,-1.4799999999999898,L,0,Aaron Rodgers,GB,18.04,1,Chris Hogan | Keenan Allen | Kenny Stills,3,24.6,,,0,0.0,False,104.54612612612614,-6.006126126126134,96.79076923076923,1.7492307692307776,0.4551282051282051,False,Uncle Rico
2018,2,Voldemort,The Big Gronkowski,103.96,94.74,9.219999999999999,W,1,Tom Brady,NE,20.36,1,Demaryius Thomas | Stefon Diggs,2,28.7,,,0,0.0,False,111.55117117117118,-7.591171171171183,102.02461538461537,1.9353846153846206,0.5833333333333334,False,Voldemort
2018,2,malle_dips_pouches,Malle ❤️ 🐸,102.26,97.8,4.460000000000008,W,1,Jared Goff,LA,21.36,1,Amari Cooper | Davante Adams,2,24.0,,,0,0.0,False,102.96270270270271,-0.7027027027027088,104.62923076923077,-2.369230769230768,0.5641025641025641,False,malle_dips_pouches
2018,3,Big Sack Jack,Dillon Panthers,106.58,120.84,-14.260000000000005,L,0,Matthew Stafford,DET,22.48,1,Jarvis Landry | Robert Woods | Tyreek Hill,3,41.6,,,0,0.0,False,105.14716417910448,1.4328358208955194,106.34153846153846,0.23846153846153584,0.6410256410256411,False,Big Sack Jack
2018,3,Dillon Panthers,Big Sack Jack,120.84,106.58,14.260000000000005,W,1,Drew Brees,NO,46.54,1,A.J. Green | Antonio Brown | Emmanuel Sanders,3,30.1,,,0,0.0,False,101.96615384615384,18.87384615384616,101.96615384615384,18.87384615384616,0.8333333333333334,True,Dillon Panthers
2018,3,Ginger FC 🏆🏆,Pop Lockett Drop it,56.9,127.26,-70.36000000000001,L,0,Carson Wentz,PHI,14.2,1,DeAndre Hopkins | Devin Funchess | Pierre Garcon,3,22.4,,,0,0.0,False,103.91405405405405,-47.01405405405405,91.21846153846153,-34.31846153846153,0.01282051282051282,False,Ginger FC 🏆🏆
2018,3,Joe Mantegna,The Big Gronkowski,108.16,87.74,20.42,W,1,Patrick Mahomes,KC,31.26,1,Julio Jones | Keelan Cole Sr.,2,13.6,,,0,0.0,False,105.7209009009009,2.4390990990990957,104.84461538461538,3.315384615384616,0.6794871794871795,False,Joe Mantegna
2018,3,Malle ❤️ 🐸,Voldemort,96.5,82.22,14.280000000000001,W,1,Cam Newton,CAR,33.6,1,Allen Robinson | Mike Evans,2,24.7,,,0,0.0,False,104.92054054054054,-8.420540540540543,92.8876923076923,3.612307692307695,0.41025641025641024,False,Malle ❤️ 🐸
