year,canonical_team,weeks,actual_wins,actual_losses,manager_caused_losses,total_points_left,avg_points_left_per_week,avg_lineup_efficiency_pct,avoidable_starts,worst_week_points_left,manager_caused_loss_rate,wins_with_optimal_lineup
2022,Uncle Rico,14,5,9,2,208.5,14.892857142857142,88.95,26,31.5,0.2222222222222222,7
2022,Voldemort,14,10,4,2,158.7,11.335714285714285,91.57642857142856,23,18.7,0.5,12
2022,Big Sack Jack,14,10,4,1,139.9,9.992857142857144,91.79285714285713,29,29.4,0.25,11
2022,Ginger FC 🏆🏆,14,8,6,1,153.4,10.957142857142857,90.80142857142857,22,34.8,0.16666666666666666,9
2022,ThreatLevelMidnight,14,8,6,0,172.96,12.354285714285714,88.84357142857142,20,24.6,0.0,8
2023,Buttermilk Puuump,14,6,8,5,231.46,16.532857142857143,85.86357142857142,28,34.72,0.625,11
2023,Uncle Rico,14,4,10,5,321.34,22.95285714285714,81.02571428571427,33,40.5,0.5,9
2023,Patty Primetimes,14,5,9,4,203.68,14.54857142857143,88.2957142857143,27,43.1,0.4444444444444444,9
2023,Ginger FC 🏆🏆,14,4,10,3,206.0,14.714285714285714,86.14357142857143,23,63.7,0.3,7
2023,Pop Lockett Drop it,14,5,9,3,230.24,16.445714285714285,87.1707142857143,26,40.76,0.3333333333333333,8
2023,The Big Gronkowski,14,7,7,3,179.56,12.825714285714286,89.31642857142857,24,31.22,0.42857142857142855,10
2023,Voldemort,14,7,7,3,181.1,12.935714285714285,89.22857142857143,24,36.3,0.42857142857142855,10
2023,Malle ❤️ 🐸,14,7,7,2,159.62,11.401428571428571,91.03714285714285,25,39.9,0.2857142857142857,9
2023,Post Mahomes,14,8,6,2,140.18,10.012857142857143,92.52,20,26.4,0.3333333333333333,10
2023,Joe Mantegna,14,13,1,1,226.1,16.15,87.89071428571428,26,34.6,1.0,14
2023,ThreatLevelMidnight,14,10,4,1,206.68,14.762857142857143,89.42214285714286,24,50.6,0.25,11
2023,malle_dips_pouches,14,8,6,0,122.54,8.752857142857144,91.92428571428572,26,21.9,0.0,8
2024,Voldemort,14,4,10,7,258.3,18.45,85.78142857142858,27,51.1,0.7,11
2024,Joe Mantegna,14,5,9,3,195.2,13.942857142857141,87.60071428571429,27,29.22,0.3333333333333333,8
2024,Patty Primetimes,14,8,6,3,164.92000000000002,11.780000000000001,90.615,22,32.92,0.5,11
2024,malle_dips_pouches,14,8,6,3,237.79999999999998,16.985714285714284,86.53785714285713,27,49.2,0.5,11
2024,Buttermilk Puuump,14,5,9,2,201.68,14.405714285714286,88.32428571428571,23,39.9,0.2222222222222222,7
2024,Ginger FC 🏆🏆,14,4,10,2,170.6,12.185714285714285,90.38928571428572,20,51.3,0.2,6
2024,The Big Gronkowski,14,9,5,2,180.66,12.904285714285715,89.98785714285714,23,33.6,0.4,11
2024,Uncle Rico,14,6,8,2,155.2,11.085714285714285,90.12571428571428,21,26.1,0.25,8
2024,Malle ❤️ 🐸,14,10,4,1,200.18,14.29857142857143,88.85642857142857,27,43.84,0.25,11
2024,Pop Lockett Drop it,14,6,8,1,164.0,11.714285714285714,89.89857142857143,22,35.2,0.125,7
2024,Post Mahomes,14,10,4,1,100.0,7.142857142857143,94.34357142857142,17,24.7,0.25,11
2024,ThreatLevelMidnight,14,9,5,1,255.64000000000001,18.26,85.53214285714286,30,48.34,0.2,10
2025,Buttermilk Puuump,14,4,10,4,183.22,13.087142857142856,88.93142857142857,20,26.46,0.4,8
2025,The Big Gronkowski,14,4,10,3,225.34,16.095714285714287,86.08928571428571,28,32.0,0.3,7
2025,Voldemort,14,6,8,3,206.6,14.757142857142856,87.56857142857143,26,35.4,0.375,9
2025,Joe Mantegna,14,6,8,2,179.68,12.834285714285715,89.10071428571429,26,38.9,0.25,8
2025,Post Mahomes,14,9,5,2,127.7,9.121428571428572,93.30714285714285,19,25.9,0.4,11
2025,ThreatLevelMidnight,14,9,5,2,115.36,8.24,93.04785714285715,19,16.4,0.4,11
2025,Uncle Rico,14,7,7,2,136.4,9.742857142857144,92.16214285714285,18,27.5,0.2857142857142857,9
2025,Malle ❤️ 🐸,14,3,11,1,132.46,9.461428571428572,91.32571428571428,21,25.7,0.09090909090909091,4
2025,malle_dips_pouches,14,6,8,1,167.0,11.928571428571429,88.73928571428571,27,27.1,0.125,7
2025,Ginger FC 🏆🏆,14,10,4,0,176.5,12.607142857142858,89.78428571428572,26,26.8,0.0,10
2025,Patty Primetimes,14,12,2,0,155.52,11.108571428571429,91.41714285714285,22,24.06,0.0,12
2025,Pop Lockett Drop it,14,8,6,0,179.86,12.847142857142858,90.45857142857143,22,35.0,0.0,8
2026,The Big Gronkowski,2,0,2,2,49.24,24.62,79.11500000000001,7,32.38,1.0,2
2026,Voldemort,2,0,2,1,25.2,12.6,89.745,3,16.4,0.5,1
2026,Buttermilk Puuump,2,0,2,0,21.400000000000002,10.700000000000001,88.4,4,20.6,0.0,0
2026,Ginger FC 🏆🏆,2,1,1,0,25.2,12.6,90.64,5,16.4,0.0,1
2026,Joe Mantegna,2,1,1,0,26.5,13.25,89.2,3,14.4,0.0,1
2026,Malle ❤️ 🐸,2,1,1,0,51.18,25.59,83.455,5,26.5,0.0,1
2026,Patty Primetimes,2,2,0,0,26.1,13.05,90.58,3,22.8,,2
2026,Pop Lockett Drop it,2,2,0,0,3.4,1.7,98.55,2,3.4,,2
2026,Post Mahomes,2,1,1,0,7.6,3.8,96.305,2,3.9,0.0,1
2026,ThreatLevelMidnight,2,2,0,0,16.2,8.1,92.545,1,16.2,,2
2026,Uncle Rico,2,0,2,0,50.17999999999999,25.089999999999996,78.75,6,36.98,0.0,0
2026,malle_dips_pouches,2,2,0,0,10.1,5.05,96.815,4,9.9,,2
