player,player_position,missed_start_count,total_fantasy_points,avg_fantasy_points,max_fantasy_points
Aaron Jones Sr.,RB,7,101.8,14.542857142857143,21.0
Rome Odunze,WR,7,100.0,14.285714285714286,28.3
Ladd McConkey,WR,7,98.2,14.028571428571428,26.1
Christian Watson,WR,7,95.9,13.700000000000001,24.1
Mike Gesicki,TE,7,95.0,13.571428571428571,23.0
Chris Godwin Jr.,WR,7,92.4,13.200000000000001,30.0
Stefon Diggs,WR,7,91.89999999999999,13.128571428571428,36.5
James White,RB,7,88.6,12.657142857142857,29.7
Larry Fitzgerald,WR,7,84.8,12.114285714285714,18.2
Marquez Valdes-Scantling,WR,7,84.0,12.0,19.3
George Kittle,TE,7,77.5,11.071428571428571,18.5
Phillip Lindsay,RB,7,77.5,11.071428571428571,15.6
49ers,DEF,7,69.0,9.857142857142858,20.0
Hayden Hurst,TE,7,65.7,9.385714285714286,14.3
Corey Davis,WR,7,65.4,9.342857142857143,24.2
LeSean McCoy,RB,7,62.7,8.957142857142857,11.7
Gerald Everett,TE,7,56.400000000000006,8.057142857142859,14.6
Jack Doyle,TE,7,44.5,6.357142857142857,13.3
Deshaun Watson,QB,6,191.28,31.88,40.96
Caleb Williams,QB,6,179.44,29.906666666666666,43.7
Ben Roethlisberger,QB,6,176.92,29.486666666666665,44.98
Justin Fields,QB,6,174.66,29.11,40.98
Jimmy Garoppolo,QB,6,167.76,27.959999999999997,39.66
Geno Smith,QB,6,146.84,24.473333333333333,31.12
Philip Rivers,QB,6,143.12,23.853333333333335,28.42
Jaylen Waddle,WR,6,113.8,18.966666666666665,24.4
Cole Beasley,WR,6,106.2,17.7,23.5
DJ Chark,WR,6,103.4,17.233333333333334,28.4
Tyrone Tracy Jr.,RB,6,92.6,15.433333333333332,22.0
Khalil Herbert,RB,6,92.0,15.333333333333334,29.9
Jameson Williams,WR,6,90.2,15.033333333333333,21.9
Will Fuller V,WR,6,88.1,14.683333333333332,32.1
Cooper Kupp,WR,6,81.5,13.583333333333334,28.2
Allen Lazard,WR,6,81.2,13.533333333333333,23.4
Sam LaPorta,TE,6,77.4,12.9,18.4
John Brown,WR,6,76.8,12.799999999999999,18.3
Marquez Callaway,WR,6,72.8,12.133333333333333,22.5
Chris Olave,WR,6,71.6,11.933333333333332,19.2
Brian Thomas Jr.,WR,6,70.0,11.666666666666666,20.7
Kenny Golladay,WR,6,68.7,11.450000000000001,21.8
Tyrell Williams,WR,6,67.6,11.266666666666666,16.5
Tarik Cohen,RB,6,66.9,11.15,23.4
Royce Freeman,RB,6,62.9,10.483333333333333,12.7
Jared Cook,TE,6,59.8,9.966666666666667,16.0
Ronald Jones,RB,6,58.5,9.75,14.2
Elijah Moore,WR,6,55.5,9.25,15.6
Bears,DEF,6,53.0,8.833333333333334,14.0
Isaiah Likely,TE,6,51.0,8.5,14.8
Noah Fant,TE,6,49.7,8.283333333333333,16.6
Patriots,DEF,6,37.0,6.166666666666667,11.0
Drake Maye,QB,5,142.4,28.48,33.28
Joe Burrow,QB,5,135.9,27.18,33.64
Tua Tagovailoa,QB,5,108.03999999999999,21.607999999999997,29.52
Isaiah Crowell,RB,5,88.8,17.759999999999998,29.1
Chase Brown,RB,5,85.7,17.14,24.2
Allen Robinson,WR,5,74.8,14.959999999999999,25.3
Rashid Shaheed,WR,5,74.4,14.88,22.8
Jauan Jennings,WR,5,74.3,14.86,20.1
Tucker Kraft,TE,5,71.80000000000001,14.360000000000003,29.8
Jahan Dotson,WR,5,71.1,14.219999999999999,20.8
DeSean Jackson,WR,5,70.5,14.1,27.4
Tee Higgins,WR,5,69.6,13.919999999999998,19.0
Marvin Mims Jr.,WR,5,68.5,13.7,19.3
Darrell Henderson Jr.,RB,5,67.6,13.52,20.3
Dolphins,DEF,5,62.0,12.4,21.0
Mike Evans,WR,5,61.6,12.32,31.8
Ezekiel Elliott,RB,5,59.5,11.9,17.2
Keon Coleman,WR,5,57.6,11.52,21.2
Mike Davis,RB,5,57.6,11.52,14.0
Devonta Freeman,RB,5,56.8,11.36,17.0
Demaryius Thomas,WR,5,56.4,11.28,16.5
Sammy Watkins,WR,5,56.4,11.28,18.0
Rashod Bateman,WR,5,55.900000000000006,11.180000000000001,18.8
Diontae Johnson,WR,5,55.2,11.040000000000001,22.2
Troy Franklin,WR,5,52.9,10.58,23.9
Derrick Henry,RB,5,52.6,10.52,17.8
Nelson Agholor,WR,5,51.9,10.379999999999999,15.7
Cowboys,DEF,5,51.0,10.2,23.0
Peyton Barber,RB,5,50.3,10.059999999999999,14.9
Kyle Pitts Sr.,TE,5,50.0,10.0,16.5
Devin Duvernay,WR,5,48.5,9.7,19.4
Buccaneers,DEF,5,46.0,9.2,26.0
Alec Pierce,WR,5,45.3,9.059999999999999,14.1
Cam Akers,RB,5,45.2,9.040000000000001,18.5
Chiefs,DEF,5,44.0,8.8,15.0
Ray-Ray McCloud III,WR,5,43.6,8.72,12.1
Tyler Eifert,TE,5,28.0,5.6,9.8
Cameron Brate,TE,5,19.0,3.8,8.6
Blake Bortles,QB,4,118.2,29.55,41.54
Jalen Hurts,QB,4,114.38,28.595,32.18
Josh Allen,QB,4,107.44,26.86,42.0
Drew Brees,QB,4,103.74000000000001,25.935000000000002,31.92
Marcus Mariota,QB,4,99.14,24.785,28.26
Sam Darnold,QB,4,92.10000000000001,23.025000000000002,32.2
James Robinson,RB,4,83.4,20.85,29.7
Tank Dell,WR,4,74.2,18.55,26.6
Gabe Davis,WR,4,70.3,17.575,19.5
Henry Ruggs III,WR,4,66.5,16.625,20.0
Jaxon Smith-Njigba,WR,4,65.19999999999999,16.299999999999997,33.5
Kenneth Walker III,RB,4,64.4,16.1,31.6
Najee Harris,RB,4,63.1,15.775,25.6
Raheem Mostert,RB,4,61.8,15.45,25.2
Julio Jones,WR,4,55.6,13.9,29.7
Kyle Monangai,RB,4,55.4,13.85,19.4
Bucky Irving,RB,4,55.3,13.825,16.2
Tyler Higbee,TE,4,53.3,13.325,25.9
Jordan Mason,RB,4,51.4,12.85,21.7
Taysom Hill,QB,4,47.3,11.825,24.22
Zay Flowers,WR,4,46.6,11.65,14.1
Logan Thomas,TE,4,46.0,11.5,20.3
Rob Gronkowski,TE,4,45.5,11.375,16.3
Bam Knight,RB,4,45.0,11.25,15.3
Antonio Brown,WR,4,43.2,10.8,21.2
Rashee Rice,WR,4,42.5,10.625,14.5
Rondale Moore,WR,4,42.099999999999994,10.524999999999999,19.9
JuJu Smith-Schuster,WR,4,41.8,10.45,17.9
D'Onta Foreman,RB,4,41.7,10.425,15.5
Dede Westbrook,WR,4,41.5,10.375,14.7
Darrel Williams,RB,4,41.0,10.25,12.8
T.Y. Hilton,WR,4,39.9,9.975,14.5
Wan'Dale Robinson,WR,4,36.9,9.225,17.4
Keaton Mitchell,RB,4,34.1,8.525,13.1
Kyle Rudolph,TE,4,33.6,8.4,15.4
Melvin Gordon III,RB,4,32.0,8.0,9.5
Broncos,DEF,4,30.0,7.5,14.0
Josh Gordon,WR,4,29.7,7.425,11.0
Jordan Howard,RB,4,29.1,7.275,8.3
Dylan Sampson,RB,4,28.3,7.075,13.3
Ravens,DEF,4,26.0,6.5,13.0
Jaleel McLaughlin,RB,4,23.8,5.95,8.9
Mark Ingram II,RB,4,23.2,5.8,10.2
Ricky Seals-Jones,TE,4,18.2,4.55,9.5
Patrick Mahomes,QB,3,111.42,37.14,50.84
C.J. Stroud,QB,3,107.72,35.906666666666666,51.8
Ryan Fitzpatrick,QB,3,101.96000000000001,33.98666666666667,34.14
Andrew Luck,QB,3,94.24000000000001,31.413333333333338,33.74
Carson Wentz,QB,3,90.13999999999999,30.046666666666663,32.76
Justin Jefferson,WR,3,78.2,26.066666666666666,35.1
Ryan Tannehill,QB,3,74.03999999999999,24.679999999999996,36.36
Tom Brady,QB,3,69.78,23.26,29.7
Anthony Richardson Sr.,QB,3,60.099999999999994,20.03333333333333,33.6
Clyde Edwards-Helaire,RB,3,58.699999999999996,19.566666666666666,21.9
Myles Gaskin,RB,3,56.5,18.833333333333332,26.9
Sam Howell,QB,3,54.519999999999996,18.173333333333332,30.18
Jerick McKinnon,RB,3,53.8,17.933333333333334,28.9
Rico Dowdle,RB,3,53.4,17.8,27.1
Garrett Wilson,WR,3,52.7,17.566666666666666,23.9
Demarcus Robinson,WR,3,51.2,17.066666666666666,24.4
CeeDee Lamb,WR,3,50.4,16.8,22.7
Chris Carson,RB,3,49.5,16.5,18.4
Elijah Mitchell,RB,3,46.8,15.6,19.7
