year,team,actual_wins,actual_losses,actual_ties,games,average_schedule_wins,best_schedule_wins,worst_schedule_wins,schedule_win_std,schedules_tested,actual_win_equivalent,schedule_luck,schedule_range,best_schedule_team,best_schedule_record_wins,worst_schedule_team,worst_schedule_record_wins,schedule_luck_rank,schedule_difficulty_rank,extreme_type
2024,Voldemort,4.0,10.0,0.0,14,6.083333333333333,9.0,3.0,1.9752253419585197,12,4.0,-2.083333333333333,6.0,Malle ❤️ 🐸,9.0,Ginger FC,3.0,12,1,Most Hurt
2021,Uncle Rico,4.0,10.0,0.0,14,6.0,8.0,4.0,1.2792042981336627,12,4.0,-2.0,4.0,Joe Mantegna,8.0,Ginger FC,4.0,10,3,Most Hurt
2023,Post Mahomes,8.0,6.0,0.0,14,9.916666666666666,12.0,8.0,1.443375672974064,12,8.0,-1.916666666666666,4.0,Buttermilk Puuump,12.0,Post Mahomes,8.0,12,1,Most Hurt
2021,Big Sack Jack,3.0,11.0,0.0,14,4.833333333333333,8.0,2.0,1.8504708655481241,12,3.0,-1.833333333333333,6.0,Malle ❤️ 🐸,8.0,Ginger FC,2.0,9,4,Most Hurt
2019,Joe Mantegna,4.0,9.0,0.0,13,5.666666666666667,11.0,3.0,2.2696949467968492,12,4.0,-1.666666666666667,8.0,Voldemort,11.0,malle_dips_pouches,3.0,11,2,Most Hurt
2024,Ginger FC,4.0,10.0,0.0,14,5.666666666666667,8.0,4.0,1.3706888336846839,12,4.0,-1.666666666666667,4.0,The Big Gronkowski,8.0,Ginger FC,4.0,11,2,Most Hurt
2022,Malle ❤️ 🐸,4.0,10.0,0.0,14,5.583333333333333,8.0,3.0,1.4433756729740643,12,4.0,-1.583333333333333,5.0,Big Sack Jack,8.0,Uncle Rico,3.0,11,2,Most Hurt
2022,Patty Primetimes,3.0,11.0,0.0,14,4.5,8.0,1.0,1.834021909257456,12,3.0,-1.5,7.0,Big Sack Jack,8.0,Uncle Rico,1.0,10,3,Most Hurt
2023,Pop Lockett Drop it,5.0,9.0,0.0,14,6.416666666666667,9.0,5.0,1.378954368902449,12,5.0,-1.416666666666667,4.0,Buttermilk Puuump,9.0,Pop Lockett Drop it,5.0,11,2,Most Hurt
2020,Malle ❤️ 🐸,8.0,5.0,0.0,13,9.416666666666666,12.0,7.0,1.8319554050414562,12,8.0,-1.416666666666666,5.0,Post Mahomes,12.0,Ginger FC,7.0,11,2,Most Hurt
2020,Ginger FC,5.0,8.0,0.0,13,6.333333333333333,9.0,4.0,1.4974726182552531,12,5.0,-1.333333333333333,5.0,Big Sack Jack,9.0,ThreatLevelMidnight,4.0,10,3,Most Hurt
