year,canonical_team,rated_picks,avg_draft_value,median_draft_value,total_draft_value,avg_actual_percentile,avg_expected_percentile,steals,elite_steals,busts,major_busts,avg_capture_rate,steal_rate,bust_rate,net_hits,draft_class_rank
2017,Big Sack Jack,13,8.025404374442434,17.02317290552584,104.33025686775164,69.80108988141116,61.775685506968735,2,1,1,0,0.7835054212901734,0.15384615384615385,0.07692307692307693,1,1
2017,Dillon Panthers,12,-14.093498559672376,-10.122675085724964,-169.12198271606852,48.754839785629606,62.84833834530198,1,0,3,2,0.9387246547677505,0.08333333333333333,0.25,-2,11
2017,Ginger FC,12,-1.8068938431587938,-4.860553857920657,-21.682726117905524,60.28772779107451,62.094621634233306,1,1,2,0,0.7727233370100777,0.08333333333333333,0.16666666666666666,-1,4
2017,Hello Harvard,13,-5.988117103219292,-5.925925925925924,-77.8455223418508,57.57008869458669,63.55820579780598,3,1,4,2,0.8661625417956533,0.23076923076923078,0.3076923076923077,-1,9
2017,Joe Mantegna,13,-1.8264807482070347,-1.6429353778751477,-23.74424972669145,60.52097538041313,62.347456128620166,1,0,1,1,1.0,0.07692307692307693,0.07692307692307693,0,5
2017,Malle ❤️ 🐸,12,-4.092181746474446,-5.911155202821874,-49.106180957693354,58.85275107162658,62.94493281810102,1,1,2,1,0.9551108095884214,0.08333333333333333,0.16666666666666666,-1,7
2017,Pop Lockett Drop it,13,-6.556305002102932,2.4117140396210175,-85.23196502733812,54.00561063211665,60.56191563421958,1,0,4,2,0.9011173184357543,0.07692307692307693,0.3076923076923077,-3,10
2017,Post Mahomes,13,-2.7560882220195215,4.7605611492272715,-35.82914688625378,59.56537884248728,62.3214670645068,0,0,3,2,0.7315879478561769,0.0,0.23076923076923078,-3,6
2017,The Big Gronkowski,13,4.448411451166949,9.580246913580247,57.82934886517034,66.57840894788686,62.1299974967199,1,0,1,0,0.8604194725685778,0.07692307692307693,0.07692307692307693,0,2
2017,ThreatLevelMidnight,13,-4.5945840560628675,3.5790219702338817,-59.72959272881727,57.192614019923255,61.78719807598612,0,0,3,2,0.7718569196023229,0.0,0.23076923076923078,-3,8
2017,Voldemort,14,-15.560460357666711,-16.606537940379397,-217.84644500733395,45.763042550191145,61.32350290785786,0,0,4,1,0.7198852368330815,0.0,0.2857142857142857,-4,12
2017,malle_dips_pouches,13,3.552986405174846,4.754754754754757,46.188823267272994,66.10289903462593,62.5499126294511,1,0,1,0,1.0,0.07692307692307693,0.07692307692307693,0,3
2018,Big Sack Jack,13,7.672191394734373,9.800027133360466,99.73848813154684,69.48351648351648,61.81132508878211,1,0,0,0,1.0,0.07692307692307693,0.0,1,3
