round,picks,avg_season_points,median_season_points,avg_expected_points,avg_value_above_expected,steal_rate,bust_rate
1,107,164.09887850467288,161.3,87.66363440473322,-3.8991629751813326,0.0,0.102803738317757
2,104,133.09826923076923,126.65,82.96853526858484,-7.5930694153449645,0.0,0.20192307692307693
3,102,137.64921568627452,128.9,79.60639643989668,-6.835700208381399,0.0,0.23529411764705882
4,104,143.51096153846154,130.84,76.32310099533784,-3.5341349345010986,0.0,0.125
5,103,122.16291262135923,110.0,71.16384961599528,-4.04598623666495,0.02912621359223301,0.17475728155339806
6,102,111.99352941176471,92.5,65.39998743954531,-3.3155116420249886,0.10784313725490197,0.20588235294117646
7,104,114.55615384615385,92.5,62.75081358930105,-0.5925371400255156,0.16346153846153846,0.17307692307692307
8,94,101.68574468085106,87.5,57.60475159728543,-1.4836229504137854,0.14893617021276595,0.14893617021276595
9,85,97.15247058823529,77.5,53.3369939723123,-3.2570399503976453,0.1411764705882353,0.2235294117647059
10,77,100.38727272727273,82.0,49.847261780615675,2.2532303785471024,0.22077922077922077,0.19480519480519481
11,89,71.39820224719102,60.300000000000004,45.43566131545396,-0.38577496726704885,0.21348314606741572,0.2696629213483146
12,79,76.26151898734177,60.9,42.184009507604316,2.2917749818486177,0.24050632911392406,0.20253164556962025
13,66,76.61848484848484,52.35,41.18430380365198,1.7292908425033238,0.22727272727272727,0.22727272727272727
14,56,59.51642857142857,41.730000000000004,40.76456954572205,-3.554596290752285,0.16071428571428573,0.25
15,43,61.649302325581395,47.4,42.36338257133694,0.1531656710494636,0.16279069767441862,0.16279069767441862
