year,team,games,wins,points_for,points_against,losses,win_pct,points_per_game,scoring_rank,win_rank,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avoidable_starts,season_efficiency_pct,efficiency_rank,rated_picks,avg_draft_value,total_draft_value,steals,elite_steals,busts,major_busts,draft_class_rank,meaningful_acquisitions,avg_waiver_value,total_positive_value,good_rate,elite_finds,bust_rate,production_points,waiver_rank,is_champion,scoring_percentile,winning_percentile,efficiency_percentile,bench_management_percentile,draft_percentile,waiver_percentile
2021,Joe Mantegna,14,9.0,1573.76,1410.58,5.0,0.6428571428571429,112.41142857142857,7,3,1573.76,1774.94,201.18,14.37,23,88.67,11,10,0.5695611607130495,5.695611607130495,2,1,3,0,5,8.0,16.371513386141043,156.2085137085137,37.5,1.0,0.0,369.58,4.0,False,50.0,79.16666666666666,16.666666666666664,16.666666666666664,66.66666666666666,75.0
2021,Malle ❤️ 🐸,14,11.0,1586.24,1371.46,3.0,0.7857142857142857,113.30285714285715,6,1,1586.24,1746.2,159.96,11.43,21,90.84,6,12,2.0323176571746537,24.387811886095847,3,0,2,1,4,2.0,24.787234042553195,49.57446808510639,50.0,0.0,0.0,113.1,1.0,False,58.333333333333336,95.83333333333334,58.333333333333336,41.66666666666667,75.0,100.0
2021,Patty Primetimes,14,6.0,1462.18,1615.56,8.0,0.42857142857142855,104.44142857142857,9,8,1462.18,1620.2,158.02,11.29,24,90.25,8,12,-4.588771565602111,-55.06525878722533,1,0,3,1,9,10.0,5.84182631789015,107.44308587393697,20.0,0.0,0.0,308.00000000000006,10.0,False,33.33333333333333,41.66666666666667,41.66666666666667,50.0,33.33333333333333,25.0
2021,Pop Lockett Drop it,14,7.0,1443.06,1407.38,7.0,0.5,103.07571428571428,10,6,1443.06,1594.06,151.0,10.79,23,90.53,7,12,-3.106568416611965,-37.27882099934358,1,0,1,0,7,9.0,13.175042386035294,121.78966718860336,22.22222222222222,0.0,0.0,298.52000000000004,6.0,False,25.0,54.166666666666664,50.0,83.33333333333334,50.0,58.333333333333336
2021,Post Mahomes,14,8.0,1592.92,1606.62,6.0,0.5714285714285714,113.78,5,5,1592.92,1771.52,178.6,12.76,24,89.92,10,12,-3.709743065421972,-44.516916785063664,1,0,2,1,8,12.0,17.722964830677597,228.6009026434558,33.33333333333333,1.0,0.0,498.52,2.0,False,66.66666666666666,66.66666666666666,25.0,25.0,41.66666666666667,91.66666666666666
2021,The Big Gronkowski,14,7.0,1696.54,1635.06,7.0,0.5,121.18142857142857,1,6,1696.54,1867.38,170.84,12.2,25,90.85,5,12,12.343306460806724,148.11967752968067,3,0,0,0,1,1.0,16.388888888888886,16.388888888888886,0.0,0.0,0.0,50.4,3.0,False,100.0,54.166666666666664,66.66666666666666,33.33333333333333,100.0,83.33333333333334
2021,ThreatLevelMidnight,14,11.0,1618.28,1468.22,3.0,0.7857142857142857,115.59142857142857,4,1,1618.28,1776.12,157.84,11.27,21,91.11,4,12,0.4594196010125581,5.513035212150697,1,0,2,1,6,10.0,7.859917564704799,161.120820668693,30.0,0.0,10.0,311.68000000000006,9.0,False,75.0,95.83333333333334,75.0,58.333333333333336,58.333333333333336,33.33333333333333
2021,Uncle Rico,14,4.0,1505.98,1600.5,10.0,0.2857142857142857,107.57000000000001,8,10,1505.98,1651.16,145.18,10.37,23,91.21,3,12,-5.958797076732772,-71.50556492079326,2,0,2,0,10,15.0,1.908177519879648,139.3542184765589,20.0,0.0,6.666666666666667,408.50000000000006,12.0,False,41.66666666666667,20.833333333333336,83.33333333333334,91.66666666666666,25.0,8.333333333333332
2021,Voldemort,14,9.0,1683.0,1484.4,5.0,0.6428571428571429,120.21428571428571,2,3,1683.0,1818.18,135.18,9.66,20,92.57,1,11,-7.016524564674845,-77.1817702114233,1,0,2,2,11,9.0,11.818881145122283,148.53896103896108,22.22222222222222,1.0,0.0,379.06,7.0,True,91.66666666666666,79.16666666666666,100.0,100.0,16.666666666666664,50.0
2021,malle_dips_pouches,14,4.0,1374.7,1601.42,10.0,0.2857142857142857,98.19285714285715,12,10,1374.7,1682.64,307.94,22.0,28,81.7,12,12,4.133025627034834,49.59630752441801,3,0,2,0,2,7.0,9.092367443431272,131.48936170212767,42.857142857142854,1.0,14.285714285714285,246.53999999999996,8.0,False,8.333333333333332,20.833333333333336,8.333333333333332,8.333333333333332,91.66666666666666,41.66666666666667
2022,Big Sack Jack,14,10.0,1581.92,1469.26,4.0,0.7142857142857143,112.99428571428572,5,1,1581.92,1721.82,139.9,9.99,29,91.87,1,11,12.295729105814347,135.25302016395784,2,0,0,0,2,1.0,26.818181818181813,26.818181818181813,100.0,0.0,0.0,17.4,1.0,False,66.66666666666666,95.83333333333334,100.0,91.66666666666666,91.66666666666666,100.0
2022,Ginger FC,14,8.0,1547.14,1477.58,6.0,0.5714285714285714,110.51,6,4,1547.14,1700.18,153.04,10.93,21,91.0,4,12,1.142227104138824,13.706725249665888,1,0,0,0,5,5.0,12.491315136476423,87.26426799007443,40.0,0.0,0.0,260.84000000000003,8.0,False,58.333333333333336,62.5,75.0,83.33333333333334,66.66666666666666,41.66666666666667
2022,Joe Mantegna,14,8.0,1480.76,1435.44,6.0,0.5714285714285714,105.76857142857143,8,4,1480.76,1651.6,170.84,12.2,22,89.66,8,12,-8.279046719272392,-99.34856063126873,0,0,3,0,10,7.0,8.080999645515773,116.60421836228288,28.57142857142857,0.0,0.0,304.5,9.0,False,41.66666666666667,62.5,41.66666666666667,33.33333333333333,25.0,33.33333333333333
2022,Malle ❤️ 🐸,14,4.0,1444.3799999999999,1594.3400000000001,10.0,0.2857142857142857,103.16999999999999,9,10,1444.38,1602.82,158.44,11.32,19,90.11,7,11,7.509871815917432,82.60858997509175,4,2,0,0,3,2.0,-11.19416873449131,2.419354838709687,0.0,0.0,0.0,32.26,12.0,False,33.33333333333333,20.833333333333336,50.0,75.0,83.33333333333334,8.333333333333332
2022,Patty Primetimes,14,3.0,1349.1200000000001,1494.0,11.0,0.21428571428571427,96.36571428571429,11,12,1349.12,1509.34,160.22,11.44,27,89.38,9,12,-9.858016373682418,-118.296196484189,1,0,5,3,12,4.0,16.75520715843296,82.9823670952703,75.0,0.0,0.0,279.1,6.0,False,16.666666666666664,8.333333333333332,33.33333333333333,58.333333333333336,8.333333333333332,58.333333333333336
2022,Pop Lockett Drop it,14,4.0,1315.6,1486.6,10.0,0.2857142857142857,93.97142857142856,12,10,1315.6,1442.98,127.38,9.1,18,91.17,3,12,-3.667714712724985,-44.01257655269981,1,0,2,0,9,12.0,6.425414191543223,160.04436423791262,25.0,1.0,8.333333333333332,407.04,10.0,False,8.333333333333332,20.833333333333336,83.33333333333334,100.0,33.33333333333333,25.0
2022,Post Mahomes,14,7.0,1380.72,1418.88,7.0,0.5,98.62285714285714,10,8,1380.72,1592.6,211.88,15.13,25,86.7,12,12,-2.7410972376021765,-32.89316685122612,0,0,1,0,8,11.0,13.819364408807225,225.08993157380252,45.45454545454545,1.0,9.090909090909092,420.98,7.0,False,25.0,41.66666666666667,8.333333333333332,8.333333333333332,41.66666666666667,50.0
