year,week,avg_score,high_score,low_score,bad_beats,severe_bad_beats,brutal_bad_beats,lucky_wins
2024,5,113.67166666666667,173.32,76.86,2,0,0,2
2024,6,108.02166666666666,160.44,62.22,2,1,1,2
2024,7,107.235,156.64,79.54,2,0,0,2
2024,8,114.77833333333332,134.04,82.36,1,0,0,1
2024,9,110.51666666666667,156.54,69.06,1,0,0,1
2024,10,98.54166666666667,132.44,79.74,1,0,0,1
2024,11,107.175,145.68,81.64,1,0,0,1
2024,12,103.7,127.5,88.8,2,0,0,2
2024,13,115.35333333333334,158.18,81.22,2,1,1,2
2024,14,116.48,176.08,57.44,1,1,1,1
2025,1,101.16666666666667,140.36,72.68,0,0,0,0
2025,2,106.84166666666665,157.44,79.4,1,0,0,1
2025,3,103.11333333333333,141.02,76.28,1,0,0,1
2025,4,115.195,144.62,90.42,2,0,0,2
2025,5,114.18666666666667,154.78,66.12,2,0,0,2
2025,6,103.72500000000001,139.84,72.0,2,0,0,2
2025,7,115.46833333333335,165.7,57.74,1,0,0,1
2025,8,108.85333333333334,169.62,64.58,0,0,0,0
2025,9,106.08166666666666,154.28,78.02,2,0,0,2
2025,10,106.88499999999999,146.6,85.92,2,0,0,2
2025,11,104.99000000000001,133.78,81.54,1,0,0,1
2025,12,108.47166666666668,126.82,76.54,1,0,0,1
2025,13,103.46166666666666,133.68,50.62,2,1,1,2
2025,14,108.14,137.74,79.5,2,0,0,2
