year,team,schedule_team,wins,losses,ties,games,win_equivalent,is_actual_schedule
2017,Pop Lockett Drop it,Hello Harvard,7.0,6.0,0.0,13,7.0,False
2017,Pop Lockett Drop it,Joe Mantegna,6.0,7.0,0.0,13,6.0,False
2017,Pop Lockett Drop it,Malle ❤️ 🐸,5.0,8.0,0.0,13,5.0,False
2017,Pop Lockett Drop it,Pop Lockett Drop it,9.0,4.0,0.0,13,9.0,True
2017,Pop Lockett Drop it,Post Mahomes,6.0,7.0,0.0,13,6.0,False
2017,Pop Lockett Drop it,The Big Gronkowski,4.0,9.0,0.0,13,4.0,False
2017,Pop Lockett Drop it,ThreatLevelMidnight,4.0,9.0,0.0,13,4.0,False
2017,Pop Lockett Drop it,Voldemort,4.0,9.0,0.0,13,4.0,False
2017,Pop Lockett Drop it,malle_dips_pouches,8.0,5.0,0.0,13,8.0,False
2017,Post Mahomes,Big Sack Jack,8.0,5.0,0.0,13,8.0,False
2017,Post Mahomes,Dillon Panthers,10.0,3.0,0.0,13,10.0,False
2017,Post Mahomes,Ginger FC,10.0,3.0,0.0,13,10.0,False
2017,Post Mahomes,Hello Harvard,10.0,3.0,0.0,13,10.0,False
2017,Post Mahomes,Joe Mantegna,9.0,4.0,0.0,13,9.0,False
2017,Post Mahomes,Malle ❤️ 🐸,5.0,8.0,0.0,13,5.0,False
2017,Post Mahomes,Pop Lockett Drop it,9.0,4.0,0.0,13,9.0,False
2017,Post Mahomes,Post Mahomes,8.0,5.0,0.0,13,8.0,True
2017,Post Mahomes,The Big Gronkowski,7.0,6.0,0.0,13,7.0,False
2017,Post Mahomes,ThreatLevelMidnight,7.0,6.0,0.0,13,7.0,False
2017,Post Mahomes,Voldemort,8.0,5.0,0.0,13,8.0,False
2017,Post Mahomes,malle_dips_pouches,10.0,3.0,0.0,13,10.0,False
2017,The Big Gronkowski,Big Sack Jack,9.0,4.0,0.0,13,9.0,False
2017,The Big Gronkowski,Dillon Panthers,9.0,4.0,0.0,13,9.0,False
2017,The Big Gronkowski,Ginger FC,8.0,5.0,0.0,13,8.0,False
2017,The Big Gronkowski,Hello Harvard,7.0,6.0,0.0,13,7.0,False
2017,The Big Gronkowski,Joe Mantegna,8.0,5.0,0.0,13,8.0,False
2017,The Big Gronkowski,Malle ❤️ 🐸,7.0,6.0,0.0,13,7.0,False
2017,The Big Gronkowski,Pop Lockett Drop it,9.0,4.0,0.0,13,9.0,False
2017,The Big Gronkowski,Post Mahomes,6.0,7.0,0.0,13,6.0,False
2017,The Big Gronkowski,The Big Gronkowski,5.0,8.0,0.0,13,5.0,True
2017,The Big Gronkowski,ThreatLevelMidnight,6.0,7.0,0.0,13,6.0,False
2017,The Big Gronkowski,Voldemort,6.0,7.0,0.0,13,6.0,False
2017,The Big Gronkowski,malle_dips_pouches,9.0,4.0,0.0,13,9.0,False
2017,ThreatLevelMidnight,Big Sack Jack,8.0,5.0,0.0,13,8.0,False
2017,ThreatLevelMidnight,Dillon Panthers,7.0,6.0,0.0,13,7.0,False
2017,ThreatLevelMidnight,Ginger FC,10.0,3.0,0.0,13,10.0,False
2017,ThreatLevelMidnight,Hello Harvard,7.0,6.0,0.0,13,7.0,False
2017,ThreatLevelMidnight,Joe Mantegna,8.0,5.0,0.0,13,8.0,False
2017,ThreatLevelMidnight,Malle ❤️ 🐸,5.0,8.0,0.0,13,5.0,False
2017,ThreatLevelMidnight,Pop Lockett Drop it,8.0,5.0,0.0,13,8.0,False
2017,ThreatLevelMidnight,Post Mahomes,8.0,5.0,0.0,13,8.0,False
2017,ThreatLevelMidnight,The Big Gronkowski,5.0,8.0,0.0,13,5.0,False
2017,ThreatLevelMidnight,ThreatLevelMidnight,6.0,7.0,0.0,13,6.0,True
2017,ThreatLevelMidnight,Voldemort,7.0,6.0,0.0,13,7.0,False
2017,ThreatLevelMidnight,malle_dips_pouches,6.0,7.0,0.0,13,6.0,False
2017,Voldemort,Big Sack Jack,10.0,3.0,0.0,13,10.0,False
2017,Voldemort,Dillon Panthers,10.0,3.0,0.0,13,10.0,False
2017,Voldemort,Ginger FC,11.0,2.0,0.0,13,11.0,False
2017,Voldemort,Hello Harvard,8.0,5.0,0.0,13,8.0,False
