year,fantasy_team,edge_position,player,starts,starter_points,player_edge_contribution,team_position_points,team_positional_edge,share_of_position_points,edge_contribution_per_start
2018,Big Sack Jack,QB,Derek Carr,1,4.78,-19.554545454545455,223.82,-99.86000000000001,0.021356447145027255,-19.554545454545455
2018,Big Sack Jack,QB,Matthew Stafford,12,219.04,-80.30545454545455,223.82,-99.86000000000001,0.9786435528549727,-6.692121212121212
2018,Big Sack Jack,RB,Latavius Murray,5,51.6,12.936978801240194,380.72,-8.101818181818178,0.13553267493170834,2.5873957602480386
2018,Big Sack Jack,RB,Sony Michel,7,88.9,-1.7524428341858789,380.72,-8.101818181818178,0.23350493801218744,-0.25034897631226843
2018,Big Sack Jack,RB,Derrick Henry,4,16.52,-4.711689277709098,380.72,-8.101818181818178,0.04339146879596553,-1.1779223194272745
2018,Big Sack Jack,RB,Alvin Kamara,12,223.70000000000002,-14.574664871163394,380.72,-8.101818181818178,0.5875709182601387,-1.2145554059302828
2018,Big Sack Jack,TE,Travis Kelce,12,160.2,86.0,162.39999999999998,80.64545454545454,0.9864532019704434,7.166666666666667
2018,Big Sack Jack,TE,Nick Vannett,1,2.2,-5.354545454545454,162.39999999999998,80.64545454545454,0.013546798029556653,-5.354545454545454
2018,Big Sack Jack,WR,Tyreek Hill,12,195.7,69.40295946051548,426.5,111.82000000000001,0.4588511137162954,5.783579955042956
2018,Big Sack Jack,WR,Robert Woods,12,139.3,38.95053210367516,426.5,111.82000000000001,0.3266119577960141,3.245877675306263
2018,Big Sack Jack,WR,Jarvis Landry,12,87.3,14.761962981263924,426.5,111.82000000000001,0.20468933177022275,1.2301635817719936
2018,Big Sack Jack,WR,Chris Godwin Jr.,1,4.2,-11.295454545454547,426.5,111.82000000000001,0.00984759671746776,-11.295454545454547
2018,Dillon Panthers,QB,Drew Brees,12,330.18,40.938181818181825,345.1,32.44545454545455,0.9567661547377572,3.411515151515152
2018,Dillon Panthers,QB,Joe Flacco,1,14.92,-8.49272727272727,345.1,32.44545454545455,0.043233845262242825,-8.49272727272727
2018,Dillon Panthers,RB,Alex Collins,8,73.39999999999999,-16.823385797039958,306.53999999999996,-89.02545454545456,0.2394467279963463,-2.1029232246299947
2018,Dillon Panthers,RB,Carlos Hyde,8,76.1,-21.1416145458878,306.53999999999996,-89.02545454545456,0.24825471390356887,-2.642701818235975
2018,Dillon Panthers,RB,Tarik Cohen,7,82.54,-24.586569349186416,306.53999999999996,-89.02545454545456,0.269263391400796,-3.512367049883774
2018,Dillon Panthers,RB,Kerryon Johnson,6,74.5,-26.473884853340394,306.53999999999996,-89.02545454545456,0.24303516669928887,-4.412314142223399
2018,Dillon Panthers,TE,Austin Hooper,3,24.1,6.594834710743802,80.5,-8.700000000000003,0.29937888198757767,2.1982782369146006
2018,Dillon Panthers,TE,Trey Burton,11,56.4,-15.294834710743805,80.5,-8.700000000000003,0.7006211180124223,-1.3904395191585277
2018,Dillon Panthers,WR,Antonio Brown,12,174.79999999999998,39.11144054883878,434.41999999999996,120.46,0.40237558123474976,3.2592867124032314
2018,Dillon Panthers,WR,Emmanuel Sanders,10,115.82,38.121286740833035,434.41999999999996,120.46,0.26660835136503847,3.8121286740833034
2018,Dillon Panthers,WR,A.J. Green,9,103.39999999999999,35.2394371326936,434.41999999999996,120.46,0.23801850743520095,3.9154930147437335
2018,Dillon Panthers,WR,Tyler Lockett,4,40.4,7.987835577634578,434.41999999999996,120.46,0.09299755996501083,1.9969588944086445
2018,Ginger FC 🏆🏆,QB,Russell Wilson,6,159.3,22.065454545454543,305.54,-10.710909090909091,0.5213719971198534,3.6775757575757573
2018,Ginger FC 🏆🏆,QB,Carson Wentz,7,146.24,-32.776363636363634,305.54,-10.710909090909091,0.4786280028801466,-4.682337662337662
2018,Ginger FC 🏆🏆,RB,Jay Ajayi,4,38.4,4.639445912479735,312.3,-82.74181818181818,0.12295869356388088,1.1598614781199337
2018,Ginger FC 🏆🏆,RB,Chris Thompson,4,29.8,-0.7715801234688913,312.3,-82.74181818181818,0.09542106948447006,-0.19289503086722282
2018,Ginger FC 🏆🏆,RB,Phillip Lindsay,5,93.1,-4.876142544560176,312.3,-82.74181818181818,0.2981107909061799,-0.9752285089120353
2018,Ginger FC 🏆🏆,RB,Marshawn Lynch,2,10.0,-9.159160043175351,312.3,-82.74181818181818,0.032020493115593976,-4.579580021587676
2018,Ginger FC 🏆🏆,RB,Jamaal Williams,3,16.3,-15.166910026602755,312.3,-82.74181818181818,0.05219340377841819,-5.0556366755342514
