year,round,pick_in_round,overall_pick,team,player,keeper,name_key,canonical_team,season_points,roster_weeks,position,captured_points,captured_weeks,started_points,starts,retention_rate,starter_capture_rate,draft_value_eligible,position_percentile,expected_position_percentile,comparison_sample,draft_value,value_above_expected,capture_rate,starter_utilization_rate,expected_points,value_ratio,captured_value_above_expected,captured_value_ratio,draft_result
2019,1,11,11,Uncle Rico,Julio Jones,False,julio jones,Uncle Rico,118.7,13.0,WR,118.7,13.0,118.7,11.0,1.0,1.0,True,81.33333333333333,86.6260162601626,180.0,-5.292682926829272,-5.292682926829272,1.0,1.0,86.6260162601626,0.9389019239793523,-5.292682926829272,1.0,Near Expectation
2025,1,2,2,Patty Primetimes,Saquon Barkley,False,saquon barkley,Patty Primetimes,169.6,14.0,RB,11.6,2.0,11.6,1.0,0.06839622641509434,1.0,True,85.13513513513513,90.36144578313254,111.0,-5.226310647997408,-5.226310647997408,0.06839622641509434,1.0,90.36144578313254,0.942162162162162,-0.3574599263960492,0.06839622641509434,Near Expectation
2023,1,10,10,ThreatLevelMidnight,Saquon Barkley,False,saquon barkley,ThreatLevelMidnight,150.1,14.0,RB,150.1,14.0,138.3,9.0,1.0,0.921385742838108,True,81.70731707317073,86.6260162601626,172.0,-4.918699186991873,-4.918699186991873,1.0,0.921385742838108,86.6260162601626,0.9432191459408727,-4.918699186991873,1.0,Near Expectation
2024,1,2,2,Buttermilk Puuump,Tyreek Hill,False,tyreek hill,Buttermilk Puuump,144.7,14.0,WR,55.4,5.0,55.4,4.0,0.3828610919143055,1.0,True,84.5679012345679,89.41176470588236,111.0,-4.843863471314464,-4.843863471314464,0.3828610919143055,1.0,89.41176470588236,0.9458252111760882,-1.854526857711274,0.3828610919143055,Near Expectation
2022,1,6,6,Pop Lockett Drop it,Najee Harris,False,najee harris,Pop Lockett Drop it,143.06,14.0,RB,40.0,4.0,40.0,4.0,0.2796029637914162,1.0,True,82.35294117647058,86.90476190476191,141.0,-4.551820728291332,-4.551820728291332,0.2796029637914162,1.0,86.90476190476191,0.9476228847703463,-1.2727025662774591,0.2796029637914162,Near Expectation
2019,1,6,6,Ginger FC,Todd Gurley,False,todd gurley,Ginger FC,127.6,13.0,RB,127.6,13.0,127.6,11.0,1.0,1.0,True,85.8974358974359,89.65517241379311,141.0,-3.7577365163572125,-3.7577365163572125,1.0,1.0,89.65517241379311,0.9580867850098619,-3.7577365163572125,1.0,Near Expectation
2019,1,9,9,Malle ❤️ 🐸,Le'Veon Bell,False,leveon bell,Malle ❤️ 🐸,123.2,13.0,RB,62.1,7.0,62.1,6.0,0.5040584415584416,1.0,True,83.33333333333334,86.90476190476191,165.0,-3.5714285714285694,-3.5714285714285694,0.5040584415584416,1.0,86.90476190476191,0.9589041095890412,-1.8002087198515762,0.5040584415584416,Near Expectation
2021,1,8,8,Voldemort,Nick Chubb,False,nick chubb,Voldemort,151.3,14.0,RB,151.3,14.0,151.3,10.0,1.0,1.0,True,82.75862068965517,86.24140087554721,158.0,-3.4827801858920395,-3.4827801858920395,1.0,1.0,86.24140087554721,0.9596159135805556,-3.4827801858920395,1.0,Near Expectation
2017,1,12,12,Big Sack Jack,DeMarco Murray,False,demarco murray,Big Sack Jack,109.6,13.0,RB,26.8,3.0,8.8,2.0,0.24452554744525548,0.3283582089552239,True,83.13253012048193,85.71428571428571,187.0,-2.581755593803777,-2.581755593803777,0.24452554744525548,0.3283582089552239,85.71428571428571,0.9698795180722892,-0.6313051999447192,0.24452554744525548,Near Expectation
2020,1,11,11,Patty Primetimes,Nick Chubb,False,nick chubb,Patty Primetimes,130.9,13.0,RB,58.7,4.0,58.7,4.0,0.4484339190221543,1.0,True,83.33333333333334,85.63164477798624,180.0,-2.298311444652896,-2.298311444652896,0.4484339190221543,1.0,85.63164477798624,0.9731604893189704,-1.0306408082591672,0.4484339190221543,Near Expectation
2020,1,7,7,Joe Mantegna,Clyde Edwards-Helaire,False,clyde edwards helaire,Joe Mantegna,137.6,13.0,RB,137.6,13.0,137.6,12.0,1.0,1.0,True,85.71428571428571,87.95180722891565,149.0,-2.2375215146299468,-2.2375215146299468,1.0,1.0,87.95180722891565,0.9745596868884541,-2.2375215146299468,1.0,Near Expectation
2025,1,10,10,malle_dips_pouches,Ashton Jeanty,False,ashton jeanty,malle_dips_pouches,160.9,14.0,RB,28.8,3.0,28.8,3.0,0.17899316345556246,1.0,True,83.78378378378379,85.8974358974359,173.0,-2.1136521136521083,-2.1136521136521083,0.17899316345556246,1.0,85.8974358974359,0.9753933037515128,-0.37832927826712687,0.17899316345556246,Near Expectation
2017,1,11,11,Hello Harvard,Michael Thomas,False,michael thomas,Hello Harvard,105.5,13.0,WR,105.5,13.0,105.5,12.0,1.0,1.0,True,85.18518518518519,85.8058608058608,180.0,-0.6206756206756125,-0.6206756206756125,1.0,1.0,85.8058608058608,0.992766512510376,-0.6206756206756125,1.0,Near Expectation
2021,1,12,12,The Big Gronkowski,Antonio Gibson,False,antonio gibson,The Big Gronkowski,158.2,14.0,RB,158.2,14.0,158.2,13.0,1.0,1.0,True,85.0574712643678,85.36585365853658,189.0,-0.308382394168774,-0.308382394168774,1.0,1.0,85.36585365853658,0.9963875205254515,-0.308382394168774,1.0,Near Expectation
2018,1,3,3,Malle ❤️ 🐸,David Johnson,False,david johnson,Malle ❤️ 🐸,152.9,13.0,RB,152.9,13.0,152.9,12.0,1.0,1.0,True,88.0,88.22877717767622,118.0,-0.2287771776762213,-0.2287771776762213,1.0,1.0,88.22877717767622,0.9974070004708837,-0.2287771776762213,1.0,Near Expectation
2022,1,5,5,Voldemort,Joe Mixon,False,joe mixon,Voldemort,172.0,14.0,RB,172.0,14.0,172.0,11.0,1.0,1.0,True,87.05882352941177,86.81318681318682,133.0,0.24563671622495065,0.24563671622495065,1.0,1.0,86.81318681318682,1.0028294862248697,0.24563671622495065,1.0,Near Expectation
2021,1,3,3,Patty Primetimes,Alvin Kamara,False,alvin kamara,Patty Primetimes,164.5,14.0,RB,164.5,14.0,164.5,9.0,1.0,1.0,True,88.50574712643679,88.0,119.0,0.5057471264367877,0.5057471264367877,1.0,1.0,88.0,1.0057471264367817,0.5057471264367877,1.0,Near Expectation
2025,1,8,8,Ginger FC,Derrick Henry,False,derrick henry,Ginger FC,181.0,14.0,RB,96.1,9.0,96.1,8.0,0.530939226519337,1.0,True,87.83783783783784,86.98179271708685,158.0,0.8560451207509914,0.8560451207509914,0.530939226519337,1.0,86.98179271708685,1.0098416587427133,0.45450793427718383,0.530939226519337,Near Expectation
2025,1,12,12,Malle ❤️ 🐸,Drake London,False,drake london,Malle ❤️ 🐸,147.0,14.0,WR,73.9,8.0,73.9,6.0,0.5027210884353742,1.0,True,86.58536585365853,85.27551942186088,188.0,1.3098464317976521,1.3098464317976521,0.5027210884353742,1.0,85.27551942186088,1.0153601694915255,0.6584874238765068,0.5027210884353742,Near Expectation
2021,1,4,4,malle_dips_pouches,Aaron Jones Sr.,False,aaron jones,malle_dips_pouches,164.70000000000002,14.0,RB,164.70000000000002,14.0,144.70000000000002,11.0,1.0,0.8785670916818458,True,89.65517241379311,87.89482253337675,126.0,1.7603498804163564,1.7603498804163564,1.0,0.8785670916818458,87.89482253337675,1.020027913245378,1.7603498804163564,1.0,Near Expectation
2017,1,6,6,Malle ❤️ 🐸,LeSean McCoy,False,lesean mccoy,Malle ❤️ 🐸,143.5,13.0,RB,143.5,13.0,143.5,12.0,1.0,1.0,True,90.36144578313254,88.50574712643679,141.0,1.8556986566957505,1.8556986566957505,1.0,1.0,88.50574712643679,1.0209669848224066,1.8556986566957505,1.0,Near Expectation
2023,1,3,3,Ginger FC,Bijan Robinson,False,bijan robinson,Ginger FC,169.0,14.0,RB,169.0,14.0,169.0,13.0,1.0,1.0,True,92.6829268292683,90.5643879173291,118.0,2.118538911939197,2.118538911939197,1.0,1.0,90.5643879173291,1.0233926266235365,2.118538911939197,1.0,Near Expectation
2020,1,3,3,Big Sack Jack,Ezekiel Elliott,False,ezekiel elliott,Big Sack Jack,161.3,13.0,RB,161.3,13.0,161.3,12.0,1.0,1.0,True,92.85714285714286,90.5643879173291,118.0,2.2927549398137614,2.2927549398137614,1.0,1.0,90.5643879173291,1.0253162969743326,2.2927549398137614,1.0,Near Expectation
2021,1,2,2,Joe Mantegna,Dalvin Cook,False,dalvin cook,Joe Mantegna,167.7,14.0,RB,167.7,14.0,146.4,9.0,1.0,0.8729874776386405,True,90.80459770114942,87.97590361445782,112.0,2.8286940866915984,2.8286940866915984,1.0,0.8729874776386405,87.97590361445782,1.032153055217119,2.8286940866915984,1.0,Near Expectation
2019,1,3,3,malle_dips_pouches,Ezekiel Elliott,False,ezekiel elliott,malle_dips_pouches,175.6,13.0,RB,175.6,13.0,175.6,12.0,1.0,1.0,True,93.58974358974359,90.73563218390804,118.0,2.8541114058355532,2.8541114058355532,1.0,1.0,90.73563218390804,1.031455243515036,2.8541114058355532,1.0,Near Expectation
2025,1,1,1,Joe Mantegna,Ja'Marr Chase,False,jamarr chase,Joe Mantegna,176.4,14.0,WR,102.30000000000001,7.0,102.30000000000001,6.0,0.5799319727891157,1.0,True,93.90243902439023,90.58823529411765,103.0,3.314203730272581,3.314203730272581,0.5799319727891157,1.0,90.58823529411765,1.0365853658536583,1.9220127075220241,0.5799319727891157,Near Expectation
2022,1,7,7,Big Sack Jack,Dalvin Cook,False,dalvin cook,Big Sack Jack,176.5,14.0,RB,176.5,14.0,176.5,13.0,1.0,1.0,True,89.41176470588236,85.8974358974359,149.0,3.5143288084464643,3.5143288084464643,1.0,1.0,85.8974358974359,1.0409130816505707,3.5143288084464643,1.0,Near Expectation
2025,1,9,9,Buttermilk Puuump,Josh Jacobs,False,josh jacobs,Buttermilk Puuump,192.3,14.0,RB,90.0,5.0,90.0,5.0,0.46801872074882994,1.0,True,90.54054054054053,86.85897435897436,166.0,3.6815661815661684,3.6815661815661684,0.46801872074882994,1.0,86.85897435897436,1.042385558990725,1.7230418946487527,0.46801872074882994,Near Expectation
2025,1,3,3,ThreatLevelMidnight,Bijan Robinson,False,bijan robinson,ThreatLevelMidnight,236.29999999999998,14.0,RB,86.8,6.0,86.8,5.0,0.3673296656792213,1.0,True,94.5945945945946,90.62745098039215,118.0,3.967143614202442,3.967143614202442,0.3673296656792213,1.0,90.62745098039215,1.0437741939256435,1.4572495375064407,0.3673296656792213,Near Expectation
2021,1,6,6,Ginger FC,Ezekiel Elliott,False,ezekiel elliott,Ginger FC,184.16,14.0,RB,184.16,14.0,175.66,12.0,1.0,0.9538444830582102,True,91.95402298850574,87.4483306836248,142.0,4.505692304880938,4.505692304880938,1.0,0.9538444830582102,87.4483306836248,1.0515240516274904,4.505692304880938,1.0,Near Expectation
2017,1,5,5,malle_dips_pouches,Julio Jones,False,julio jones,malle_dips_pouches,125.8,13.0,WR,125.8,13.0,125.8,12.0,1.0,1.0,True,92.5925925925926,87.83783783783784,133.0,4.754754754754757,4.754754754754757,1.0,1.0,87.83783783783784,1.0541310541310542,4.754754754754757,1.0,Near Expectation
