year,round,pick_in_round,overall_pick,team,player,keeper,name_key,canonical_team,season_points,roster_weeks,position,captured_points,captured_weeks,started_points,starts,retention_rate,starter_capture_rate,draft_value_eligible,position_percentile,expected_position_percentile,comparison_sample,draft_value,value_above_expected,capture_rate,starter_utilization_rate,expected_points,value_ratio,captured_value_above_expected,captured_value_ratio,draft_result
2024,1,6,6,Pop Lockett Drop it,Bijan Robinson,False,bijan robinson,Pop Lockett Drop it,220.3,14.0,RB,100.9,7.0,100.9,6.0,0.45801180208806175,1.0,True,97.22222222222221,87.97590361445782,142.0,9.246318607764394,9.246318607764394,0.45801180208806175,1.0,87.97590361445782,1.1051005812714934,4.234923048222548,0.45801180208806175,Near Expectation
2019,1,4,4,Voldemort,Christian McCaffrey,False,christian mccaffrey,Voldemort,279.1,13.0,RB,279.1,13.0,279.1,12.0,1.0,1.0,True,100.0,90.58823529411765,125.0,9.411764705882348,9.411764705882348,1.0,1.0,90.58823529411765,1.103896103896104,9.411764705882348,1.0,Near Expectation
2017,1,3,3,ThreatLevelMidnight,Antonio Brown,False,antonio brown,ThreatLevelMidnight,185.6,13.0,WR,185.6,13.0,185.6,12.0,1.0,1.0,True,100.0,90.5643879173291,118.0,9.4356120826709,9.4356120826709,1.0,1.0,90.5643879173291,1.1041867813569735,9.4356120826709,1.0,Near Expectation
2023,1,2,2,Post Mahomes,Christian McCaffrey,False,christian mccaffrey,Post Mahomes,285.4,14.0,RB,285.4,14.0,285.4,13.0,1.0,1.0,True,100.0,90.54054054054053,111.0,9.459459459459467,9.459459459459467,1.0,1.0,90.54054054054053,1.1044776119402986,9.459459459459467,1.0,Near Expectation
2018,1,4,4,Big Sack Jack,Alvin Kamara,False,alvin kamara,Big Sack Jack,223.70000000000002,13.0,RB,223.70000000000002,13.0,223.70000000000002,12.0,1.0,1.0,True,97.33333333333334,87.83783783783784,125.0,9.495495495495504,9.495495495495504,1.0,1.0,87.83783783783784,1.1081025641025641,9.495495495495504,1.0,Near Expectation
2017,1,9,9,The Big Gronkowski,A.J. Green,False,aj green,The Big Gronkowski,134.6,13.0,WR,79.8,9.0,79.8,8.0,0.5928677563150074,1.0,True,96.29629629629629,86.66666666666667,165.0,9.629629629629619,9.629629629629619,0.5928677563150074,1.0,86.66666666666667,1.111111111111111,5.709096912663028,0.5928677563150074,Near Expectation
2022,1,2,2,malle_dips_pouches,Christian McCaffrey,False,christian mccaffrey,malle_dips_pouches,236.56,14.0,RB,236.56,14.0,236.56,13.0,1.0,1.0,True,97.6470588235294,88.0,111.0,9.647058823529406,9.647058823529406,1.0,1.0,88.0,1.1096256684491979,9.647058823529406,1.0,Near Expectation
2024,1,11,11,Post Mahomes,Jahmyr Gibbs,False,jahmyr gibbs,Post Mahomes,219.8,14.0,RB,177.6,10.0,177.6,10.0,0.8080072793448589,1.0,True,95.83333333333334,85.71428571428571,181.0,10.119047619047635,10.119047619047635,0.8080072793448589,1.0,85.71428571428571,1.1180555555555558,8.176264136227752,0.8080072793448589,Near Expectation
2022,1,3,3,The Big Gronkowski,Austin Ekeler,False,austin ekeler,The Big Gronkowski,246.2,14.0,RB,246.2,14.0,246.2,13.0,1.0,1.0,True,98.82352941176471,88.2528735632184,118.0,10.57065584854631,10.57065584854631,1.0,1.0,88.2528735632184,1.119776902686055,10.57065584854631,1.0,Near Expectation
2023,1,6,6,Buttermilk Puuump,Travis Kelce,False,travis kelce,Buttermilk Puuump,157.6,14.0,TE,157.6,14.0,157.6,12.0,1.0,1.0,True,100.0,89.41176470588236,141.0,10.588235294117638,10.588235294117638,1.0,1.0,89.41176470588236,1.1184210526315788,10.588235294117638,1.0,Near Expectation
2020,1,6,6,The Big Gronkowski,Dalvin Cook,False,dalvin cook,The Big Gronkowski,257.9,13.0,RB,257.9,13.0,257.9,11.0,1.0,1.0,True,100.0,89.41176470588236,141.0,10.588235294117638,10.588235294117638,1.0,1.0,89.41176470588236,1.1184210526315788,10.588235294117638,1.0,Near Expectation
2018,1,1,1,Uncle Rico,Todd Gurley,False,todd gurley,Uncle Rico,282.9,13.0,RB,282.9,13.0,282.9,12.0,1.0,1.0,True,100.0,89.41176470588236,103.0,10.588235294117638,10.588235294117638,1.0,1.0,89.41176470588236,1.1184210526315788,10.588235294117638,1.0,Near Expectation
2021,1,10,10,ThreatLevelMidnight,Davante Adams,False,davante adams,ThreatLevelMidnight,207.4,14.0,WR,207.4,14.0,207.4,12.0,1.0,1.0,True,96.51162790697676,85.71428571428571,173.0,10.797342192691048,10.797342192691048,1.0,1.0,85.71428571428571,1.1259689922480622,10.797342192691048,1.0,Near Expectation
2022,1,8,8,ThreatLevelMidnight,Stefon Diggs,False,stefon diggs,ThreatLevelMidnight,230.9,14.0,WR,230.9,14.0,230.9,13.0,1.0,1.0,True,96.51162790697676,85.71428571428571,157.0,10.797342192691048,10.797342192691048,1.0,1.0,85.71428571428571,1.1259689922480622,10.797342192691048,1.0,Near Expectation
