year,has_qb_wr_stack,team_weeks,win_rate,avg_score,median_score,avg_margin,top_quartile_rate,stack_status
2017,False,134,0.4701492537313433,87.30074626865671,87.71000000000001,-2.4447761194029853,0.21641791044776118,No QB/WR Stack
2017,True,22,0.6818181818181818,102.62727272727274,101.95,14.890909090909092,0.5,QB/WR Stack
2018,False,126,0.48412698412698413,101.95111111111112,100.66999999999999,-0.8922222222222224,0.23809523809523808,No QB/WR Stack
2018,True,30,0.5666666666666667,103.49933333333334,98.78999999999999,3.747333333333334,0.3333333333333333,QB/WR Stack
2019,False,137,0.49635036496350365,96.67255474452554,95.24,-0.10496350364963553,0.24817518248175183,No QB/WR Stack
2019,True,19,0.5263157894736842,98.03894736842105,96.4,0.756842105263161,0.3157894736842105,QB/WR Stack
2020,False,134,0.5074626865671642,110.68880597014925,111.58,0.3825373134328361,0.2537313432835821,No QB/WR Stack
2020,True,22,0.45454545454545453,112.85909090909091,113.19,-2.3300000000000014,0.2727272727272727,QB/WR Stack
2021,False,129,0.4883720930232558,109.52666666666667,107.08,-1.2105426356589144,0.24031007751937986,No QB/WR Stack
2021,True,39,0.5384615384615384,113.82,111.76,4.004102564102563,0.3076923076923077,QB/WR Stack
2022,False,167,0.5029940119760479,108.46215568862276,106.5,0.36371257485029945,0.25748502994011974,No QB/WR Stack
2022,True,1,0.0,82.84,82.84,-60.74000000000001,0.0,QB/WR Stack
2023,False,133,0.5338345864661654,107.78992481203007,107.3,0.7168421052631577,0.2706766917293233,No QB/WR Stack
2023,True,35,0.37142857142857144,105.20228571428571,104.56,-2.7239999999999993,0.2,QB/WR Stack
2024,False,140,0.5,107.90571428571428,105.88,-0.46228571428571447,0.22857142857142856,No QB/WR Stack
2024,True,28,0.5,113.01571428571428,113.66,2.3114285714285723,0.39285714285714285,QB/WR Stack
2025,False,148,0.5135135135135135,108.05067567567568,104.99000000000001,1.0827027027027027,0.25675675675675674,No QB/WR Stack
2025,True,20,0.4,104.373,102.13,-8.012,0.25,QB/WR Stack
