acquisition_id,year,week,canonical_team,player,name_key,player_position,acquisition_type,acquisition_datetime,drop_datetime,calendar_week,roster_observed,fantasy_points,lineup_slot,primary_eligible
A00036,2017,10,ThreatLevelMidnight,Jeremy Maclin,jeremymaclin,WR,Free Agent,2017-11-01 19:21:00,2017-12-06 02:20:00,9,True,0.0,BN,True
A00036,2017,11,ThreatLevelMidnight,Jeremy Maclin,jeremymaclin,WR,Free Agent,2017-11-01 19:21:00,2017-12-06 02:20:00,9,True,3.4,WR,True
A00036,2017,12,ThreatLevelMidnight,Jeremy Maclin,jeremymaclin,WR,Free Agent,2017-11-01 19:21:00,2017-12-06 02:20:00,9,True,0.6,BN,True
A00036,2017,13,ThreatLevelMidnight,Jeremy Maclin,jeremymaclin,WR,Free Agent,2017-11-01 19:21:00,2017-12-06 02:20:00,9,True,4.1,BN,True
A00037,2017,9,The Big Gronkowski,Damien Williams,damienwilliams,RB,Free Agent,2017-11-01 07:36:00,2017-11-11 02:17:00,9,True,12.1,BN,True
A00037,2017,10,The Big Gronkowski,Damien Williams,damienwilliams,RB,Free Agent,2017-11-01 07:36:00,2017-11-11 02:17:00,9,False,0.0,,True
A00038,2017,9,Post Mahomes,Texans,texans,,Free Agent,2017-11-01 07:48:00,2017-11-08 05:29:00,9,False,0.0,,False
A00038,2017,10,Post Mahomes,Texans,texans,,Free Agent,2017-11-01 07:48:00,2017-11-08 05:29:00,9,False,0.0,,False
A00039,2017,10,ThreatLevelMidnight,Theo Riddick,theoriddick,,Free Agent,2017-11-10 15:46:00,2017-11-11 09:53:00,10,False,0.0,,False
A00040,2017,10,Ginger FC,Ed Dickson,eddickson,TE,Waiver,2017-11-11 02:17:00,,10,True,9.3,TE,True
A00040,2017,11,Ginger FC,Ed Dickson,eddickson,TE,Waiver,2017-11-11 02:17:00,,10,True,0.0,BN,True
A00040,2017,12,Ginger FC,Ed Dickson,eddickson,TE,Waiver,2017-11-11 02:17:00,,10,True,1.5,BN,True
A00040,2017,13,Ginger FC,Ed Dickson,eddickson,TE,Waiver,2017-11-11 02:17:00,,10,True,1.8,BN,True
A00041,2017,10,ThreatLevelMidnight,Ravens,ravens,,Waiver,2017-11-11 02:17:00,,10,False,0.0,,False
A00041,2017,11,ThreatLevelMidnight,Ravens,ravens,,Waiver,2017-11-11 02:17:00,,10,False,0.0,,False
A00041,2017,12,ThreatLevelMidnight,Ravens,ravens,,Waiver,2017-11-11 02:17:00,,10,False,0.0,,False
A00041,2017,13,ThreatLevelMidnight,Ravens,ravens,,Waiver,2017-11-11 02:17:00,,10,False,0.0,,False
A00042,2017,10,Voldemort,Josh Doctson,joshdoctson,,Free Agent,2017-11-11 06:23:00,2017-11-15 05:39:00,10,True,3.0,BN,False
A00042,2017,11,Voldemort,Josh Doctson,joshdoctson,,Free Agent,2017-11-11 06:23:00,2017-11-15 05:39:00,10,False,0.0,,False
A00043,2017,10,Ginger FC,Marlon Mack,marlonmack,RB,Free Agent,2017-11-11 18:26:00,2017-11-29 02:46:00,10,True,2.6,RB,True
A00043,2017,11,Ginger FC,Marlon Mack,marlonmack,RB,Free Agent,2017-11-11 18:26:00,2017-11-29 02:46:00,10,True,0.0,BN,True
A00043,2017,12,Ginger FC,Marlon Mack,marlonmack,RB,Free Agent,2017-11-11 18:26:00,2017-11-29 02:46:00,10,True,3.1,BN,True
A00043,2017,13,Ginger FC,Marlon Mack,marlonmack,RB,Free Agent,2017-11-11 18:26:00,2017-11-29 02:46:00,10,False,0.0,,True
A00044,2017,10,ThreatLevelMidnight,Tarik Cohen,tarikcohen,,Free Agent,2017-11-11 09:55:00,2017-11-17 13:09:00,10,True,1.1,BN,False
A00044,2017,11,ThreatLevelMidnight,Tarik Cohen,tarikcohen,,Free Agent,2017-11-11 09:55:00,2017-11-17 13:09:00,10,False,0.0,,False
A00045,2017,11,malle_dips_pouches,Blair Walsh,blairwalsh,,Free Agent,2017-11-15 10:06:00,,11,True,12.0,K,False
A00045,2017,12,malle_dips_pouches,Blair Walsh,blairwalsh,,Free Agent,2017-11-15 10:06:00,,11,True,6.0,K,False
A00045,2017,13,malle_dips_pouches,Blair Walsh,blairwalsh,,Free Agent,2017-11-15 10:06:00,,11,True,7.0,K,False
A00046,2017,11,Dillon Panthers,Blake Bortles,blakebortles,QB,Waiver,2017-11-15 02:36:00,,11,True,10.56,QB,True
A00046,2017,12,Dillon Panthers,Blake Bortles,blakebortles,QB,Waiver,2017-11-15 02:36:00,,11,True,23.6,QB,True
A00046,2017,13,Dillon Panthers,Blake Bortles,blakebortles,QB,Waiver,2017-11-15 02:36:00,,11,True,29.06,QB,True
A00047,2017,11,Malle ❤️ 🐸,Tyler Lockett,tylerlockett,WR,Waiver,2017-11-15 02:36:00,,11,True,3.7,BN,True
A00047,2017,12,Malle ❤️ 🐸,Tyler Lockett,tylerlockett,WR,Waiver,2017-11-15 02:36:00,,11,True,0.2,BN,True
A00047,2017,13,Malle ❤️ 🐸,Tyler Lockett,tylerlockett,WR,Waiver,2017-11-15 02:36:00,,11,True,7.7,WR,True
A00048,2017,11,Pop Lockett Drop it,Ryan Succop,ryansuccop,,Waiver,2017-11-15 02:36:00,2017-11-16 13:53:00,11,False,0.0,,False
A00049,2017,11,The Big Gronkowski,Harrison Butker,harrisonbutker,,Waiver,2017-11-15 02:36:00,,11,True,9.0,K,False
A00049,2017,12,The Big Gronkowski,Harrison Butker,harrisonbutker,,Waiver,2017-11-15 02:36:00,,11,True,5.0,K,False
A00049,2017,13,The Big Gronkowski,Harrison Butker,harrisonbutker,,Waiver,2017-11-15 02:36:00,,11,True,7.0,K,False
A00050,2017,11,ThreatLevelMidnight,Damien Williams,damienwilliams,RB,Waiver,2017-11-15 02:36:00,2017-12-13 02:27:00,11,True,10.2,W/R/T,True
A00050,2017,12,ThreatLevelMidnight,Damien Williams,damienwilliams,RB,Waiver,2017-11-15 02:36:00,2017-12-13 02:27:00,11,True,5.2,RB,True
A00050,2017,13,ThreatLevelMidnight,Damien Williams,damienwilliams,RB,Waiver,2017-11-15 02:36:00,2017-12-13 02:27:00,11,True,0.0,BN,True
A00051,2017,11,ThreatLevelMidnight,Jared Cook,jaredcook,TE,Waiver,2017-11-15 02:36:00,2017-12-06 11:52:00,11,True,3.6,TE,True
A00051,2017,12,ThreatLevelMidnight,Jared Cook,jaredcook,TE,Waiver,2017-11-15 02:36:00,2017-12-06 11:52:00,11,True,0.2,TE,True
A00051,2017,13,ThreatLevelMidnight,Jared Cook,jaredcook,TE,Waiver,2017-11-15 02:36:00,2017-12-06 11:52:00,11,True,0.9,TE,True
A00052,2017,11,Voldemort,Broncos,broncos,,Waiver,2017-11-15 02:36:00,2017-11-22 06:10:00,11,False,0.0,,False
A00052,2017,12,Voldemort,Broncos,broncos,,Waiver,2017-11-15 02:36:00,2017-11-22 06:10:00,11,False,0.0,,False
A00053,2017,11,Voldemort,Jamaal Williams,jamaalwilliams,,Waiver,2017-11-15 02:36:00,,11,True,9.5,BN,False
A00053,2017,12,Voldemort,Jamaal Williams,jamaalwilliams,,Waiver,2017-11-15 02:36:00,,11,True,25.5,BN,False
A00053,2017,13,Voldemort,Jamaal Williams,jamaalwilliams,,Waiver,2017-11-15 02:36:00,,11,True,18.3,BN,False
A00054,2017,11,Post Mahomes,Bengals,bengals,,Free Agent,2017-11-15 04:10:00,2017-11-29 04:30:00,11,False,0.0,,False
A00054,2017,12,Post Mahomes,Bengals,bengals,,Free Agent,2017-11-15 04:10:00,2017-11-29 04:30:00,11,False,0.0,,False
A00054,2017,13,Post Mahomes,Bengals,bengals,,Free Agent,2017-11-15 04:10:00,2017-11-29 04:30:00,11,False,0.0,,False
A00055,2017,11,Voldemort,Jordan Reed,jordanreed,TE,Free Agent,2017-11-15 05:39:00,2017-11-17 08:34:00,11,False,0.0,,True
A00056,2017,11,The Big Gronkowski,Samaje Perine,samajeperine,RB,Free Agent,2017-11-15 19:46:00,,11,True,18.6,RB,True
A00056,2017,12,The Big Gronkowski,Samaje Perine,samajeperine,RB,Free Agent,2017-11-15 19:46:00,,11,True,13.0,RB,True
A00056,2017,13,The Big Gronkowski,Samaje Perine,samajeperine,RB,Free Agent,2017-11-15 19:46:00,,11,True,6.9,RB,True
A00057,2017,11,malle_dips_pouches,Chargers,chargers,,Free Agent,2017-11-15 09:57:00,,11,False,0.0,,False
A00057,2017,12,malle_dips_pouches,Chargers,chargers,,Free Agent,2017-11-15 09:57:00,,11,False,0.0,,False
A00057,2017,13,malle_dips_pouches,Chargers,chargers,,Free Agent,2017-11-15 09:57:00,,11,False,0.0,,False
A00058,2017,11,ThreatLevelMidnight,Eagles,eagles,,Free Agent,2017-11-16 10:04:00,2017-12-03 11:32:00,11,False,0.0,,False
A00058,2017,12,ThreatLevelMidnight,Eagles,eagles,,Free Agent,2017-11-16 10:04:00,2017-12-03 11:32:00,11,False,0.0,,False
A00058,2017,13,ThreatLevelMidnight,Eagles,eagles,,Free Agent,2017-11-16 10:04:00,2017-12-03 11:32:00,11,False,0.0,,False
A00059,2017,11,Post Mahomes,Aaron Rodgers,aaronrodgers,QB,Free Agent,2017-11-16 10:48:00,,11,True,0.0,BN,True
A00059,2017,12,Post Mahomes,Aaron Rodgers,aaronrodgers,QB,Free Agent,2017-11-16 10:48:00,,11,True,0.0,BN,True
A00059,2017,13,Post Mahomes,Aaron Rodgers,aaronrodgers,QB,Free Agent,2017-11-16 10:48:00,,11,True,0.0,BN,True
A00060,2017,11,Hello Harvard,Martavis Bryant,martavisbryant,,Free Agent,2017-11-16 12:29:00,2017-11-22 11:33:00,11,True,3.0,BN,False
A00060,2017,12,Hello Harvard,Martavis Bryant,martavisbryant,,Free Agent,2017-11-16 12:29:00,2017-11-22 11:33:00,11,False,0.0,,False
A00061,2017,11,Pop Lockett Drop it,C.J. Fiedorowicz,cjfiedorowicz,TE,Free Agent,2017-11-16 13:53:00,,11,True,1.8,TE,True
A00061,2017,12,Pop Lockett Drop it,C.J. Fiedorowicz,cjfiedorowicz,TE,Free Agent,2017-11-16 13:53:00,,11,True,3.7,TE,True
A00061,2017,13,Pop Lockett Drop it,C.J. Fiedorowicz,cjfiedorowicz,TE,Free Agent,2017-11-16 13:53:00,,11,True,1.6,BN,True
A00062,2017,11,ThreatLevelMidnight,Javorius Allen,javoriusallen,,Free Agent,2017-11-17 13:09:00,2017-11-22 02:21:00,11,True,1.7,BN,False
A00062,2017,12,ThreatLevelMidnight,Javorius Allen,javoriusallen,,Free Agent,2017-11-17 13:09:00,2017-11-22 02:21:00,11,False,0.0,,False
A00063,2017,11,Malle ❤️ 🐸,Josh Lambo,joshlambo,,Free Agent,2017-11-17 08:04:00,,11,True,7.0,K,False
A00063,2017,12,Malle ❤️ 🐸,Josh Lambo,joshlambo,,Free Agent,2017-11-17 08:04:00,,11,True,7.0,K,False
A00063,2017,13,Malle ❤️ 🐸,Josh Lambo,joshlambo,,Free Agent,2017-11-17 08:04:00,,11,True,10.0,K,False
A00064,2017,11,Voldemort,Tyler Kroft,tylerkroft,TE,Free Agent,2017-11-17 08:34:00,2017-11-22 06:08:00,11,True,7.2,TE,True
A00064,2017,12,Voldemort,Tyler Kroft,tylerkroft,TE,Free Agent,2017-11-17 08:34:00,2017-11-22 06:08:00,11,False,0.0,,True
A00065,2017,11,Post Mahomes,Orleans Darkwa,orleansdarkwa,,Waiver,2017-11-18 02:17:00,2017-12-06 09:14:00,11,True,15.0,BN,False
A00065,2017,12,Post Mahomes,Orleans Darkwa,orleansdarkwa,,Waiver,2017-11-18 02:17:00,2017-12-06 09:14:00,11,True,3.9,BN,False
A00065,2017,13,Post Mahomes,Orleans Darkwa,orleansdarkwa,,Waiver,2017-11-18 02:17:00,2017-12-06 09:14:00,11,True,9.1,BN,False
A00066,2017,9,Hello Harvard,Danny Woodhead,dannywoodhead,RB,Free Agent,2017-11-02 13:17:00,,9,True,0.0,BN,True
A00066,2017,10,Hello Harvard,Danny Woodhead,dannywoodhead,RB,Free Agent,2017-11-02 13:17:00,,9,True,0.0,BN,True
A00066,2017,11,Hello Harvard,Danny Woodhead,dannywoodhead,RB,Free Agent,2017-11-02 13:17:00,,9,True,2.3,BN,True
A00066,2017,12,Hello Harvard,Danny Woodhead,dannywoodhead,RB,Free Agent,2017-11-02 13:17:00,,9,True,4.5,BN,True
A00066,2017,13,Hello Harvard,Danny Woodhead,dannywoodhead,RB,Free Agent,2017-11-02 13:17:00,,9,True,2.3,BN,True
A00067,2017,9,Malle ❤️ 🐸,Vernon Davis,vernondavis,TE,Free Agent,2017-11-02 18:11:00,2017-11-17 08:04:00,9,True,7.2,TE,True
A00067,2017,10,Malle ❤️ 🐸,Vernon Davis,vernondavis,TE,Free Agent,2017-11-02 18:11:00,2017-11-17 08:04:00,9,True,7.6,BN,True
A00067,2017,11,Malle ❤️ 🐸,Vernon Davis,vernondavis,TE,Free Agent,2017-11-02 18:11:00,2017-11-17 08:04:00,9,False,0.0,,True
A00068,2017,9,Big Sack Jack,Ed Dickson,eddickson,TE,Free Agent,2017-11-02 18:45:00,2017-11-08 02:58:00,9,True,0.0,TE,True
A00068,2017,10,Big Sack Jack,Ed Dickson,eddickson,TE,Free Agent,2017-11-02 18:45:00,2017-11-08 02:58:00,9,False,0.0,,True
A00069,2017,9,Big Sack Jack,Blair Walsh,blairwalsh,,Free Agent,2017-11-02 18:48:00,2017-11-08 02:58:00,9,True,0.0,K,False
A00069,2017,10,Big Sack Jack,Blair Walsh,blairwalsh,,Free Agent,2017-11-02 18:48:00,2017-11-08 02:58:00,9,False,0.0,,False
A00070,2017,9,malle_dips_pouches,Tyler Kroft,tylerkroft,TE,Free Agent,2017-11-02 20:32:00,2017-11-08 18:09:00,9,True,7.9,TE,True
A00070,2017,10,malle_dips_pouches,Tyler Kroft,tylerkroft,TE,Free Agent,2017-11-02 20:32:00,2017-11-08 18:09:00,9,False,0.0,,True
A00071,2017,12,Hello Harvard,Corey Clement,coreyclement,RB,Free Agent,2017-11-22 11:33:00,,12,True,3.9,RB,True
A00071,2017,13,Hello Harvard,Corey Clement,coreyclement,RB,Free Agent,2017-11-22 11:33:00,,12,True,3.7,BN,True
A00072,2017,12,Hello Harvard,Vernon Davis,vernondavis,TE,Free Agent,2017-11-22 11:37:00,,12,True,0.0,TE,True
A00072,2017,13,Hello Harvard,Vernon Davis,vernondavis,TE,Free Agent,2017-11-22 11:37:00,,12,True,1.5,BN,True
A00073,2017,12,Hello Harvard,Nick Novak,nicknovak,,Free Agent,2017-11-22 11:42:00,2017-11-29 02:46:00,12,True,3.0,K,False
A00073,2017,13,Hello Harvard,Nick Novak,nicknovak,,Free Agent,2017-11-22 11:42:00,2017-11-29 02:46:00,12,False,0.0,,False
A00074,2017,12,The Big Gronkowski,Mohamed Sanu,mohamedsanu,WR,Waiver,2017-11-22 02:21:00,,12,True,14.44,BN,True
A00074,2017,13,The Big Gronkowski,Mohamed Sanu,mohamedsanu,WR,Waiver,2017-11-22 02:21:00,,12,True,4.3,WR,True
A00075,2017,12,ThreatLevelMidnight,Kenny Stills,kennystills,WR,Waiver,2017-11-22 02:21:00,2017-11-29 15:51:00,12,True,4.7,WR,True
A00075,2017,13,ThreatLevelMidnight,Kenny Stills,kennystills,WR,Waiver,2017-11-22 02:21:00,2017-11-29 15:51:00,12,True,13.8,WR,True
A00076,2017,12,Voldemort,Jack Doyle,jackdoyle,TE,Free Agent,2017-11-22 06:08:00,,12,True,9.4,TE,True
A00076,2017,13,Voldemort,Jack Doyle,jackdoyle,TE,Free Agent,2017-11-22 06:08:00,,12,True,1.6,TE,True
A00077,2017,12,Voldemort,Patriots,patriots,,Free Agent,2017-11-22 06:10:00,,12,False,0.0,,False
A00077,2017,13,Voldemort,Patriots,patriots,,Free Agent,2017-11-22 06:10:00,,12,False,0.0,,False
A00078,2017,12,ThreatLevelMidnight,Devontae Booker,devontaebooker,,Free Agent,2017-11-24 10:59:00,2017-11-29 02:46:00,12,True,3.3,BN,False
A00078,2017,13,ThreatLevelMidnight,Devontae Booker,devontaebooker,,Free Agent,2017-11-24 10:59:00,2017-11-29 02:46:00,12,False,0.0,,False
A00079,2017,12,Pop Lockett Drop it,Austin Hooper,austinhooper,TE,Waiver,2017-11-25 02:26:00,,12,True,3.8,BN,True
A00079,2017,13,Pop Lockett Drop it,Austin Hooper,austinhooper,TE,Waiver,2017-11-25 02:26:00,,12,True,2.1,TE,True
A00080,2017,13,Hello Harvard,Ricky Seals-Jones,rickysealsjones,TE,Free Agent,2017-11-29 12:14:00,,13,True,4.4,TE,True
A00081,2017,13,Ginger FC,Austin Ekeler,austinekeler,,Waiver,2017-11-29 02:46:00,2017-12-20 02:35:00,13,True,4.0,BN,False
A00082,2017,13,Ginger FC,Case Keenum,casekeenum,QB,Waiver,2017-11-29 02:46:00,,13,True,20.98,QB,True
A00083,2017,13,Hello Harvard,Josh Doctson,joshdoctson,,Waiver,2017-11-29 02:46:00,,13,True,8.6,W/R/T,False
A00084,2017,13,ThreatLevelMidnight,Dede Westbrook,dedewestbrook,,Waiver,2017-11-29 02:46:00,2017-11-30 21:28:00,13,False,0.0,,False
A00085,2017,13,ThreatLevelMidnight,Tyler Kroft,tylerkroft,TE,Free Agent,2017-11-29 15:51:00,2017-12-13 02:27:00,13,False,0.0,,True
A00086,2017,13,Post Mahomes,Broncos,broncos,,Free Agent,2017-11-29 04:30:00,2017-12-06 03:22:00,13,False,0.0,,False
A00087,2017,13,Voldemort,Ryan Succop,ryansuccop,,Free Agent,2017-11-29 05:55:00,2017-12-20 02:35:00,13,True,7.0,K,False
A00088,2017,13,ThreatLevelMidnight,Josh McCown,joshmccown,,Free Agent,2017-11-29 18:21:00,2017-11-30 20:31:00,13,False,0.0,,False
A00089,2017,9,Ginger FC,Eli Manning,elimanning,,Free Agent,2017-11-03 19:32:00,2017-11-29 02:46:00,9,True,17.8,BN,False
A00089,2017,10,Ginger FC,Eli Manning,elimanning,,Free Agent,2017-11-03 19:32:00,2017-11-29 02:46:00,9,True,20.92,BN,False
A00089,2017,11,Ginger FC,Eli Manning,elimanning,,Free Agent,2017-11-03 19:32:00,2017-11-29 02:46:00,9,True,8.7,BN,False
A00089,2017,12,Ginger FC,Eli Manning,elimanning,,Free Agent,2017-11-03 19:32:00,2017-11-29 02:46:00,9,True,3.42,BN,False
A00089,2017,13,Ginger FC,Eli Manning,elimanning,,Free Agent,2017-11-03 19:32:00,2017-11-29 02:46:00,9,False,0.0,,False
A00090,2017,9,Voldemort,Frank Gore,frankgore,RB,Free Agent,2017-11-03 09:36:00,,9,True,7.7,W/R/T,True
A00090,2017,10,Voldemort,Frank Gore,frankgore,RB,Free Agent,2017-11-03 09:36:00,,9,False,0.0,,True
A00090,2017,11,Voldemort,Frank Gore,frankgore,RB,Free Agent,2017-11-03 09:36:00,,9,False,0.0,,True
A00090,2017,12,Voldemort,Frank Gore,frankgore,RB,Free Agent,2017-11-03 09:36:00,,9,False,0.0,,True
A00090,2017,13,Voldemort,Frank Gore,frankgore,RB,Free Agent,2017-11-03 09:36:00,,9,False,0.0,,True
A00091,2017,13,ThreatLevelMidnight,Corey Coleman,coreycoleman,,Free Agent,2017-11-30 20:31:00,2017-12-03 11:31:00,13,False,0.0,,False
A00092,2017,13,ThreatLevelMidnight,Aaron Jones Sr.,aaronjones,RB,Free Agent,2017-11-30 21:28:00,2017-12-13 02:27:00,13,True,8.0,BN,True
A00093,2017,9,Hello Harvard,Ted Ginn Jr.,tedginn,WR,Waiver,2017-11-04 02:31:00,,9,True,11.9,WR,True
A00093,2017,10,Hello Harvard,Ted Ginn Jr.,tedginn,WR,Waiver,2017-11-04 02:31:00,,9,True,0.3,BN,True
A00093,2017,11,Hello Harvard,Ted Ginn Jr.,tedginn,WR,Waiver,2017-11-04 02:31:00,,9,True,7.5,BN,True
A00093,2017,12,Hello Harvard,Ted Ginn Jr.,tedginn,WR,Waiver,2017-11-04 02:31:00,,9,True,7.1,BN,True
A00093,2017,13,Hello Harvard,Ted Ginn Jr.,tedginn,WR,Waiver,2017-11-04 02:31:00,,9,True,3.3,BN,True
A00094,2017,9,Hello Harvard,Marquise Goodwin,marquisegoodwin,,Free Agent,2017-11-04 17:22:00,,9,True,6.8,BN,False
A00094,2017,10,Hello Harvard,Marquise Goodwin,marquisegoodwin,,Free Agent,2017-11-04 17:22:00,,9,True,16.1,BN,False
A00094,2017,11,Hello Harvard,Marquise Goodwin,marquisegoodwin,,Free Agent,2017-11-04 17:22:00,,9,True,0.0,BN,False
A00094,2017,12,Hello Harvard,Marquise Goodwin,marquisegoodwin,,Free Agent,2017-11-04 17:22:00,,9,True,7.8,W/R/T,False
A00094,2017,13,Hello Harvard,Marquise Goodwin,marquisegoodwin,,Free Agent,2017-11-04 17:22:00,,9,True,9.9,BN,False
A00095,2017,9,Big Sack Jack,Saints,saints,,Free Agent,2017-11-04 19:25:00,,9,False,0.0,,False
