year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2017,3,malle_dips_pouches,Little Red Fournette,88.42,113.8,malle_dips_pouches,Post Mahomes,-25.379999999999995,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,3,Malle ❤️ 🐸,Voldemort,84.34,141.02,Malle ❤️ 🐸,Voldemort,-56.68000000000001,0,1,0,5.0,6.0,0.0,0.45454545454545453,7.0,12.0,0.45454545454545453,0,0,0,0,0
2017,3,Voldemort,Malle ❤️ 🐸,141.02,84.34,Voldemort,Malle ❤️ 🐸,56.68000000000001,1,0,0,11.0,0.0,0.0,1.0,1.0,12.0,0.0,0,0,0,0,0
2017,3,PickUpYourBratsMalle,Ginger FC,76.72,66.76,ThreatLevelMidnight,Ginger FC,9.959999999999994,1,0,0,4.0,7.0,0.0,0.36363636363636365,8.0,12.0,-0.6363636363636364,0,0,0,1,0
2017,3,Ginger FC,PickUpYourBratsMalle,66.76,76.72,Ginger FC,ThreatLevelMidnight,-9.959999999999994,0,1,0,0.0,11.0,0.0,0.0,12.0,12.0,0.0,0,0,0,0,0
2017,3,Pop Lockett Drop it,Hello Harvard,71.26,69.86,Pop Lockett Drop it,Hello Harvard,1.4000000000000057,1,0,0,2.0,9.0,0.0,0.18181818181818182,10.0,12.0,-0.8181818181818181,0,0,0,1,1
2017,3,Hello Harvard,Pop Lockett Drop it,69.86,71.26,Hello Harvard,Pop Lockett Drop it,-1.4000000000000057,0,1,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,0.09090909090909091,0,0,0,0,0
2017,3,The Big Gronkowski,Ur The Best Bellows,71.3,105.22,The Big Gronkowski,Joe Mantegna,-33.92,0,1,0,3.0,8.0,0.0,0.2727272727272727,9.0,12.0,0.2727272727272727,0,0,0,0,0
2017,3,Ur The Best Bellows,The Big Gronkowski,105.22,71.3,Joe Mantegna,The Big Gronkowski,33.92,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2017,4,Little Red Fournette,Ginger FC,106.42,100.46,Post Mahomes,Ginger FC,5.960000000000008,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,4,Ginger FC,Little Red Fournette,100.46,106.42,Ginger FC,Post Mahomes,-5.960000000000008,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,4,Malle ❤️ 🐸,Ur The Best Bellows,60.88,104.78,Malle ❤️ 🐸,Joe Mantegna,-43.9,0,1,0,0.0,11.0,0.0,0.0,12.0,12.0,0.0,0,0,0,0,0
2017,4,Ur The Best Bellows,Malle ❤️ 🐸,104.78,60.88,Joe Mantegna,Malle ❤️ 🐸,43.9,1,0,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,-0.2727272727272727,0,0,0,0,0
2017,4,PickUpYourBratsMalle,Hello Harvard,104.88,73.06,ThreatLevelMidnight,Hello Harvard,31.819999999999993,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2017,4,Hello Harvard,PickUpYourBratsMalle,73.06,104.88,Hello Harvard,ThreatLevelMidnight,-31.819999999999993,0,1,0,3.0,8.0,0.0,0.2727272727272727,9.0,12.0,0.2727272727272727,0,0,0,0,0
2017,4,Pop Lockett Drop it,Big Sack Jack,90.18,71.88,Pop Lockett Drop it,Big Sack Jack,18.30000000000001,1,0,0,4.0,7.0,0.0,0.36363636363636365,8.0,12.0,-0.6363636363636364,0,0,0,1,0
2017,4,Big Sack Jack,Pop Lockett Drop it,71.88,90.18,Big Sack Jack,Pop Lockett Drop it,-18.30000000000001,0,1,0,2.0,9.0,0.0,0.18181818181818182,10.0,12.0,0.18181818181818182,0,0,0,0,0
2017,4,The Big Gronkowski,Dillon Panthers,90.24,71.06,The Big Gronkowski,Dillon Panthers,19.179999999999993,1,0,0,5.0,6.0,0.0,0.45454545454545453,7.0,12.0,-0.5454545454545454,0,0,0,1,0
2017,4,Dillon Panthers,The Big Gronkowski,71.06,90.24,Dillon Panthers,The Big Gronkowski,-19.179999999999993,0,1,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,0.09090909090909091,0,0,0,0,0
2017,4,Voldemort,malle_dips_pouches,107.68,96.12,Voldemort,malle_dips_pouches,11.560000000000002,1,0,0,11.0,0.0,0.0,1.0,1.0,12.0,0.0,0,0,0,0,0
2017,4,malle_dips_pouches,Voldemort,96.12,107.68,malle_dips_pouches,Voldemort,-11.560000000000002,0,1,0,6.0,5.0,0.0,0.5454545454545454,6.0,12.0,0.5454545454545454,1,0,0,0,0
2017,5,Ginger FC,malle_dips_pouches,84.12,59.94,Ginger FC,malle_dips_pouches,24.180000000000007,1,0,0,5.0,6.0,0.0,0.45454545454545453,7.0,12.0,-0.5454545454545454,0,0,0,1,0
2017,5,malle_dips_pouches,Ginger FC,59.94,84.12,malle_dips_pouches,Ginger FC,-24.180000000000007,0,1,0,0.0,11.0,0.0,0.0,12.0,12.0,0.0,0,0,0,0,0
2017,5,Little Red Fournette,Hello Harvard,115.64,60.76,Post Mahomes,Hello Harvard,54.88,1,0,0,11.0,0.0,0.0,1.0,1.0,12.0,0.0,0,0,0,0,0
2017,5,Hello Harvard,Little Red Fournette,60.76,115.64,Hello Harvard,Post Mahomes,-54.88,0,1,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,0.09090909090909091,0,0,0,0,0
2017,5,Malle ❤️ 🐸,Dillon Panthers,100.16,72.54,Malle ❤️ 🐸,Dillon Panthers,27.61999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,5,Dillon Panthers,Malle ❤️ 🐸,72.54,100.16,Dillon Panthers,Malle ❤️ 🐸,-27.61999999999999,0,1,0,2.0,9.0,0.0,0.18181818181818182,10.0,12.0,0.18181818181818182,0,0,0,0,0
2017,5,PickUpYourBratsMalle,Big Sack Jack,89.64,92.12,ThreatLevelMidnight,Big Sack Jack,-2.480000000000004,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,5,Big Sack Jack,PickUpYourBratsMalle,92.12,89.64,Big Sack Jack,ThreatLevelMidnight,2.480000000000004,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2017,5,The Big Gronkowski,Pop Lockett Drop it,80.48,89.9,The Big Gronkowski,Pop Lockett Drop it,-9.420000000000002,0,1,0,4.0,7.0,0.0,0.36363636363636365,8.0,12.0,0.36363636363636365,0,0,0,0,0
2017,5,Pop Lockett Drop it,The Big Gronkowski,89.9,80.48,Pop Lockett Drop it,The Big Gronkowski,9.420000000000002,1,0,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,-0.2727272727272727,0,0,0,0,0
2017,5,Voldemort,Ur The Best Bellows,89.12,79.76,Voldemort,Joe Mantegna,9.36,1,0,0,6.0,5.0,0.0,0.5454545454545454,6.0,12.0,-0.4545454545454546,0,0,0,0,0
2017,5,Ur The Best Bellows,Voldemort,79.76,89.12,Joe Mantegna,Voldemort,-9.36,0,1,0,3.0,8.0,0.0,0.2727272727272727,9.0,12.0,0.2727272727272727,0,0,0,0,0
2017,6,Ginger FC,Hello Harvard,121.7,88.48,Ginger FC,Hello Harvard,33.22,1,0,0,11.0,0.0,0.0,1.0,1.0,12.0,0.0,0,0,0,0,0
2017,6,Hello Harvard,Ginger FC,88.48,121.7,Hello Harvard,Ginger FC,-33.22,0,1,0,4.0,7.0,0.0,0.36363636363636365,8.0,12.0,0.36363636363636365,0,0,0,0,0
2017,6,Little Red Fournette,Big Sack Jack,100.64,108.7,Post Mahomes,Big Sack Jack,-8.060000000000002,0,1,0,6.0,5.0,0.0,0.5454545454545454,6.0,12.0,0.5454545454545454,1,0,0,0,0
2017,6,Big Sack Jack,Little Red Fournette,108.7,100.64,Big Sack Jack,Post Mahomes,8.060000000000002,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,6,Malle ❤️ 🐸,Pop Lockett Drop it,82.78,89.52,Malle ❤️ 🐸,Pop Lockett Drop it,-6.739999999999995,0,1,0,3.0,8.0,0.0,0.2727272727272727,9.0,12.0,0.2727272727272727,0,0,0,0,0
2017,6,Pop Lockett Drop it,Malle ❤️ 🐸,89.52,82.78,Pop Lockett Drop it,Malle ❤️ 🐸,6.739999999999995,1,0,0,5.0,6.0,0.0,0.45454545454545453,7.0,12.0,-0.5454545454545454,0,0,0,1,0
2017,6,The Big Gronkowski,PickUpYourBratsMalle,72.98,105.74,The Big Gronkowski,ThreatLevelMidnight,-32.75999999999999,0,1,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,0.09090909090909091,0,0,0,0,0
2017,6,PickUpYourBratsMalle,The Big Gronkowski,105.74,72.98,ThreatLevelMidnight,The Big Gronkowski,32.75999999999999,1,0,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,-0.36363636363636365,0,0,0,0,0
2017,6,Ur The Best Bellows,malle_dips_pouches,75.34,105.84,Joe Mantegna,malle_dips_pouches,-30.5,0,1,0,2.0,9.0,0.0,0.18181818181818182,10.0,12.0,0.18181818181818182,0,0,0,0,0
2017,6,malle_dips_pouches,Ur The Best Bellows,105.84,75.34,malle_dips_pouches,Joe Mantegna,30.5,1,0,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,-0.2727272727272727,0,0,0,0,0
2017,6,Voldemort,Dillon Panthers,107.38,60.32,Voldemort,Dillon Panthers,47.059999999999995,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2017,6,Dillon Panthers,Voldemort,60.32,107.38,Dillon Panthers,Voldemort,-47.059999999999995,0,1,0,0.0,11.0,0.0,0.0,12.0,12.0,0.0,0,0,0,0,0
2017,7,Ginger FC,Big Sack Jack,67.42,132.32,Ginger FC,Big Sack Jack,-64.89999999999999,0,1,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,0.09090909090909091,0,0,0,0,0
