year,week,fantasy_team,opponent,actual_score,yahoo_team_score,optimal_score,points_left_on_bench,lineup_efficiency_pct,avoidable_start_count,missed_start_count,should_have_benched,should_have_started,opponent_score,canonical_team,canonical_opponent,actual_win,actual_loss,actual_tie,optimal_win,optimal_loss,optimal_tie,manager_caused_loss,manager_caused_nonwin,actual_margin,optimal_margin,loss_margin,optimization_gain,would_have_won_by,bench_points_exceeded_loss_margin
2020,7,Ginger FC,The Big Gronkowski,101.02,101.02,131.02,30.0,77.1,3,3,Jerick McKinnon (RB) | DK Metcalf (WR) | Mike Evans (WR),Brandon Aiyuk (WR) | Cole Beasley (WR) | Duke Johnson (RB),103.5,Ginger FC,The Big Gronkowski,0,1,0,1,0,0,1,1,-2.480000000000004,27.52000000000001,2.480000000000004,30.000000000000014,27.52000000000001,1
2023,8,You Better Park It,Malle ❤️ 🐸,93.48,93.48,123.46,29.98,75.72,3,3,Jared Goff (QB) | Kenneth Walker III (RB) | Travis Kelce (TE),Cole Kmet (TE) | Dak Prescott (QB) | Jerry Jeudy (WR),120.66,Buttermilk Puuump,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-27.179999999999993,2.799999999999997,27.179999999999993,29.97999999999999,2.799999999999997,1
2024,13,Uncle Rico,Malle ❤️ 🐸,81.22,81.22,111.12,29.9,73.09,3,3,Vikings - DEF (DEF) | George Kittle (TE) | Tyler Lockett (WR),Chargers - DEF (DEF) | Jaleel McLaughlin (RB) | Ray-Ray McCloud III (WR),88.04,Uncle Rico,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-6.820000000000007,23.08,6.820000000000007,29.900000000000006,23.08,1
2021,2,Post Mahomes,Ginger FC,119.6,119.6,149.5,29.9,80.0,3,3,Jonathan Taylor (RB) | Saquon Barkley (RB) | Kenny Golladay (WR),Latavius Murray (RB) | Tony Pollard (RB) | J.D. McKissic (RB),129.6,Post Mahomes,Ginger FC,0,1,0,1,0,0,1,1,-10.0,19.900000000000006,10.0,29.900000000000006,19.900000000000006,1
2023,9,Joe Mantegna,malle_dips_pouches,86.8,86.8,116.56,29.76,74.47,4,4,Sam Howell (QB) | James Cook III (RB) | Hollywood Brown (WR) | Tyreek Hill (WR),Deshaun Watson (QB) | Jakobi Meyers (WR) | Rhamondre Stevenson (RB) | Nico Collins (WR),89.52,Joe Mantegna,malle_dips_pouches,0,1,0,1,0,0,1,1,-2.719999999999999,27.040000000000006,2.719999999999999,29.760000000000005,27.040000000000006,1
2018,1,Joe Mantegna,Uncle Rico,88.84,88.84,118.54,29.7,74.95,4,4,Jaguars - DEF (DEF) | Deshaun Watson (QB) | Zach Ertz (TE) | Jamison Crowder (WR),Keelan Cole Sr. (WR) | Patrick Mahomes (QB) | Bears - DEF (DEF) | George Kittle (TE),101.54,Joe Mantegna,Uncle Rico,0,1,0,1,0,0,1,1,-12.700000000000003,17.0,12.700000000000003,29.700000000000003,17.0,1
2018,2,The Big Gronkowski,Voldemort,94.74,94.74,123.84,29.1,76.5,4,4,Dalvin Cook (RB) | David Njoku (TE) | Rex Burkhead (RB) | Larry Fitzgerald (WR),Brandin Cooks (WR) | Calvin Ridley (WR) | Corey Clement (RB) | Jack Doyle (TE),103.96,The Big Gronkowski,Voldemort,0,1,0,1,0,0,1,1,-9.219999999999999,19.88000000000001,9.219999999999999,29.10000000000001,19.88000000000001,1
2023,3,ThreatLevelMidnight,malle_dips_pouches,121.06,121.06,150.06,29.0,80.67,2,2,Derrick Henry (RB) | Mark Andrews (TE),Jerome Ford (RB) | Sam LaPorta (TE),125.22,ThreatLevelMidnight,malle_dips_pouches,0,1,0,1,0,0,1,1,-4.159999999999997,24.840000000000003,4.159999999999997,29.0,24.840000000000003,1
2024,4,Voldemort,Ginger FC,98.4,98.4,127.4,29.0,77.24,2,2,Jonathan Taylor (RB) | Travis Etienne Jr. (RB),Chase Brown (RB) | Kenneth Walker III (RB),110.56,Voldemort,Ginger FC,0,1,0,1,0,0,1,1,-12.159999999999997,16.840000000000003,12.159999999999997,29.0,16.840000000000003,1
2018,3,Big Sack Jack,Dillon Panthers,106.58,106.58,135.48,28.9,78.67,3,3,Latavius Murray (RB) | Jarvis Landry (WR) | Tyreek Hill (WR),Jordy Nelson (WR) | LeGarrette Blount (RB) | Mike Williams (WR),120.84,Big Sack Jack,Dillon Panthers,0,1,0,1,0,0,1,1,-14.260000000000005,14.639999999999986,14.260000000000005,28.89999999999999,14.639999999999986,1
2020,12,Patty Primetimes,Post Mahomes,81.08,81.08,109.9,28.82,73.78,3,3,Josh Allen (QB) | D'Andre Swift (RB) | Travis Fulgham (WR),Adrian Peterson (RB) | Jamaal Williams (RB) | Matthew Stafford (QB),87.02,Patty Primetimes,Post Mahomes,0,1,0,1,0,0,1,1,-5.939999999999998,22.88000000000001,5.939999999999998,28.820000000000007,22.88000000000001,1
2023,5,Patty Primetimes,malle_dips_pouches,110.92,110.92,139.72,28.8,79.39,2,2,Anthony Richardson Sr. (QB) | Michael Pittman Jr. (WR),DeAndre Hopkins (WR) | Tua TagovailoaVideo Forecast (QB),112.96,Patty Primetimes,malle_dips_pouches,0,1,0,1,0,0,1,1,-2.039999999999992,26.760000000000005,2.039999999999992,28.799999999999997,26.760000000000005,1
2019,1,Uncle Rico,Pop Lockett Drop it,92.76,92.76,121.26,28.5,76.5,3,3,Cam Newton (QB) | Matt Breida (RB) | Davante Adams (WR),Christian Kirk (WR) | Josh Allen (QB) | Michael Gallup (WR),115.3,Uncle Rico,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-22.539999999999992,5.960000000000008,22.539999999999992,28.5,5.960000000000008,1
2025,4,ThreatLevelMidnight,Voldemort,125.1,125.1,153.34,28.24,81.58,3,3,Kyler Murray (QB) | Chase Brown (RB) | David Njoku (TE),Harold Fannin Jr. (TE) | Justin Fields (QB) | Kenny Gainwell (RB),144.26,ThreatLevelMidnight,Voldemort,0,1,0,1,0,0,1,1,-19.159999999999997,9.080000000000013,19.159999999999997,28.24000000000001,9.080000000000013,1
2024,9,Malle ❤️ 🐸,Joe Mantegna,99.72,99.72,127.94,28.22,77.94,3,3,Bengals - DEF (DEF) | Dak Prescott (QB) | Wan'Dale Robinson (WR),Hunter Henry (TE) | Tua Tagovailoa (QB) | Demarcus Robinson (DEF),124.4,Malle ❤️ 🐸,Joe Mantegna,0,1,0,1,0,0,1,1,-24.680000000000007,3.539999999999992,24.680000000000007,28.22,3.539999999999992,1
2021,10,Big Sack Jack,Voldemort,99.64,99.64,127.84,28.2,77.94,3,3,Cardinals - DEF (DEF) | Dalton Schultz (TE) | DJ Moore (WR),Cowboys - DEF (DEF) | Dallas Goedert (TE) | Marquez Callaway (WR),126.64,Big Sack Jack,Voldemort,0,1,0,1,0,0,1,1,-27.0,1.2000000000000028,27.0,28.200000000000003,1.2000000000000028,1
2017,12,Hello Harvard,Ur The Best Bellows,60.7,60.7,88.8,28.1,68.36,4,4,Nick Novak (K) | Corey Clement (RB) | Jordan Howard (RB) | Michael Thomas (WR),Danny Woodhead (RB) | Jake Elliott (K) | Joe Mixon (RB) | Ted Ginn Jr. (WR),65.0,Hello Harvard,Joe Mantegna,0,1,0,1,0,0,1,1,-4.299999999999997,23.799999999999997,4.299999999999997,28.099999999999994,23.799999999999997,1
2020,3,Ginger FC,Patty Primetimes,122.0,122.0,150.1,28.1,81.28,3,3,Chris Thompson (RB) | DeVante Parker (WR) | Mike Evans (WR),Sony Michel (RB) | Allen Lazard (WR) | Brandon Aiyuk (WR),147.48,Ginger FC,Patty Primetimes,0,1,0,1,0,0,1,1,-25.47999999999999,2.6200000000000045,25.47999999999999,28.099999999999994,2.6200000000000045,1
2017,1,malle_dips_pouches,PickUpYourBratsMalle,68.68,68.68,96.38,27.7,71.26,3,3,Tevin Coleman (RB) | Rob Gronkowski (TE) | Jamison Crowder (WR),Charles Clay (TE) | Jonathan Stewart (RB) | LeGarrette Blount (RB),82.12,malle_dips_pouches,ThreatLevelMidnight,0,1,0,1,0,0,1,1,-13.439999999999998,14.259999999999991,13.439999999999998,27.69999999999999,14.259999999999991,1
2025,1,Voldemort,Uncle Rico,93.92,93.92,121.42,27.5,77.35,3,3,Joe Burrow (QB) | Jaylen Waddle (WR) | Terry McLaurin (WR),J.J. McCarthy (QB) | Jerry Jeudy (WR) | Zach Charbonnet (RB),117.12,Voldemort,Uncle Rico,0,1,0,1,0,0,1,1,-23.200000000000003,4.299999999999997,23.200000000000003,27.5,4.299999999999997,1
2021,1,Uncle Rico,Voldemort,102.4,102.4,129.68,27.28,78.96,3,3,Lamar Jackson (QB) | Allen Robinson (WR) | Sammy Watkins (WR),Antonio Brown (WR) | DJ Chark (WR) | Trevor Lawrence (QB),127.66,Uncle Rico,Voldemort,0,1,0,1,0,0,1,1,-25.25999999999999,2.0200000000000102,25.25999999999999,27.28,2.0200000000000102,1
2022,3,Patty Primetimes,Uncle Rico,89.66,89.66,116.9,27.24,76.7,4,4,Matthew Stafford (QB) | Javonte Williams (RB) | Darren Waller (TE) | Michael Thomas (WR),Robert Tonyan (TE) | Travis Etienne Jr. (RB) | Aaron Rodgers (QB) | Chris Olave (WR),114.08,Patty Primetimes,Uncle Rico,0,1,0,1,0,0,1,1,-24.42,2.8200000000000074,24.42,27.24000000000001,2.8200000000000074,1
2022,1,Post Mahomes,Joe Mantegna,96.58,96.58,123.78,27.2,78.03,2,2,Cam Akers (RB) | Ezekiel Elliott (RB),Brandin Cooks (WR) | Clyde Edwards-Helaire (RB),118.46,Post Mahomes,Joe Mantegna,0,1,0,1,0,0,1,1,-21.879999999999995,5.320000000000007,21.879999999999995,27.200000000000003,5.320000000000007,1
2023,2,You Better Park It,Joe Mantegna,98.0,98.0,125.12,27.12,78.32,2,2,Dak Prescott (QB) | Najee Harris (RB),D'Andre Swift (RB) | Jared Goff (QB),110.0,Buttermilk Puuump,Joe Mantegna,0,1,0,1,0,0,1,1,-12.0,15.120000000000005,12.0,27.120000000000005,15.120000000000005,1
2019,4,Ginger FC,Post Mahomes,62.54,62.54,89.42,26.88,69.94,3,3,Andy Dalton (QB) | Sammy Watkins (WR) | Mike Williams (WR),Gardner Minshew II (QB) | John Brown (WR) | Kenyan Drake (RB),81.4,Ginger FC,Post Mahomes,0,1,0,1,0,0,1,1,-18.860000000000007,8.019999999999996,18.860000000000007,26.880000000000003,8.019999999999996,1
2022,11,Post Mahomes,Big Sack Jack,77.48,77.48,104.28,26.8,74.3,3,3,Dameon Pierce (RB) | A.J. Brown (WR) | Garrett Wilson (WR),Drake London (WR) | Joshua Palmer (WR) | Kyren Williams (RB),89.8,Post Mahomes,Big Sack Jack,0,1,0,1,0,0,1,1,-12.319999999999993,14.480000000000004,12.319999999999993,26.799999999999997,14.480000000000004,1
2021,1,malle_dips_pouches,Joe Mantegna,98.48,98.48,124.98,26.5,78.8,2,2,Aaron Jones Sr. (RB) | Tyler Boyd (WR),Marvin Jones Jr. (WR) | Mike Williams (WR),107.28,malle_dips_pouches,Joe Mantegna,0,1,0,1,0,0,1,1,-8.799999999999997,17.700000000000003,8.799999999999997,26.5,17.700000000000003,1
2025,10,Voldemort,Buttermilk Puuump,87.94,87.94,114.4,26.46,76.87,2,2,Jordan Love (QB) | Deebo Samuel Sr. (WR),Aaron Jones Sr. (RB) | Jared Goff (QB),91.12,Voldemort,Buttermilk Puuump,0,1,0,1,0,0,1,1,-3.180000000000007,23.28,3.180000000000007,26.460000000000008,23.28,1
2024,13,Pop Lockett Drop it,Buttermilk Puuump,139.74,139.74,165.94,26.2,84.21,1,1,Amon-Ra St. Brown (WR),Jerry Jeudy (WR),158.18,Pop Lockett Drop it,Buttermilk Puuump,0,1,0,1,0,0,1,1,-18.439999999999998,7.759999999999991,18.439999999999998,26.19999999999999,7.759999999999991,1
2024,4,The Big Gronkowski,Uncle Rico,91.4,91.4,117.5,26.1,77.79,2,2,Devin Singletary (RB) | Zay Flowers (WR),D'Andre Swift (RB) | Romeo Doubs (WR),114.98,The Big Gronkowski,Uncle Rico,0,1,0,1,0,0,1,1,-23.58,2.519999999999996,23.58,26.099999999999994,2.519999999999996,1
2018,13,Joe Mantegna,Big Sack Jack,90.4,90.4,116.2,25.8,77.8,2,2,Bears - DEF (DEF) | Ito Smith (RB),Jaguars - DEF (DEF) | Jared Cook (TE),95.1,Joe Mantegna,Big Sack Jack,0,1,0,1,0,0,1,1,-4.699999999999989,21.10000000000001,4.699999999999989,25.799999999999997,21.10000000000001,1
2020,4,Big Sack Jack,Ginger FC,97.8,97.8,123.54,25.74,79.16,2,2,Kirk Cousins (QB) | Sammy Watkins (WR),CeeDee Lamb (WR) | Patrick Mahomes (QB),108.4,Big Sack Jack,Ginger FC,0,1,0,1,0,0,1,1,-10.600000000000009,15.14,10.600000000000009,25.74000000000001,15.14,1
2025,4,Malle ❤️ 🐸,Buttermilk Puuump,123.26,123.26,148.96,25.7,82.75,3,3,Dalton Schultz (TE) | Rashid Shaheed (WR) | Brian Thomas Jr. (WR),Dallas Goedert (TE) | Jordan Addison (WR) | Khalil Shakir (WR),144.62,Malle ❤️ 🐸,Buttermilk Puuump,0,1,0,1,0,0,1,1,-21.36,4.340000000000003,21.36,25.700000000000003,4.340000000000003,1
2019,9,Uncle Rico,malle_dips_pouches,73.2,73.2,98.7,25.5,74.16,2,2,LeSean McCoy (RB) | Christian Kirk (WR),Damien Williams (RB) | Matt Breida (RB),75.54,Uncle Rico,malle_dips_pouches,0,1,0,1,0,0,1,1,-2.3400000000000034,23.159999999999997,2.3400000000000034,25.5,23.159999999999997,1
2019,8,Uncle Rico,Patty Primetimes,69.9,69.9,95.36,25.46,73.3,2,2,Teddy Bridgewater (QB) | Matt Breida (RB),Damien Williams (RB) | Josh Allen (QB),94.16,Uncle Rico,Patty Primetimes,0,1,0,1,0,0,1,1,-24.25999999999999,1.2000000000000028,24.25999999999999,25.459999999999994,1.2000000000000028,1
2024,13,Patty Primetimes,malle_dips_pouches,122.14,122.14,147.48,25.34,82.82,3,3,Jayden Daniels (QB) | CeeDee Lamb (WR) | Cooper Kupp (WR),Xavier Worthy (WR) | Jameis Winston (QB) | Ladd McConkey (WR),137.1,Patty Primetimes,malle_dips_pouches,0,1,0,1,0,0,1,1,-14.959999999999994,10.379999999999995,14.959999999999994,25.33999999999999,10.379999999999995,1
2018,8,Malle ❤️ 🐸,Post Mahomes,89.06,89.06,114.36,25.3,77.88,4,4,Cardinals - DEF (DEF) | Ricky Seals-Jones (TE) | Sterling Shepard (WR) | T.Y. Hilton (WR),Alshon Jeffery (WR) | Cameron Brate (TE) | Kenyan Drake (RB) | Saints - DEF (DEF),107.34,Malle ❤️ 🐸,Post Mahomes,0,1,0,1,0,0,1,1,-18.28,7.019999999999996,18.28,25.299999999999997,7.019999999999996,1
2019,8,Ginger FC,The Big Gronkowski,71.7,71.7,96.92,25.22,73.98,2,2,Kirk Cousins (QB) | John Brown (WR),Adrian Peterson (RB) | Drew Brees (QB),83.3,Ginger FC,The Big Gronkowski,0,1,0,1,0,0,1,1,-11.599999999999994,13.620000000000005,11.599999999999994,25.22,13.620000000000005,1
2025,13,Joe Mantegna,Ginger FC,104.54,104.54,129.74,25.2,80.58,2,2,Tony Pollard (RB) | Zay Flowers (WR),Devin Singletary (RB) | Jauan Jennings (WR),105.54,Joe Mantegna,Ginger FC,0,1,0,1,0,0,1,1,-1.0,24.200000000000003,1.0,25.200000000000003,24.200000000000003,1
2023,4,Ginger FC,Uncle Rico,95.66,95.66,120.72,25.06,79.24,2,2,Kirk Cousins (QB) | Tee Higgins (WR),Brock Purdy (QB) | Khalil Herbert (RB),120.14,Ginger FC,Uncle Rico,0,1,0,1,0,0,1,1,-24.480000000000004,0.5799999999999983,24.480000000000004,25.060000000000002,0.5799999999999983,1
2020,1,Voldemort,Uncle Rico,91.14,91.14,116.14,25.0,78.47,3,3,Mark Ingram II (RB) | Tyler Higbee (TE) | Terry McLaurin (WR),Jerick McKinnon (RB) | John Brown (WR) | T.J. Hockenson (TE),91.28,Voldemort,Uncle Rico,0,1,0,1,0,0,1,1,-0.14000000000000057,24.86,0.14000000000000057,25.0,24.86,1
2021,3,Malle ❤️ 🐸,Voldemort,94.08,94.08,118.88,24.8,79.14,2,2,Damien Harris (RB) | Tyreek Hill (WR),Adam Thielen (WR) | Alexander Mattison (RB),99.62,Malle ❤️ 🐸,Voldemort,0,1,0,1,0,0,1,1,-5.540000000000006,19.25999999999999,5.540000000000006,24.799999999999997,19.25999999999999,1
2020,10,Patty Primetimes,Pop Lockett Drop it,118.36,118.36,143.06,24.7,82.73,1,1,Travis Fulgham (WR),Nyheim Miller-Hines (RB),121.5,Patty Primetimes,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-3.1400000000000006,21.560000000000002,3.1400000000000006,24.700000000000003,21.560000000000002,1
2024,4,Buttermilk Puuump,Post Mahomes,97.04,97.04,121.74,24.7,79.71,2,2,Carson Steele (FLEX) | Rashee Rice (WR),Kareem Hunt (RB) | Michael Pittman Jr. (WR),120.36,Buttermilk Puuump,Post Mahomes,0,1,0,1,0,0,1,1,-23.319999999999993,1.3799999999999955,23.319999999999993,24.69999999999999,1.3799999999999955,1
2025,13,Buttermilk Puuump,malle_dips_pouches,94.94,94.94,119.46,24.52,79.47,3,3,Jared Goff (QB) | Deebo Samuel Sr. (WR) | Amon-Ra St. Brown (WR),Darius Slayton (WR) | Evan Engram (TE) | Jordan Love (QB),95.0,Buttermilk Puuump,malle_dips_pouches,0,1,0,1,0,0,1,1,-0.060000000000002274,24.459999999999994,0.060000000000002274,24.519999999999996,24.459999999999994,1
2018,4,Big Sack Jack,PickUpYourBratsMalle,130.98,130.98,154.98,24.0,84.51,2,2,Matthew Stafford (QB) | Tyreek Hill (WR),Derek Carr (QB) | Jordy Nelson (WR),154.38,Big Sack Jack,ThreatLevelMidnight,0,1,0,1,0,0,1,1,-23.400000000000006,0.5999999999999943,23.400000000000006,24.0,0.5999999999999943,1
2017,4,Dillon Panthers,The Big Gronkowski,71.06,71.06,94.94,23.88,74.85,4,4,Aaron Rodgers (QB) | Derrick Henry (RB) | Jason Witten (TE) | Jeremy Maclin (WR),Cam Newton (QB) | Eric Ebron (TE) | James White (RB) | Jaron Brown (WR),90.24,Dillon Panthers,The Big Gronkowski,0,1,0,1,0,0,1,1,-19.179999999999993,4.700000000000003,19.179999999999993,23.879999999999995,4.700000000000003,1
2021,4,Malle ❤️ 🐸,Joe Mantegna,95.46,95.46,119.28,23.82,80.03,2,2,Tom Brady (QB) | T.J. Hockenson (TE),Jalen Hurts (QB) | Jonnu Smith (TE),101.18,Malle ❤️ 🐸,Joe Mantegna,0,1,0,1,0,0,1,1,-5.720000000000013,18.099999999999994,5.720000000000013,23.820000000000007,18.099999999999994,1
2018,11,PickUpYourBratsMalle,Pop Lockett Drop it,81.08,81.08,104.88,23.8,77.31,3,3,Zach Ertz (TE) | John Brown (WR) | Corey Davis (WR),Christian Kirk (WR) | O.J. Howard (TE) | Royce Freeman (RB),100.74,ThreatLevelMidnight,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-19.659999999999997,4.140000000000001,19.659999999999997,23.799999999999997,4.140000000000001,1
2023,14,You Better Park It,The Big Gronkowski,87.34,87.34,110.94,23.6,78.73,4,4,Najee Harris (RB) | D'Andre Swift (RB) | Amon-Ra St. Brown (WR) | Chris Godwin Jr. (WR),Cole Kmet (TE) | JuJu Smith-Schuster (WR) | Kenneth Walker III (RB) | Odell Beckham Jr. (WR),103.74,Buttermilk Puuump,The Big Gronkowski,0,1,0,1,0,0,1,1,-16.39999999999999,7.200000000000003,16.39999999999999,23.599999999999994,7.200000000000003,1
2018,3,Post Mahomes,malle_dips_pouches,72.76,72.76,96.36,23.6,75.51,2,2,Phillip Lindsay (RB) | T.Y. Hilton (WR),Isaiah Crowell (RB) | Sammy Watkins (WR),93.16,Post Mahomes,malle_dips_pouches,0,1,0,1,0,0,1,1,-20.39999999999999,3.200000000000003,20.39999999999999,23.599999999999994,3.200000000000003,1
2017,5,The Big Gronkowski,Pop Lockett Drop it,80.48,80.48,104.02,23.54,77.37,2,2,Ben Roethlisberger (QB) | Golden Tate (WR),Andy Dalton (QB) | Davante Adams (WR),89.9,The Big Gronkowski,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-9.420000000000002,14.11999999999999,9.420000000000002,23.539999999999992,14.11999999999999,1
2018,2,Uncle Rico,Dillon Panthers,98.54,98.54,122.04,23.5,80.74,1,1,Aaron Rodgers (QB),Blake Bortles (QB),100.02,Uncle Rico,Dillon Panthers,0,1,0,1,0,0,1,1,-1.4799999999999898,22.02000000000001,1.4799999999999898,23.5,22.02000000000001,1
2020,5,The Big Gronkowski,Pop Lockett Drop it,113.62,113.62,136.96,23.34,82.96,4,4,Drew Brees (QB) | Darren Waller (TE) | Odell Beckham Jr. (WR) | Cooper Kupp (WR),Darius Slayton (WR) | Jared Goff (QB) | Jonnu Smith (TE) | Ronald Jones (RB),121.74,The Big Gronkowski,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-8.11999999999999,15.220000000000013,8.11999999999999,23.340000000000003,15.220000000000013,1
2023,2,Pop Lockett Drop it,Ginger FC,103.24,103.24,126.34,23.1,81.72,1,1,Tyler Allgeier (RB),Brian Robinson (RB),107.16,Pop Lockett Drop it,Ginger FC,0,1,0,1,0,0,1,1,-3.9200000000000017,19.180000000000007,3.9200000000000017,23.10000000000001,19.180000000000007,1
2021,5,Big Sack Jack,Patty Primetimes,114.88,114.88,137.88,23.0,83.32,2,2,Melvin Gordon III (RB) | DJ Moore (WR),Marquez Callaway (WR) | Mecole Hardman Jr. (WR),126.7,Big Sack Jack,Patty Primetimes,0,1,0,1,0,0,1,1,-11.820000000000007,11.179999999999993,11.820000000000007,23.0,11.179999999999993,1
2022,3,Ginger FC,Pop Lockett Drop it,79.36,79.36,102.34,22.98,77.55,4,4,Kyler Murray (QB) | Alvin Kamara (RB) | Kareem Hunt (RB) | Jerry Jeudy (WR),Devin Duvernay (WR) | Rhamondre Stevenson (RB) | Tua Tagovailoa (QB) | Tyler Lockett (WR),89.18,Ginger FC,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-9.820000000000007,13.159999999999997,9.820000000000007,22.980000000000004,13.159999999999997,1
2021,14,Uncle Rico,ThreatLevelMidnight,95.08,95.08,118.04,22.96,80.55,1,1,Lamar Jackson (QB),Jimmy Garoppolo (QB),118.0,Uncle Rico,ThreatLevelMidnight,0,1,0,1,0,0,1,1,-22.92,0.04000000000000625,22.92,22.960000000000008,0.04000000000000625,1
2023,14,Post Mahomes,Voldemort,119.74,119.74,142.64,22.9,83.95,2,2,Packers - DEF (DEF) | Chuba Hubbard (RB),Jayden Reed (WR) | Saints - DEF (DEF),138.04,Post Mahomes,Voldemort,0,1,0,1,0,0,1,1,-18.299999999999997,4.599999999999994,18.299999999999997,22.89999999999999,4.599999999999994,1
2017,5,PickUpYourBratsMalle,Big Sack Jack,89.64,89.64,112.24,22.6,79.86,2,2,Martellus Bennett (TE) | Rishard Matthews (FLEX),Cameron Brate (TE) | Will Fuller V (WR),92.12,ThreatLevelMidnight,Big Sack Jack,0,1,0,1,0,0,1,1,-2.480000000000004,20.11999999999999,2.480000000000004,22.599999999999994,20.11999999999999,1
2024,8,Voldemort,Malle ❤️ 🐸,103.92,103.92,126.52,22.6,82.14,2,2,Kenneth Walker III (RB) | DeAndre Hopkins (WR),Calvin Ridley (WR) | Khalil Shakir (WR),122.74,Voldemort,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-18.819999999999993,3.780000000000001,18.819999999999993,22.599999999999994,3.780000000000001,1
2020,5,malle_dips_pouches,Ginger FC,104.98,104.98,127.58,22.6,82.29,2,2,Devin Singletary (RB) | Amari Cooper (WR),Justin Jackson (RB) | Myles Gaskin (RB),125.78,malle_dips_pouches,Ginger FC,0,1,0,1,0,0,1,1,-20.799999999999997,1.7999999999999972,20.799999999999997,22.599999999999994,1.7999999999999972,1
2020,1,Post Mahomes,Patty Primetimes,100.4,100.4,122.5,22.1,81.96,3,3,Carson Wentz (QB) | Hayden Hurst (TE) | DJ Moore (WR),Kyler Murray (QB) | Noah Fant (TE) | David Montgomery (RB),105.7,Post Mahomes,Patty Primetimes,0,1,0,1,0,0,1,1,-5.299999999999997,16.799999999999997,5.299999999999997,22.099999999999994,16.799999999999997,1
2020,13,Joe Mantegna,Uncle Rico,87.98,87.98,110.08,22.1,79.92,2,2,Clyde Edwards-Helaire (RB) | Trey Burton (TE),Logan Thomas (TE) | Mark Ingram II (RB),107.28,Joe Mantegna,Uncle Rico,0,1,0,1,0,0,1,1,-19.299999999999997,2.799999999999997,19.299999999999997,22.099999999999994,2.799999999999997,1
2018,9,malle_dips_pouches,Big Sack Jack,88.24,88.24,110.24,22.0,80.04,3,3,Lamar Miller (RB) | Ed Dickson (TE) | Michael Crabtree (WR),Amari Cooper (WR) | Dion Lewis (RB) | Eric Ebron (TE),104.76,malle_dips_pouches,Big Sack Jack,0,1,0,1,0,0,1,1,-16.52000000000001,5.47999999999999,16.52000000000001,22.0,5.47999999999999,1
2021,13,Ginger FC,Post Mahomes,117.96,117.96,139.86,21.9,84.34,3,3,Ezekiel Elliott (RB) | Amari Cooper (WR) | DK Metcalf (WR),DeAndre Hopkins (WR) | Van Jefferson (WR) | Deonte Harty (WR),138.32,Ginger FC,Post Mahomes,0,1,0,1,0,0,1,1,-20.36,1.5400000000000205,20.36,21.90000000000002,1.5400000000000205,1
2018,10,Joe Mantegna,Post Mahomes,110.56,110.56,132.26,21.7,83.59,2,2,Ito Smith (RB) | M. Valdes-Scantling (WR),Frank Gore (RB) | Corey Davis (WR),120.62,Joe Mantegna,Post Mahomes,0,1,0,1,0,0,1,1,-10.060000000000002,11.639999999999986,10.060000000000002,21.69999999999999,11.639999999999986,1
2017,13,Malle ❤️ 🐸,malle_dips_pouches,67.98,67.98,89.68,21.7,75.8,2,2,Chiefs - DEF (DEF) | Corey Davis (WR),Packers - DEF (DEF) | Torrey Smith (WR),87.58,Malle ❤️ 🐸,malle_dips_pouches,0,1,0,1,0,0,1,1,-19.599999999999994,2.1000000000000085,19.599999999999994,21.700000000000003,2.1000000000000085,1
2025,1,Joe Mantegna,ThreatLevelMidnight,83.04,83.04,104.62,21.58,79.37,4,4,Lions - DEF (DEF) | Bo Nix (QB) | Omarion Hampton (RB) | Ja'Marr Chase (WR),Jacory Croskey-Merritt (RB) | Jayden Higgins (DEF) | Trevor Lawrence (QB) | Tyler Warren (TE),100.88,Joe Mantegna,ThreatLevelMidnight,0,1,0,1,0,0,1,1,-17.83999999999999,3.740000000000009,17.83999999999999,21.58,3.740000000000009,1
2020,12,ThreatLevelMidnight,Big Sack Jack,102.6,102.6,124.14,21.54,82.65,2,2,Joey Slye (K) | Derek Carr (QB),Jason Myers (K) | Ryan Tannehill (QB),106.58,ThreatLevelMidnight,Big Sack Jack,0,1,0,1,0,0,1,1,-3.980000000000004,17.560000000000002,3.980000000000004,21.540000000000006,17.560000000000002,1
2024,11,Ginger FC,Malle ❤️ 🐸,106.84,106.84,128.24,21.4,83.31,2,2,Blake Grupe (K) | Kareem Hunt (RB),Chris Boswell (K) | Alexander Mattison (RB),113.24,Ginger FC,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-6.3999999999999915,15.000000000000014,6.3999999999999915,21.400000000000006,15.000000000000014,1
2022,4,Pop Lockett Drop it,Post Mahomes,98.62,98.62,119.82,21.2,82.31,2,2,Dalton Schultz (TE) | Michael Pittman Jr. (WR),Gerald Everett (TE) | Romeo Doubs (WR),105.2,Pop Lockett Drop it,Post Mahomes,0,1,0,1,0,0,1,1,-6.579999999999998,14.61999999999999,6.579999999999998,21.19999999999999,14.61999999999999,1
