year,week,fantasy_team,opponent,actual_score,yahoo_team_score,optimal_score,points_left_on_bench,lineup_efficiency_pct,avoidable_start_count,missed_start_count,should_have_benched,should_have_started,opponent_score,canonical_team,canonical_opponent,actual_win,actual_loss,actual_tie,optimal_win,optimal_loss,optimal_tie,manager_caused_loss,manager_caused_nonwin,actual_margin,optimal_margin,loss_margin,optimization_gain,would_have_won_by,bench_points_exceeded_loss_margin
2019,13,The Big Gronkowski,Voldemort,59.4,59.4,100.8,41.4,58.93,3,3,Browns - DEF (DEF) | Jimmy Garoppolo (QB) | Jamison Crowder (WR),Jaguars - DEF (DEF) | James White (RB) | Philip Rivers (QB),69.7,The Big Gronkowski,Voldemort,0,1,0,1,0,0,1,1,-10.300000000000004,31.099999999999994,10.300000000000004,41.4,31.099999999999994,1
2019,12,Malle ❤️ 🐸,The Big Gronkowski,69.58,69.58,110.6,41.02,62.91,4,4,Dak Prescott (QB) | T.J. Hockenson (TE) | Larry Fitzgerald (WR) | Amari Cooper (WR),Calvin Ridley (WR) | Devonta Freeman (RB) | Sam Darnold (QB) | Tyler Eifert (TE),105.72,Malle ❤️ 🐸,The Big Gronkowski,0,1,0,1,0,0,1,1,-36.14,4.8799999999999955,36.14,41.019999999999996,4.8799999999999955,1
2023,9,Pop Lockett Drop it,Malle ❤️ 🐸,94.04,94.04,134.8,40.76,69.76,2,2,Derek Carr (QB) | Josh Downs (WR),Brian Robinson (RB) | C.J. Stroud (QB),100.58,Pop Lockett Drop it,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-6.539999999999992,34.22000000000001,6.539999999999992,40.760000000000005,34.22000000000001,1
2023,5,Uncle Rico,Joe Mantegna,99.28,99.28,139.78,40.5,71.03,2,2,Jordan Love (QB) | Romeo Doubs (WR),Gabe Davis (WR) | Joe Burrow (QB),139.52,Uncle Rico,Joe Mantegna,0,1,0,1,0,0,1,1,-40.24000000000001,0.2599999999999909,40.24000000000001,40.5,0.2599999999999909,1
2023,12,Malle ❤️ 🐸,ThreatLevelMidnight,121.8,121.8,161.7,39.9,75.32,3,3,Browns - DEF (DEF) | Javonte Williams (RB) | Adam Thielen (WR),Deebo Samuel Sr. (WR) | Dolphins - DEF (DEF) | Gerald Everett (TE),125.36,Malle ❤️ 🐸,ThreatLevelMidnight,0,1,0,1,0,0,1,1,-3.5600000000000023,36.33999999999999,3.5600000000000023,39.89999999999999,36.33999999999999,1
2021,6,Joe Mantegna,Patty Primetimes,79.8,79.8,119.52,39.72,66.77,3,3,Justin Herbert (QB) | Myles Gaskin (RB) | Terry McLaurin (WR),Dalvin Cook (RB) | Hunter Renfrow (WR) | Kirk Cousins (QB),97.32,Joe Mantegna,Patty Primetimes,0,1,0,1,0,0,1,1,-17.519999999999996,22.200000000000003,17.519999999999996,39.72,22.200000000000003,1
2020,7,Pop Lockett Drop it,Voldemort,97.62,97.62,137.02,39.4,71.25,3,3,Darrell Henderson Jr. (RB) | Josh Jacobs (RB) | Stefon Diggs (WR),David Johnson (RB) | James Robinson (RB) | Tee Higgins (WR),121.88,Pop Lockett Drop it,Voldemort,0,1,0,1,0,0,1,1,-24.25999999999999,15.140000000000015,24.25999999999999,39.400000000000006,15.140000000000015,1
2020,12,Malle ❤️ 🐸,The Big Gronkowski,82.04,82.04,121.4,39.36,67.58,3,3,Ben Roethlisberger (QB) | Alvin Kamara (RB) | Damien Harris (RB),Latavius Murray (RB) | Mike Gesicki (TE) | Tom Brady (QB),85.82,Malle ❤️ 🐸,The Big Gronkowski,0,1,0,1,0,0,1,1,-3.779999999999987,35.58000000000001,3.779999999999987,39.36,35.58000000000001,1
2025,4,Patty Primetimes,Joe Mantegna,94.24,94.24,133.14,38.9,70.78,3,3,Jacory Croskey-Merritt (RB) | Ja'Marr Chase (WR) | Malik Nabers (WR),Quentin Johnston (WR) | RJ Harvey (RB) | Tyler Warren (TE),131.86,Patty Primetimes,Joe Mantegna,0,1,0,1,0,0,1,1,-37.62000000000002,1.2799999999999727,37.62000000000002,38.89999999999999,1.2799999999999727,1
2019,13,Ginger FC,ThreatLevelMidnight,81.58,81.58,120.26,38.68,67.84,4,4,Drew Brees (QB) | Jonnu Smith (TE) | Kenyan Drake (RB) | Michael Thomas (WR),Adrian Peterson (RB) | Jason Witten (TE) | Kirk Cousins (QB) | Mike Williams (WR),91.38,Ginger FC,ThreatLevelMidnight,0,1,0,1,0,0,1,1,-9.799999999999997,28.88000000000001,9.799999999999997,38.68000000000001,28.88000000000001,1
