year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2018,13,Post Mahomes,Pop Lockett Drop it,109.0,112.7,Post Mahomes,Pop Lockett Drop it,-3.700000000000003,0,1,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,0.8181818181818182,1,1,1,0,0
2019,4,Big Sack Jack,Pop Lockett Drop it,107.7,110.4,Big Sack Jack,Pop Lockett Drop it,-2.700000000000003,0,1,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,0.8181818181818182,1,1,1,0,0
2017,12,PickUpYourBratsMalle,malle_dips_pouches,103.76,152.72,ThreatLevelMidnight,malle_dips_pouches,-48.959999999999994,0,1,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,0.8181818181818182,1,1,1,0,0
2021,14,Ginger FC,Patty Primetimes,136.14,138.52,Ginger FC,Patty Primetimes,-2.380000000000024,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2021,12,Ginger FC,Pop Lockett Drop it,130.38,141.4,Ginger FC,Pop Lockett Drop it,-11.02000000000001,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2021,1,Big Sack Jack,ThreatLevelMidnight,129.38,138.26,Big Sack Jack,ThreatLevelMidnight,-8.879999999999995,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2024,5,malle_dips_pouches,ThreatLevelMidnight,127.76,160.9,malle_dips_pouches,ThreatLevelMidnight,-33.14,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2023,13,Malle ❤️ 🐸,Patty Primetimes,127.72,134.9,Malle ❤️ 🐸,Patty Primetimes,-7.180000000000007,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2020,7,Post Mahomes,Malle ❤️ 🐸,127.1,135.56,Post Mahomes,Malle ❤️ 🐸,-8.460000000000008,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2025,4,Voldemort,ThreatLevelMidnight,125.1,144.26,Voldemort,ThreatLevelMidnight,-19.159999999999997,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2022,2,Voldemort,Malle ❤️ 🐸,122.68,124.82,Voldemort,Malle ❤️ 🐸,-2.1399999999999864,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2022,11,Joe Mantegna,Ginger FC,120.5,126.34,Joe Mantegna,Ginger FC,-5.840000000000003,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2021,7,Patty Primetimes,malle_dips_pouches,119.92,137.2,Patty Primetimes,malle_dips_pouches,-17.279999999999987,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2023,14,Post Mahomes,Voldemort,119.74,138.04,Post Mahomes,Voldemort,-18.299999999999997,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2020,9,Ginger FC,Voldemort,119.2,136.74,Ginger FC,Voldemort,-17.540000000000006,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2018,6,Post Mahomes,Big Sack Jack,118.9,122.68,Post Mahomes,Big Sack Jack,-3.780000000000001,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2017,11,malle_dips_pouches,The Big Gronkowski,116.38,126.06,malle_dips_pouches,The Big Gronkowski,-9.680000000000007,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2023,2,Voldemort,The Big Gronkowski,116.28,119.7,Voldemort,The Big Gronkowski,-3.4200000000000017,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2025,9,Voldemort,Pop Lockett Drop it,116.22,126.24,Voldemort,Pop Lockett Drop it,-10.019999999999996,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2025,10,The Big Gronkowski,Uncle Rico,115.4,146.6,The Big Gronkowski,Uncle Rico,-31.19999999999999,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2024,7,malle_dips_pouches,Ginger FC,112.46,113.3,malle_dips_pouches,Ginger FC,-0.8400000000000034,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2020,6,Malle ❤️ 🐸,Pop Lockett Drop it,112.44,119.3,Malle ❤️ 🐸,Pop Lockett Drop it,-6.859999999999999,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2018,7,Voldemort,PickUpYourBratsMalle,111.38,119.34,Voldemort,ThreatLevelMidnight,-7.960000000000008,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2022,7,Joe Mantegna,Uncle Rico,110.22,132.12,Joe Mantegna,Uncle Rico,-21.900000000000006,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2018,12,Post Mahomes,PickUpYourBratsMalle,109.14,118.88,Post Mahomes,ThreatLevelMidnight,-9.739999999999995,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2018,3,Big Sack Jack,Dillon Panthers,106.58,120.84,Big Sack Jack,Dillon Panthers,-14.260000000000005,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2019,6,Patty Primetimes,Voldemort,106.44,114.12,Patty Primetimes,Voldemort,-7.680000000000007,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2019,7,malle_dips_pouches,Ginger FC,104.96,109.32,malle_dips_pouches,Ginger FC,-4.359999999999999,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2019,13,Joe Mantegna,malle_dips_pouches,99.34,104.82,Joe Mantegna,malle_dips_pouches,-5.47999999999999,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2017,10,Big Sack Jack,The Big Gronkowski,98.78,110.94,Big Sack Jack,The Big Gronkowski,-12.159999999999997,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2017,2,The Big Gronkowski,Voldemort,97.32,110.38,The Big Gronkowski,Voldemort,-13.060000000000002,0,1,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,0.7272727272727273,1,0,0,0,0
2018,4,Big Sack Jack,PickUpYourBratsMalle,130.98,154.38,Big Sack Jack,ThreatLevelMidnight,-23.400000000000006,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2020,3,Voldemort,Malle ❤️ 🐸,123.38,133.28,Voldemort,Malle ❤️ 🐸,-9.900000000000006,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
