year,week,fantasy_team,opponent,decision_type,player,player_position,lineup_slot,fantasy_points
2020,11,Uncle Rico,Malle ❤️ 🐸,Should Have Benched,Robert Tonyan,TE,TE,12.9
2020,11,Uncle Rico,Malle ❤️ 🐸,Should Have Started,Taysom Hill,TE,BN,24.22
2020,11,Voldemort,malle_dips_pouches,Should Have Benched,Duke Johnson,RB,RB,5.0
2020,11,Voldemort,malle_dips_pouches,Should Have Benched,Kalen Ballage,RB,RB,10.6
2020,11,Voldemort,malle_dips_pouches,Should Have Benched,Terry McLaurin,WR,WR,10.9
2020,11,Voldemort,malle_dips_pouches,Should Have Started,Jonathan Taylor,RB,BN,13.4
2020,11,Voldemort,malle_dips_pouches,Should Have Started,Justin Jefferson,WR,BN,16.1
2020,11,Voldemort,malle_dips_pouches,Should Have Started,Kenyan Drake,RB,BN,14.0
2020,11,malle_dips_pouches,Voldemort,Should Have Benched,Joe Burrow,QB,QB,13.32
2020,11,malle_dips_pouches,Voldemort,Should Have Benched,Darrell Henderson Jr.,RB,RB,1.9
2020,11,malle_dips_pouches,Voldemort,Should Have Benched,DeAndre Hopkins,WR,WR,7.6
2020,11,malle_dips_pouches,Voldemort,Should Have Started,Eric Ebron,TE,BN,11.6
2020,11,malle_dips_pouches,Voldemort,Should Have Started,Kirk Cousins,QB,BN,28.96
2020,11,malle_dips_pouches,Voldemort,Should Have Started,Le'Veon Bell,RB,BN,10.1
2020,12,Big Sack Jack,ThreatLevelMidnight,Should Have Benched,Ezekiel Elliott,RB,W/R/T,2.4
2020,12,Big Sack Jack,ThreatLevelMidnight,Should Have Benched,CeeDee Lamb,WR,WR,4.6
2020,12,Big Sack Jack,ThreatLevelMidnight,Should Have Started,Evan Engram,TE,BN,13.9
2020,12,Big Sack Jack,ThreatLevelMidnight,Should Have Started,Hollywood Brown,WR,BN,16.5
2020,12,Ginger FC,Pop Lockett Drop it,Should Have Benched,Brandin Cooks,WR,W/R/T,11.0
2020,12,Ginger FC,Pop Lockett Drop it,Should Have Started,DeVante Parker,WR,BN,15.9
2020,12,Joe Mantegna,malle_dips_pouches,Should Have Benched,Clyde Edwards-Helaire,RB,RB,4.4
