year,week,fantasy_team,opponent,decision_type,player,player_position,lineup_slot,fantasy_points
2017,1,Big Sack Jack,Voldemort,Should Have Benched,Kirk Cousins,QB,QB,13.6
2017,1,Big Sack Jack,Voldemort,Should Have Benched,Hunter Henry,TE,TE,0.0
2017,1,Big Sack Jack,Voldemort,Should Have Benched,Martavis Bryant,WR,W/R/T,1.4
2017,1,Big Sack Jack,Voldemort,Should Have Started,Marvin Jones Jr.,WR,BN,9.7
2017,1,Big Sack Jack,Voldemort,Should Have Started,Philip Rivers,QB,BN,24.68
2017,1,Big Sack Jack,Voldemort,Should Have Started,C.J. Fiedorowicz,TE,BN,4.6
2017,1,Dillon Panthers,Ginger FC,Should Have Benched,Patriots - DEF,DEF,DEF,1.0
2017,1,Dillon Panthers,Ginger FC,Should Have Benched,Derrick Henry,RB,RB,2.5
2017,1,Dillon Panthers,Ginger FC,Should Have Benched,Emmanuel Sanders,WR,WR,2.6
2017,1,Dillon Panthers,Ginger FC,Should Have Started,James White,RB,BN,6.8
2017,1,Dillon Panthers,Ginger FC,Should Have Started,Ravens - DEF,DEF,BN,25.0
2017,1,Dillon Panthers,Ginger FC,Should Have Started,Theo Riddick,RB,BN,8.6
2017,1,Ginger FC,Dillon Panthers,Should Have Benched,Broncos - DEF,DEF,DEF,5.0
2017,1,Ginger FC,Dillon Panthers,Should Have Benched,Jimmy Graham,TE,TE,0.8
2017,1,Ginger FC,Dillon Panthers,Should Have Started,Jack Doyle,TE,BN,4.1
2017,1,Ginger FC,Dillon Panthers,Should Have Started,Rams - DEF,DEF,BN,28.0
2017,1,Hello Harvard,Ur The Best Bellows,Should Have Benched,Rob Kelley,FLEX,W/R/T,3.0
2017,1,Hello Harvard,Ur The Best Bellows,Should Have Started,Adam Thielen,WR,BN,15.7
2017,1,Little Red Fournette,Pop Lockett Drop it,Should Have Benched,Doug Baldwin,WR,WR,6.0
2017,1,Little Red Fournette,Pop Lockett Drop it,Should Have Started,Stefon Diggs,WR,BN,20.7
2017,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Russell Wilson,QB,QB,8.32
2017,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Eric Decker,WR,WR,1.0
2017,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Carson Wentz,QB,BN,23.88
2017,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Terrance West,RB,BN,14.0
2017,1,Pop Lockett Drop it,Little Red Fournette,Should Have Benched,Kevin White,WR,WR,0.6
2017,1,Pop Lockett Drop it,Little Red Fournette,Should Have Started,Danny Amendola,WR,BN,10.0
2017,1,The Big Gronkowski,Malle ❤️ 🐸,Should Have Benched,Davante Adams,WR,WR,4.7
2017,1,The Big Gronkowski,Malle ❤️ 🐸,Should Have Started,Mike Gillislee,RB,BN,22.5
2017,1,Ur The Best Bellows,Hello Harvard,Should Have Benched,Adrian Peterson,RB,RB,1.8
2017,1,Ur The Best Bellows,Hello Harvard,Should Have Benched,Odell Beckham Jr.,WR,WR,0.0
2017,1,Ur The Best Bellows,Hello Harvard,Should Have Started,Randall Cobb,WR,BN,8.5
2017,1,Ur The Best Bellows,Hello Harvard,Should Have Started,Sammy Watkins,WR,BN,5.8
2017,1,Voldemort,Big Sack Jack,Should Have Benched,Tom Brady,QB,QB,10.68
2017,1,Voldemort,Big Sack Jack,Should Have Benched,Paul Perkins,FLEX,W/R/T,2.5
2017,1,Voldemort,Big Sack Jack,Should Have Benched,Allen Robinson,WR,WR,1.7
2017,1,Voldemort,Big Sack Jack,Should Have Started,Chris Hogan,WR,BN,2.5
2017,1,Voldemort,Big Sack Jack,Should Have Started,Donte Moncrief,WR,BN,5.0
2017,1,Voldemort,Big Sack Jack,Should Have Started,Tyrod Taylor,QB,BN,23.76
2017,1,malle_dips_pouches,PickUpYourBratsMalle,Should Have Benched,Tevin Coleman,RB,RB,5.8
2017,1,malle_dips_pouches,PickUpYourBratsMalle,Should Have Benched,Rob Gronkowski,TE,TE,3.3
2017,1,malle_dips_pouches,PickUpYourBratsMalle,Should Have Benched,Jamison Crowder,WR,W/R/T,-0.6
2017,1,malle_dips_pouches,PickUpYourBratsMalle,Should Have Started,Charles Clay,TE,BN,11.3
2017,1,malle_dips_pouches,PickUpYourBratsMalle,Should Have Started,Jonathan Stewart,RB,BN,14.2
2017,1,malle_dips_pouches,PickUpYourBratsMalle,Should Have Started,LeGarrette Blount,RB,BN,10.7
2017,2,Big Sack Jack,Ur The Best Bellows,Should Have Benched,Brandin Cooks,WR,WR,4.3
2017,2,Big Sack Jack,Ur The Best Bellows,Should Have Started,Martavis Bryant,WR,BN,15.8
2017,2,Dillon Panthers,Hello Harvard,Should Have Benched,Greg Olsen,TE,TE,1.0
2017,2,Dillon Panthers,Hello Harvard,Should Have Benched,Jeremy Maclin,WR,W/R/T,9.1
2017,2,Dillon Panthers,Hello Harvard,Should Have Started,Eric Ebron,TE,BN,10.2
2017,2,Dillon Panthers,Hello Harvard,Should Have Started,James White,RB,BN,9.6
2017,2,Ginger FC,Pop Lockett Drop it,Should Have Benched,Jimmy Graham,TE,TE,0.1
2017,2,Ginger FC,Pop Lockett Drop it,Should Have Benched,Kerwynn Williams,FLEX,W/R/T,2.2
2017,2,Ginger FC,Pop Lockett Drop it,Should Have Started,Jack Doyle,TE,BN,7.9
2017,2,Ginger FC,Pop Lockett Drop it,Should Have Started,Zach Ertz,TE,BN,9.7
2017,2,Hello Harvard,Dillon Panthers,Should Have Benched,Jordan Howard,RB,RB,0.7
2017,2,Hello Harvard,Dillon Panthers,Should Have Benched,Thomas Rawls,RB,W/R/T,0.4
2017,2,Hello Harvard,Dillon Panthers,Should Have Benched,Adam Thielen,WR,WR,2.4
2017,2,Hello Harvard,Dillon Panthers,Should Have Started,Tyler Lockett,WR,BN,6.4
2017,2,Hello Harvard,Dillon Panthers,Should Have Started,DeVante Parker,WR,BN,8.5
2017,2,Hello Harvard,Dillon Panthers,Should Have Started,Joe Mixon,RB,BN,4.1
2017,2,Little Red Fournette,PickUpYourBratsMalle,Should Have Benched,Bilal Powell,RB,RB,1.3
2017,2,Little Red Fournette,PickUpYourBratsMalle,Should Have Benched,Larry Fitzgerald,WR,W/R/T,2.1
2017,2,Little Red Fournette,PickUpYourBratsMalle,Should Have Started,Frank Gore,RB,BN,10.6
2017,2,Little Red Fournette,PickUpYourBratsMalle,Should Have Started,Stefon Diggs,WR,BN,3.1
2017,2,Malle ❤️ 🐸,malle_dips_pouches,Should Have Benched,Russell Wilson,QB,QB,17.32
2017,2,Malle ❤️ 🐸,malle_dips_pouches,Should Have Benched,Corey Davis,WR,W/R/T,0.4
2017,2,Malle ❤️ 🐸,malle_dips_pouches,Should Have Started,Carson Wentz,QB,BN,29.82
2017,2,Malle ❤️ 🐸,malle_dips_pouches,Should Have Started,Terrance West,RB,BN,10.5
2017,2,Pop Lockett Drop it,Ginger FC,Should Have Benched,Isaiah Crowell,RB,RB,3.7
2017,2,Pop Lockett Drop it,Ginger FC,Should Have Benched,T.Y. Hilton,WR,W/R/T,4.9
2017,2,Pop Lockett Drop it,Ginger FC,Should Have Benched,Kenny Golladay,WR,WR,0.8
2017,2,Pop Lockett Drop it,Ginger FC,Should Have Started,Jarvis Landry,WR,BN,7.1
2017,2,Pop Lockett Drop it,Ginger FC,Should Have Started,Jamaal Charles,RB,BN,5.2
2017,2,Pop Lockett Drop it,Ginger FC,Should Have Started,Duke Johnson,RB,BN,8.0
2017,2,The Big Gronkowski,Voldemort,Should Have Benched,Ezekiel Elliott,RB,RB,2.2
2017,2,The Big Gronkowski,Voldemort,Should Have Started,Kenny Stills,WR,BN,9.7
2017,2,Ur The Best Bellows,Big Sack Jack,Should Have Benched,Adrian Peterson,RB,RB,2.6
2017,2,Ur The Best Bellows,Big Sack Jack,Should Have Benched,Odell Beckham Jr.,WR,WR,3.6
2017,2,Ur The Best Bellows,Big Sack Jack,Should Have Started,Randall Cobb,WR,BN,7.0
2017,2,Ur The Best Bellows,Big Sack Jack,Should Have Started,Rex Burkhead,RB,BN,10.4
2017,2,Voldemort,The Big Gronkowski,Should Have Benched,Jordy Nelson,WR,WR,0.0
2017,2,Voldemort,The Big Gronkowski,Should Have Started,Javorius Allen,RB,BN,16.1
2017,2,malle_dips_pouches,Malle ❤️ 🐸,Should Have Benched,LeGarrette Blount,RB,RB,0.0
2017,2,malle_dips_pouches,Malle ❤️ 🐸,Should Have Benched,Tyrell Williams,WR,W/R/T,5.4
2017,2,malle_dips_pouches,Malle ❤️ 🐸,Should Have Started,Allen Hurns,WR,BN,14.2
2017,2,malle_dips_pouches,Malle ❤️ 🐸,Should Have Started,Tevin Coleman,RB,BN,10.5
2017,3,Big Sack Jack,Dillon Panthers,Should Have Benched,Philip Rivers,QB,QB,6.48
2017,3,Big Sack Jack,Dillon Panthers,Should Have Benched,Martavis Bryant,WR,W/R/T,3.0
2017,3,Big Sack Jack,Dillon Panthers,Should Have Started,DeMarco Murray,RB,BN,18.0
2017,3,Big Sack Jack,Dillon Panthers,Should Have Started,Kirk Cousins,QB,BN,32.8
2017,3,Dillon Panthers,Big Sack Jack,Should Have Benched,Ravens - DEF,DEF,DEF,-4.0
2017,3,Dillon Panthers,Big Sack Jack,Should Have Benched,Jeremy Maclin,WR,W/R/T,0.8
2017,3,Dillon Panthers,Big Sack Jack,Should Have Started,Patriots - DEF,DEF,BN,6.0
2017,3,Dillon Panthers,Big Sack Jack,Should Have Started,Theo Riddick,RB,BN,3.8
2017,3,Ginger FC,PickUpYourBratsMalle,Should Have Benched,Broncos - DEF,DEF,DEF,4.0
2017,3,Ginger FC,PickUpYourBratsMalle,Should Have Benched,Trevor Siemian,QB,QB,9.56
2017,3,Ginger FC,PickUpYourBratsMalle,Should Have Benched,Jacquizz Rodgers,FLEX,W/R/T,1.5
2017,3,Ginger FC,PickUpYourBratsMalle,Should Have Started,Jimmy Graham,TE,BN,7.2
2017,3,Ginger FC,PickUpYourBratsMalle,Should Have Started,Marcus Mariota,QB,BN,23.7
2017,3,Ginger FC,PickUpYourBratsMalle,Should Have Started,Rams - DEF,DEF,BN,4.0
2017,3,Hello Harvard,Pop Lockett Drop it,Should Have Benched,Buccaneers - DEF,DEF,DEF,-1.0
2017,3,Hello Harvard,Pop Lockett Drop it,Should Have Benched,Ty Montgomery II,RB,RB,5.0
2017,3,Hello Harvard,Pop Lockett Drop it,Should Have Benched,Chris Johnson,FLEX,W/R/T,2.1
2017,3,Hello Harvard,Pop Lockett Drop it,Should Have Started,Jaguars - DEF,DEF,BN,12.0
2017,3,Hello Harvard,Pop Lockett Drop it,Should Have Started,Jordan Howard,RB,BN,26.6
2017,3,Hello Harvard,Pop Lockett Drop it,Should Have Started,Pierre Garcon,WR,BN,14.2
2017,3,Little Red Fournette,malle_dips_pouches,Should Have Benched,Coby Fleener,TE,TE,2.1
2017,3,Little Red Fournette,malle_dips_pouches,Should Have Benched,Demaryius Thomas,WR,WR,9.8
2017,3,Little Red Fournette,malle_dips_pouches,Should Have Started,Evan Engram,TE,BN,4.5
2017,3,Little Red Fournette,malle_dips_pouches,Should Have Started,Stefon Diggs,WR,BN,29.3
2017,3,Malle ❤️ 🐸,Voldemort,Should Have Benched,Carson Wentz,QB,QB,15.24
2017,3,Malle ❤️ 🐸,Voldemort,Should Have Started,Russell Wilson,QB,BN,41.52
2017,3,Pop Lockett Drop it,Hello Harvard,Should Have Benched,Isaiah Crowell,RB,RB,5.4
2017,3,Pop Lockett Drop it,Hello Harvard,Should Have Benched,Alshon Jeffery,WR,WR,5.6
2017,3,Pop Lockett Drop it,Hello Harvard,Should Have Benched,Kenny Golladay,WR,WR,2.5
2017,3,Pop Lockett Drop it,Hello Harvard,Should Have Started,Jamaal Charles,RB,BN,11.7
2017,3,Pop Lockett Drop it,Hello Harvard,Should Have Started,Marqise Lee,WR,BN,6.5
2017,3,Pop Lockett Drop it,Hello Harvard,Should Have Started,Duke Johnson,RB,BN,16.4
2017,3,The Big Gronkowski,Ur The Best Bellows,Should Have Benched,Ben Roethlisberger,QB,QB,14.0
2017,3,The Big Gronkowski,Ur The Best Bellows,Should Have Benched,Marshawn Lynch,RB,RB,2.6
2017,3,The Big Gronkowski,Ur The Best Bellows,Should Have Benched,Davante Adams,WR,WR,6.0
2017,3,The Big Gronkowski,Ur The Best Bellows,Should Have Started,Andy Dalton,QB,BN,20.28
2017,3,The Big Gronkowski,Ur The Best Bellows,Should Have Started,Golden Tate,WR,BN,11.8
2017,3,The Big Gronkowski,Ur The Best Bellows,Should Have Started,Ted Ginn Jr.,WR,BN,11.9
2017,3,Ur The Best Bellows,The Big Gronkowski,Should Have Benched,Jameis Winston,QB,QB,22.52
2017,3,Ur The Best Bellows,The Big Gronkowski,Should Have Benched,Kelvin Benjamin,WR,WR,0.8
2017,3,Ur The Best Bellows,The Big Gronkowski,Should Have Started,Adrian Peterson,RB,BN,3.7
2017,3,Ur The Best Bellows,The Big Gronkowski,Should Have Started,Carson Palmer,QB,BN,25.7
2017,3,Voldemort,Malle ❤️ 🐸,Should Have Benched,Javorius Allen,RB,W/R/T,2.8
2017,3,Voldemort,Malle ❤️ 🐸,Should Have Started,Chris Carson,RB,BN,11.2
2017,3,malle_dips_pouches,Little Red Fournette,Should Have Benched,Jonathan Stewart,RB,RB,6.1
2017,3,malle_dips_pouches,Little Red Fournette,Should Have Benched,Tyrell Williams,WR,W/R/T,1.5
2017,3,malle_dips_pouches,Little Red Fournette,Should Have Benched,Michael Crabtree,WR,WR,0.7
2017,3,malle_dips_pouches,Little Red Fournette,Should Have Started,Allen Hurns,WR,BN,8.0
2017,3,malle_dips_pouches,Little Red Fournette,Should Have Started,LeGarrette Blount,RB,BN,12.7
2017,3,malle_dips_pouches,Little Red Fournette,Should Have Started,Charles Clay,TE,BN,9.9
2017,4,Big Sack Jack,Pop Lockett Drop it,Should Have Benched,Philip Rivers,QB,QB,23.88
2017,4,Big Sack Jack,Pop Lockett Drop it,Should Have Benched,Chris Thompson,RB,RB,0.7
2017,4,Big Sack Jack,Pop Lockett Drop it,Should Have Benched,Brandin Cooks,WR,WR,4.2
2017,4,Big Sack Jack,Pop Lockett Drop it,Should Have Benched,Tyreek Hill,WR,WR,3.5
2017,4,Big Sack Jack,Pop Lockett Drop it,Should Have Started,Marvin Jones Jr.,WR,BN,4.2
2017,4,Big Sack Jack,Pop Lockett Drop it,Should Have Started,Samaje Perine,RB,BN,2.7
2017,4,Big Sack Jack,Pop Lockett Drop it,Should Have Started,John Brown,WR,BN,4.7
2017,4,Big Sack Jack,Pop Lockett Drop it,Should Have Started,Kirk Cousins,QB,BN,24.6
2017,4,Dillon Panthers,The Big Gronkowski,Should Have Benched,Aaron Rodgers,QB,QB,31.06
2017,4,Dillon Panthers,The Big Gronkowski,Should Have Benched,Derrick Henry,RB,RB,0.7
2017,4,Dillon Panthers,The Big Gronkowski,Should Have Benched,Jason Witten,TE,TE,0.9
2017,4,Dillon Panthers,The Big Gronkowski,Should Have Benched,Jeremy Maclin,WR,W/R/T,2.1
2017,4,Dillon Panthers,The Big Gronkowski,Should Have Started,Cam Newton,QB,BN,40.04
2017,4,Dillon Panthers,The Big Gronkowski,Should Have Started,Eric Ebron,TE,BN,2.7
2017,4,Dillon Panthers,The Big Gronkowski,Should Have Started,James White,RB,BN,5.4
2017,4,Dillon Panthers,The Big Gronkowski,Should Have Started,Jaron Brown,WR,BN,10.5
2017,4,Ginger FC,Little Red Fournette,Should Have Benched,Trevor Siemian,QB,QB,13.26
2017,4,Ginger FC,Little Red Fournette,Should Have Started,Marcus Mariota,QB,BN,17.74
2017,4,Hello Harvard,PickUpYourBratsMalle,Should Have Benched,Ty Montgomery II,RB,RB,2.8
2017,4,Hello Harvard,PickUpYourBratsMalle,Should Have Benched,Ben Watson,TE,TE,4.3
2017,4,Hello Harvard,PickUpYourBratsMalle,Should Have Started,Austin Hooper,TE,BN,5.0
2017,4,Hello Harvard,PickUpYourBratsMalle,Should Have Started,Tyler Lockett,WR,BN,9.1
2017,4,Little Red Fournette,Ginger FC,Should Have Benched,DeMarco Murray,RB,RB,3.5
2017,4,Little Red Fournette,Ginger FC,Should Have Benched,Demaryius Thomas,WR,WR,1.1
2017,4,Little Red Fournette,Ginger FC,Should Have Started,Doug Baldwin,WR,BN,5.5
2017,4,Little Red Fournette,Ginger FC,Should Have Started,Wendell Smallwood,RB,BN,13.9
2017,4,Malle ❤️ 🐸,Ur The Best Bellows,Should Have Benched,Chiefs - DEF,DEF,DEF,9.0
2017,4,Malle ❤️ 🐸,Ur The Best Bellows,Should Have Benched,Carson Wentz,QB,QB,17.08
2017,4,Malle ❤️ 🐸,Ur The Best Bellows,Should Have Started,Packers - DEF,DEF,BN,10.0
2017,4,Malle ❤️ 🐸,Ur The Best Bellows,Should Have Started,Russell Wilson,QB,BN,33.6
2017,4,PickUpYourBratsMalle,Hello Harvard,Should Have Benched,Martellus Bennett,TE,TE,3.9
2017,4,PickUpYourBratsMalle,Hello Harvard,Should Have Benched,Antonio Brown,WR,WR,3.4
2017,4,PickUpYourBratsMalle,Hello Harvard,Should Have Started,Cameron Brate,TE,BN,14.0
2017,4,PickUpYourBratsMalle,Hello Harvard,Should Have Started,Terrelle Pryor Sr.,WR,BN,13.0
2017,4,Pop Lockett Drop it,Big Sack Jack,Should Have Benched,Isaiah Crowell,RB,RB,2.7
2017,4,Pop Lockett Drop it,Big Sack Jack,Should Have Benched,T.Y. Hilton,WR,W/R/T,3.0
2017,4,Pop Lockett Drop it,Big Sack Jack,Should Have Benched,Jarvis Landry,WR,WR,4.0
2017,4,Pop Lockett Drop it,Big Sack Jack,Should Have Started,Danny Amendola,WR,BN,10.2
2017,4,Pop Lockett Drop it,Big Sack Jack,Should Have Started,Duke Johnson,RB,BN,12.0
2017,4,Pop Lockett Drop it,Big Sack Jack,Should Have Started,Jamaal Charles,RB,BN,4.7
2017,4,The Big Gronkowski,Dillon Panthers,Should Have Benched,Ben Roethlisberger,QB,QB,13.54
2017,4,The Big Gronkowski,Dillon Panthers,Should Have Benched,Marshawn Lynch,RB,RB,1.2
2017,4,The Big Gronkowski,Dillon Panthers,Should Have Started,Andy Dalton,QB,BN,36.34
2017,4,The Big Gronkowski,Dillon Panthers,Should Have Started,Evan Engram,TE,BN,6.2
2017,4,Ur The Best Bellows,Malle ❤️ 🐸,Should Have Benched,Sammy Watkins,WR,W/R/T,1.7
2017,4,Ur The Best Bellows,Malle ❤️ 🐸,Should Have Started,Randall Cobb,WR,BN,10.4
2017,4,Voldemort,malle_dips_pouches,Should Have Benched,Melvin Gordon III,RB,RB,2.9
2017,4,Voldemort,malle_dips_pouches,Should Have Benched,Jordan Reed,TE,TE,2.1
2017,4,Voldemort,malle_dips_pouches,Should Have Benched,Chris Carson,RB,W/R/T,6.6
2017,4,Voldemort,malle_dips_pouches,Should Have Started,Vernon Davis,TE,BN,8.9
2017,4,Voldemort,malle_dips_pouches,Should Have Started,Alvin Kamara,RB,BN,15.6
2017,4,Voldemort,malle_dips_pouches,Should Have Started,Donte Moncrief,WR,BN,9.0
2017,4,malle_dips_pouches,Voldemort,Should Have Benched,Rob Gronkowski,TE,TE,8.0
2017,4,malle_dips_pouches,Voldemort,Should Have Benched,Julio Jones,WR,WR,3.0
2017,4,malle_dips_pouches,Voldemort,Should Have Started,Charles Clay,TE,BN,11.2
2017,4,malle_dips_pouches,Voldemort,Should Have Started,LeGarrette Blount,RB,BN,15.6
2017,5,Big Sack Jack,PickUpYourBratsMalle,Should Have Benched,Stefon Diggs,WR,W/R/T,0.4
2017,5,Big Sack Jack,PickUpYourBratsMalle,Should Have Benched,Brandin Cooks,WR,WR,8.5
2017,5,Big Sack Jack,PickUpYourBratsMalle,Should Have Started,Jermaine Kearse,WR,BN,9.8
2017,5,Big Sack Jack,PickUpYourBratsMalle,Should Have Started,John Brown,WR,BN,8.6
2017,5,Dillon Panthers,Malle ❤️ 🐸,Should Have Benched,Aaron Rodgers,QB,QB,30.04
2017,5,Dillon Panthers,Malle ❤️ 🐸,Should Have Benched,Jaron Brown,WR,WR,3.9
2017,5,Dillon Panthers,Malle ❤️ 🐸,Should Have Started,Cam Newton,QB,BN,32.2
2017,5,Dillon Panthers,Malle ❤️ 🐸,Should Have Started,Jeremy Maclin,WR,BN,4.3
2017,5,Ginger FC,malle_dips_pouches,Should Have Benched,Carlos Hyde,RB,RB,1.8
2017,5,Ginger FC,malle_dips_pouches,Should Have Benched,Jacquizz Rodgers,FLEX,W/R/T,1.5
2017,5,Ginger FC,malle_dips_pouches,Should Have Started,Eddie Lacy,RB,BN,2.8
2017,5,Ginger FC,malle_dips_pouches,Should Have Started,J.D. McKissic,RB,BN,3.6
2017,5,Hello Harvard,Little Red Fournette,Should Have Benched,Rams - DEF,DEF,DEF,8.0
2017,5,Hello Harvard,Little Red Fournette,Should Have Benched,DeVante Parker,WR,WR,0.6
2017,5,Hello Harvard,Little Red Fournette,Should Have Started,Jaguars - DEF,DEF,BN,28.0
2017,5,Hello Harvard,Little Red Fournette,Should Have Started,Joe Mixon,RB,BN,11.1
2017,5,Little Red Fournette,Hello Harvard,Should Have Benched,Bilal Powell,RB,RB,3.3
2017,5,Little Red Fournette,Hello Harvard,Should Have Benched,DeMarco Murray,RB,W/R/T,4.9
2017,5,Little Red Fournette,Hello Harvard,Should Have Started,Aaron Jones Sr.,RB,BN,19.4
2017,5,Little Red Fournette,Hello Harvard,Should Have Started,Frank Gore,RB,BN,8.6
2017,5,Malle ❤️ 🐸,Dillon Panthers,Should Have Benched,Chiefs - DEF,DEF,DEF,10.0
2017,5,Malle ❤️ 🐸,Dillon Panthers,Should Have Started,Packers - DEF,DEF,BN,12.0
2017,5,PickUpYourBratsMalle,Big Sack Jack,Should Have Benched,Martellus Bennett,TE,TE,5.3
2017,5,PickUpYourBratsMalle,Big Sack Jack,Should Have Benched,Rishard Matthews,FLEX,W/R/T,3.1
2017,5,PickUpYourBratsMalle,Big Sack Jack,Should Have Started,Cameron Brate,TE,BN,12.8
2017,5,PickUpYourBratsMalle,Big Sack Jack,Should Have Started,Will Fuller V,WR,BN,18.2
2017,5,Pop Lockett Drop it,The Big Gronkowski,Should Have Benched,Alshon Jeffery,WR,WR,3.1
2017,5,Pop Lockett Drop it,The Big Gronkowski,Should Have Started,Danny Amendola,WR,BN,7.7
2017,5,The Big Gronkowski,Pop Lockett Drop it,Should Have Benched,Ben Roethlisberger,QB,QB,7.58
2017,5,The Big Gronkowski,Pop Lockett Drop it,Should Have Benched,Golden Tate,WR,WR,4.8
2017,5,The Big Gronkowski,Pop Lockett Drop it,Should Have Started,Andy Dalton,QB,BN,17.32
2017,5,The Big Gronkowski,Pop Lockett Drop it,Should Have Started,Davante Adams,WR,BN,18.6
2017,5,Ur The Best Bellows,Voldemort,Should Have Benched,Sammy Watkins,WR,W/R/T,0.0
2017,5,Ur The Best Bellows,Voldemort,Should Have Started,Randall Cobb,WR,BN,2.9
2017,5,Voldemort,Ur The Best Bellows,Should Have Benched,Latavius Murray,RB,W/R/T,4.3
2017,5,Voldemort,Ur The Best Bellows,Should Have Started,Javorius Allen,RB,BN,14.5
2017,5,malle_dips_pouches,Ginger FC,Should Have Benched,Allen Hurns,WR,W/R/T,2.1
2017,5,malle_dips_pouches,Ginger FC,Should Have Started,Jonathan Stewart,RB,BN,4.4
2017,6,Big Sack Jack,Little Red Fournette,Should Have Benched,Jermaine Kearse,WR,W/R/T,7.9
2017,6,Big Sack Jack,Little Red Fournette,Should Have Benched,Brandin Cooks,WR,WR,9.3
2017,6,Big Sack Jack,Little Red Fournette,Should Have Benched,Tyreek Hill,WR,WR,2.5
2017,6,Big Sack Jack,Little Red Fournette,Should Have Started,John Brown,WR,BN,12.3
2017,6,Big Sack Jack,Little Red Fournette,Should Have Started,Mark Ingram II,RB,BN,25.0
2017,6,Big Sack Jack,Little Red Fournette,Should Have Started,Marvin Jones Jr.,WR,BN,15.6
2017,6,Dillon Panthers,Voldemort,Should Have Benched,Aaron Rodgers,QB,QB,0.72
2017,6,Dillon Panthers,Voldemort,Should Have Benched,Cooper Kupp,WR,W/R/T,3.5
2017,6,Dillon Panthers,Voldemort,Should Have Started,Cam Newton,QB,BN,25.66
2017,6,Dillon Panthers,Voldemort,Should Have Started,Derrick Henry,RB,BN,20.5
2017,6,Hello Harvard,Ginger FC,Should Have Benched,Jaguars - DEF,DEF,DEF,5.0
2017,6,Hello Harvard,Ginger FC,Should Have Benched,Andre Ellington,RB,RB,0.0
2017,6,Hello Harvard,Ginger FC,Should Have Benched,Michael Thomas,WR,WR,1.1
2017,6,Hello Harvard,Ginger FC,Should Have Started,Ty Montgomery II,RB,BN,3.1
2017,6,Hello Harvard,Ginger FC,Should Have Started,Ben Watson,TE,BN,2.8
2017,6,Hello Harvard,Ginger FC,Should Have Started,Rams - DEF,DEF,BN,22.0
2017,6,Little Red Fournette,Big Sack Jack,Should Have Benched,Aaron Jones Sr.,RB,W/R/T,4.2
2017,6,Little Red Fournette,Big Sack Jack,Should Have Started,Frank Gore,RB,BN,6.7
2017,6,Malle ❤️ 🐸,Pop Lockett Drop it,Should Have Benched,Chiefs - DEF,DEF,DEF,4.0
2017,6,Malle ❤️ 🐸,Pop Lockett Drop it,Should Have Started,Packers - DEF,DEF,BN,4.0
2017,6,PickUpYourBratsMalle,The Big Gronkowski,Should Have Benched,C.J. Anderson,RB,RB,1.7
2017,6,PickUpYourBratsMalle,The Big Gronkowski,Should Have Started,Wayne Gallman,RB,BN,3.2
2017,6,Pop Lockett Drop it,Malle ❤️ 🐸,Should Have Benched,Duke Johnson,RB,RB,3.9
2017,6,Pop Lockett Drop it,Malle ❤️ 🐸,Should Have Benched,T.Y. Hilton,WR,W/R/T,1.9
2017,6,Pop Lockett Drop it,Malle ❤️ 🐸,Should Have Started,Isaiah Crowell,RB,BN,7.3
2017,6,Pop Lockett Drop it,Malle ❤️ 🐸,Should Have Started,Danny Amendola,WR,BN,4.0
2017,6,The Big Gronkowski,PickUpYourBratsMalle,Should Have Benched,Delanie Walker,TE,TE,1.4
2017,6,The Big Gronkowski,PickUpYourBratsMalle,Should Have Benched,Mike Wallace,FLEX,W/R/T,3.0
2017,6,The Big Gronkowski,PickUpYourBratsMalle,Should Have Started,Evan Engram,TE,BN,14.2
2017,6,The Big Gronkowski,PickUpYourBratsMalle,Should Have Started,Kenny Stills,WR,BN,10.9
2017,6,Ur The Best Bellows,malle_dips_pouches,Should Have Benched,Jameis Winston,QB,QB,2.44
2017,6,Ur The Best Bellows,malle_dips_pouches,Should Have Benched,Sammy Watkins,WR,WR,1.1
2017,6,Ur The Best Bellows,malle_dips_pouches,Should Have Started,Carson Palmer,QB,BN,27.92
2017,6,Ur The Best Bellows,malle_dips_pouches,Should Have Started,Randall Cobb,WR,BN,2.8
2017,6,Voldemort,Dillon Panthers,Should Have Benched,Javorius Allen,RB,W/R/T,6.6
2017,6,Voldemort,Dillon Panthers,Should Have Started,Jerick McKinnon,RB,BN,19.9
2017,7,Big Sack Jack,Ginger FC,Should Have Benched,Doug Martin,RB,RB,8.0
2017,7,Big Sack Jack,Ginger FC,Should Have Started,Jermaine Kearse,WR,BN,8.9
2017,7,Dillon Panthers,Ur The Best Bellows,Should Have Benched,Derrick Henry,RB,RB,2.4
2017,7,Dillon Panthers,Ur The Best Bellows,Should Have Benched,Austin Seferian-Jenkins,TE,TE,8.1
2017,7,Dillon Panthers,Ur The Best Bellows,Should Have Benched,Orleans Darkwa,FLEX,W/R/T,4.8
2017,7,Dillon Panthers,Ur The Best Bellows,Should Have Started,Cooper Kupp,WR,BN,11.1
2017,7,Dillon Panthers,Ur The Best Bellows,Should Have Started,James White,RB,BN,10.7
