year,week,fantasy_team,opponent,team_score,opponent_score,actual_win,actual_loss,actual_tie,actual_win_value,margin,all_play_wins,all_play_losses,all_play_ties,expected_win_value,weekly_schedule_luck,weekly_score_rank,top_3_score,bottom_3_score,opponent_weekly_score_rank,opponent_top_3_score,opponent_bottom_3_score,close_game_5,close_game_10,close_game_5_win_value,close_game_10_win_value
2017,1,Dillon Panthers,Ginger FC,65.24,71.94,0.0,1.0,0.0,0.0,-6.700000000000003,3,8,0,0.2727272727272727,-0.2727272727272727,9,False,False,7,False,False,False,True,,0.0
2017,1,Little Red Fournette,Pop Lockett Drop it,103.54,58.74,1.0,0.0,0.0,1.0,44.800000000000004,9,2,0,0.8181818181818182,0.18181818181818177,3,True,False,11,False,True,False,False,,
2017,1,PickUpYourBratsMalle,malle_dips_pouches,82.12,68.68,1.0,0.0,0.0,1.0,13.439999999999998,7,4,0,0.6363636363636364,0.36363636363636365,5,False,False,8,False,False,False,False,,
2017,1,The Big Gronkowski,Malle ❤️ 🐸,108.02,78.62,1.0,0.0,0.0,1.0,29.39999999999999,10,1,0,0.9090909090909091,0.09090909090909094,2,True,False,6,False,False,False,False,,
2017,1,Ur The Best Bellows,Hello Harvard,48.22,132.38,0.0,1.0,0.0,0.0,-84.16,0,11,0,0.0,0.0,12,False,True,1,True,False,False,False,,
2017,1,Voldemort,Big Sack Jack,98.88,61.7,1.0,0.0,0.0,1.0,37.17999999999999,8,3,0,0.7272727272727273,0.2727272727272727,4,False,False,10,False,True,False,False,,
2017,1,Ginger FC,Dillon Panthers,71.94,65.24,1.0,0.0,0.0,1.0,6.700000000000003,5,6,0,0.45454545454545453,0.5454545454545454,7,False,False,9,False,False,False,True,,1.0
2017,1,Pop Lockett Drop it,Little Red Fournette,58.74,103.54,0.0,1.0,0.0,0.0,-44.800000000000004,1,10,0,0.09090909090909091,-0.09090909090909091,11,False,True,3,True,False,False,False,,
2017,1,malle_dips_pouches,PickUpYourBratsMalle,68.68,82.12,0.0,1.0,0.0,0.0,-13.439999999999998,4,7,0,0.36363636363636365,-0.36363636363636365,8,False,False,5,False,False,False,False,,
2017,1,Malle ❤️ 🐸,The Big Gronkowski,78.62,108.02,0.0,1.0,0.0,0.0,-29.39999999999999,6,5,0,0.5454545454545454,-0.5454545454545454,6,False,False,2,True,False,False,False,,
2017,1,Hello Harvard,Ur The Best Bellows,132.38,48.22,1.0,0.0,0.0,1.0,84.16,11,0,0,1.0,0.0,1,True,False,12,False,True,False,False,,
2017,1,Big Sack Jack,Voldemort,61.7,98.88,0.0,1.0,0.0,0.0,-37.17999999999999,2,9,0,0.18181818181818182,-0.18181818181818182,10,False,True,4,False,False,False,False,,
2017,2,Dillon Panthers,Hello Harvard,131.92,61.28,1.0,0.0,0.0,1.0,70.63999999999999,11,0,0,1.0,0.0,1,True,False,11,False,True,False,False,,
2017,2,Little Red Fournette,PickUpYourBratsMalle,81.54,96.02,0.0,1.0,0.0,0.0,-14.47999999999999,5,6,0,0.45454545454545453,-0.45454545454545453,7,False,False,5,False,False,False,False,,
2017,2,Malle ❤️ 🐸,malle_dips_pouches,59.12,125.6,0.0,1.0,0.0,0.0,-66.47999999999999,0,11,0,0.0,0.0,12,False,True,2,True,False,False,False,,
2017,2,Pop Lockett Drop it,Ginger FC,68.78,92.8,0.0,1.0,0.0,0.0,-24.019999999999996,2,9,0,0.18181818181818182,-0.18181818181818182,10,False,True,6,False,False,False,False,,
2017,2,The Big Gronkowski,Voldemort,97.32,110.38,0.0,1.0,0.0,0.0,-13.060000000000002,8,3,0,0.7272727272727273,-0.7272727272727273,4,False,False,3,True,False,False,False,,
2017,2,Ur The Best Bellows,Big Sack Jack,80.08,73.54,1.0,0.0,0.0,1.0,6.539999999999992,4,7,0,0.36363636363636365,0.6363636363636364,8,False,False,9,False,False,False,True,,1.0
2017,2,Hello Harvard,Dillon Panthers,61.28,131.92,0.0,1.0,0.0,0.0,-70.63999999999999,1,10,0,0.09090909090909091,-0.09090909090909091,11,False,True,1,True,False,False,False,,
2017,2,PickUpYourBratsMalle,Little Red Fournette,96.02,81.54,1.0,0.0,0.0,1.0,14.47999999999999,7,4,0,0.6363636363636364,0.36363636363636365,5,False,False,7,False,False,False,False,,
2017,2,malle_dips_pouches,Malle ❤️ 🐸,125.6,59.12,1.0,0.0,0.0,1.0,66.47999999999999,10,1,0,0.9090909090909091,0.09090909090909094,2,True,False,12,False,True,False,False,,
2017,2,Ginger FC,Pop Lockett Drop it,92.8,68.78,1.0,0.0,0.0,1.0,24.019999999999996,6,5,0,0.5454545454545454,0.4545454545454546,6,False,False,10,False,True,False,False,,
2017,2,Voldemort,The Big Gronkowski,110.38,97.32,1.0,0.0,0.0,1.0,13.060000000000002,9,2,0,0.8181818181818182,0.18181818181818177,3,True,False,4,False,False,False,False,,
2017,2,Big Sack Jack,Ur The Best Bellows,73.54,80.08,0.0,1.0,0.0,0.0,-6.539999999999992,3,8,0,0.2727272727272727,-0.2727272727272727,9,False,False,8,False,False,False,True,,0.0
2017,3,Dillon Panthers,Big Sack Jack,84.42,98.98,0.0,1.0,0.0,0.0,-14.560000000000002,6,5,0,0.5454545454545454,-0.5454545454545454,6,False,False,4,False,False,False,False,,
2017,3,Little Red Fournette,malle_dips_pouches,113.8,88.42,1.0,0.0,0.0,1.0,25.379999999999995,10,1,0,0.9090909090909091,0.09090909090909094,2,True,False,5,False,False,False,False,,
2017,3,Malle ❤️ 🐸,Voldemort,84.34,141.02,0.0,1.0,0.0,0.0,-56.68000000000001,5,6,0,0.45454545454545453,-0.45454545454545453,7,False,False,1,True,False,False,False,,
2017,3,PickUpYourBratsMalle,Ginger FC,76.72,66.76,1.0,0.0,0.0,1.0,9.959999999999994,4,7,0,0.36363636363636365,0.6363636363636364,8,False,False,12,False,True,False,True,,1.0
2017,3,Pop Lockett Drop it,Hello Harvard,71.26,69.86,1.0,0.0,0.0,1.0,1.4000000000000057,2,9,0,0.18181818181818182,0.8181818181818181,10,False,True,11,False,True,True,True,1.0,1.0
2017,3,The Big Gronkowski,Ur The Best Bellows,71.3,105.22,0.0,1.0,0.0,0.0,-33.92,3,8,0,0.2727272727272727,-0.2727272727272727,9,False,False,3,True,False,False,False,,
2017,3,Big Sack Jack,Dillon Panthers,98.98,84.42,1.0,0.0,0.0,1.0,14.560000000000002,8,3,0,0.7272727272727273,0.2727272727272727,4,False,False,6,False,False,False,False,,
2017,3,malle_dips_pouches,Little Red Fournette,88.42,113.8,0.0,1.0,0.0,0.0,-25.379999999999995,7,4,0,0.6363636363636364,-0.6363636363636364,5,False,False,2,True,False,False,False,,
2017,3,Voldemort,Malle ❤️ 🐸,141.02,84.34,1.0,0.0,0.0,1.0,56.68000000000001,11,0,0,1.0,0.0,1,True,False,7,False,False,False,False,,
2017,3,Ginger FC,PickUpYourBratsMalle,66.76,76.72,0.0,1.0,0.0,0.0,-9.959999999999994,0,11,0,0.0,0.0,12,False,True,8,False,False,False,True,,0.0
2017,3,Hello Harvard,Pop Lockett Drop it,69.86,71.26,0.0,1.0,0.0,0.0,-1.4000000000000057,1,10,0,0.09090909090909091,-0.09090909090909091,11,False,True,10,False,True,True,True,0.0,0.0
2017,3,Ur The Best Bellows,The Big Gronkowski,105.22,71.3,1.0,0.0,0.0,1.0,33.92,9,2,0,0.8181818181818182,0.18181818181818177,3,True,False,9,False,False,False,False,,
2017,4,Little Red Fournette,Ginger FC,106.42,100.46,1.0,0.0,0.0,1.0,5.960000000000008,10,1,0,0.9090909090909091,0.09090909090909094,2,True,False,5,False,False,False,True,,1.0
2017,4,Malle ❤️ 🐸,Ur The Best Bellows,60.88,104.78,0.0,1.0,0.0,0.0,-43.9,0,11,0,0.0,0.0,12,False,True,4,False,False,False,False,,
2017,4,PickUpYourBratsMalle,Hello Harvard,104.88,73.06,1.0,0.0,0.0,1.0,31.819999999999993,9,2,0,0.8181818181818182,0.18181818181818177,3,True,False,9,False,False,False,False,,
2017,4,Pop Lockett Drop it,Big Sack Jack,90.18,71.88,1.0,0.0,0.0,1.0,18.30000000000001,4,7,0,0.36363636363636365,0.6363636363636364,8,False,False,10,False,True,False,False,,
2017,4,The Big Gronkowski,Dillon Panthers,90.24,71.06,1.0,0.0,0.0,1.0,19.179999999999993,5,6,0,0.45454545454545453,0.5454545454545454,7,False,False,11,False,True,False,False,,
2017,4,Voldemort,malle_dips_pouches,107.68,96.12,1.0,0.0,0.0,1.0,11.560000000000002,11,0,0,1.0,0.0,1,True,False,6,False,False,False,False,,
