year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,result,margin,is_playoffs
2020,1,Joe Mantegna,7-6-0 | 6th,124.72,124.73,malle_dips_pouches,5-8-0 | 11th,115.36,113.52,Joe Mantegna,malle_dips_pouches,team_1,9.36,False
2020,1,Pop Lockett Drop it,10-3-0 | 3rd,149.56,115.59,Ginger FC,5-8-0 | 12th,137.88,114.87,Pop Lockett Drop it,Ginger FC,team_1,11.68,False
2020,1,Post Mahomes,6-7-0 | 8th,100.4,116.96,Patty Primetimes,3-10-0 | 7th,105.7,122.19,Patty Primetimes,Post Mahomes,team_2,5.3,False
2020,1,The Big Gronkowski,8-5-0 | 5th,85.4,122.86,Malle ❤️ 🐸,8-5-0 | 1st,147.86,117.75,Malle ❤️ 🐸,The Big Gronkowski,team_2,62.46,False
2020,1,ThreatLevelMidnight,3-10-0 | 9th,135.8,117.59,Big Sack Jack,6-7-0 | 10th,115.44,123.23,ThreatLevelMidnight,Big Sack Jack,team_1,20.36,False
2020,1,Uncle Rico,8-5-0 | 2nd,91.28,119.63,Voldemort,9-4-0 | 4th,91.14,118.25,Uncle Rico,Voldemort,team_1,0.14,False
2020,2,Malle ❤️ 🐸,8-5-0 | 1st,151.48,122.59,Patty Primetimes,3-10-0 | 7th,110.96,122.81,Malle ❤️ 🐸,Patty Primetimes,team_1,40.52,False
2020,2,Pop Lockett Drop it,10-3-0 | 3rd,89.9,119.72,Big Sack Jack,6-7-0 | 10th,131.38,121.33,Big Sack Jack,Pop Lockett Drop it,team_2,41.48,False
2020,2,Post Mahomes,6-7-0 | 8th,126.44,118.23,Ginger FC,5-8-0 | 12th,145.92,118.88,Ginger FC,Post Mahomes,team_2,19.48,False
2020,2,The Big Gronkowski,8-5-0 | 5th,96.88,120.37,Voldemort,9-4-0 | 4th,144.0,123.26,Voldemort,The Big Gronkowski,team_2,47.12,False
2020,2,ThreatLevelMidnight,3-10-0 | 9th,97.02,117.07,malle_dips_pouches,5-8-0 | 11th,151.46,116.74,malle_dips_pouches,ThreatLevelMidnight,team_2,54.44,False
2020,2,Uncle Rico,8-5-0 | 2nd,112.2,104.2,Joe Mantegna,7-6-0 | 6th,94.7,120.09,Uncle Rico,Joe Mantegna,team_1,17.5,False
2020,3,Ginger FC,5-8-0 | 12th,122.0,115.74,Patty Primetimes,3-10-0 | 7th,147.48,126.44,Patty Primetimes,Ginger FC,team_2,25.48,False
2020,3,Malle ❤️ 🐸,8-5-0 | 1st,133.28,127.27,Voldemort,9-4-0 | 4th,123.38,123.43,Malle ❤️ 🐸,Voldemort,team_1,9.9,False
2020,3,Pop Lockett Drop it,10-3-0 | 3rd,122.12,112.19,malle_dips_pouches,5-8-0 | 11th,109.24,119.63,Pop Lockett Drop it,malle_dips_pouches,team_1,12.88,False
2020,3,Post Mahomes,6-7-0 | 8th,113.4,120.34,Big Sack Jack,6-7-0 | 10th,121.8,124.27,Big Sack Jack,Post Mahomes,team_2,8.4,False
2020,3,The Big Gronkowski,8-5-0 | 5th,160.22,123.34,Joe Mantegna,7-6-0 | 6th,112.36,121.31,The Big Gronkowski,Joe Mantegna,team_1,47.86,False
2020,3,Uncle Rico,8-5-0 | 2nd,130.04,112.76,ThreatLevelMidnight,3-10-0 | 9th,119.62,107.42,Uncle Rico,ThreatLevelMidnight,team_1,10.42,False
2020,4,Ginger FC,5-8-0 | 12th,108.4,111.34,Big Sack Jack,6-7-0 | 10th,97.8,120.39,Ginger FC,Big Sack Jack,team_1,10.6,False
2020,4,Malle ❤️ 🐸,8-5-0 | 1st,126.66,124.34,Joe Mantegna,7-6-0 | 6th,140.78,124.11,Joe Mantegna,Malle ❤️ 🐸,team_2,14.12,False
2020,4,Post Mahomes,6-7-0 | 8th,102.72,121.86,malle_dips_pouches,5-8-0 | 11th,115.84,118.67,malle_dips_pouches,Post Mahomes,team_2,13.12,False
2020,4,The Big Gronkowski,8-5-0 | 5th,150.1,128.03,ThreatLevelMidnight,3-10-0 | 9th,119.1,113.0,The Big Gronkowski,ThreatLevelMidnight,team_1,31.0,False
2020,4,Uncle Rico,8-5-0 | 2nd,105.22,101.21,Pop Lockett Drop it,10-3-0 | 3rd,120.48,118.07,Pop Lockett Drop it,Uncle Rico,team_2,15.26,False
