year,date,team,added_player,acquisition_type,dropped_player,raw_text
2025,"Dec 25, 5:14 pm",Post Mahomes,Kirk Cousins,Free Agent,C.J. Stroud,"

	
Kirk Cousins LV - QB
Free Agent
C.J. Stroud Hou - QB
To Waivers
	
Post Mahomes
Dec 25, 5:14 pm"
2025,"Dec 25, 5:13 pm",Post Mahomes,Darren Waller,Free Agent,Chiefs,"

	
Darren Waller Car - TE Q
Free Agent
Chiefs KC - DEF
To Waivers
	
Post Mahomes
Dec 25, 5:13 pm"
2025,"Dec 24, 6:58 am",Post Mahomes,Rhamondre Stevenson,Free Agent,Garrett Wilson,"

	
Rhamondre Stevenson NE - RB Q
Free Agent
Garrett Wilson NYJ - WR Q
To Waivers
	
Post Mahomes
Dec 24, 6:58 am"
2025,"Dec 24, 3:33 am",Patty Primetimes,Alec Pierce,Waiver,Andrei Iosivas,"

	
Alec Pierce Ind - WR PUP-P
Waiver
Andrei Iosivas Cin - WR
To Waivers
	
Patty Primetimes
Dec 24, 3:33 am"
2025,"Dec 24, 3:33 am",Patty Primetimes,AJ Barner,Waiver,DK Metcalf,"

	
AJ Barner Sea - TE Q
Waiver
DK Metcalf Pit - WR
To Waivers
	
Patty Primetimes
Dec 24, 3:33 am"
2025,"Dec 24, 3:33 am",Patty Primetimes,Brenton Strange,Waiver,Tank Bigsby,"

	
Brenton Strange Jax - TE
Waiver
Tank Bigsby Phi - RB
To Waivers
	
Patty Primetimes
Dec 24, 3:33 am"
2025,"Dec 23, 11:59 am",ThreatLevelMidnight,,,Jaylen Wright,"
	
Jaylen Wright Mia - RB
To Waivers
	
ThreatLevelMidnight
Dec 23, 11:59 am"
2025,"Dec 18, 2:20 pm",Patty Primetimes,Theo Johnson,Free Agent,Emanuel Wilson,"

	
Theo Johnson NYG - TE Q
Free Agent
Emanuel Wilson Sea - RB
To Waivers
	
Patty Primetimes
Dec 18, 2:20 pm"
2025,"Dec 18, 2:15 pm",Ginger FC,Saints,Free Agent,Packers,"

	
Saints NO - DEF
Free Agent
Packers GB - DEF
To Waivers
	
Ginger FC
Dec 18, 2:15 pm"
2025,"Dec 18, 2:14 pm",Ginger FC,Jaxson Dart,Free Agent,,"
	
Jaxson Dart NYG - QB
Free Agent
	
Ginger FC
Dec 18, 2:14 pm"
2025,"Dec 17, 10:34 am",Post Mahomes,Chiefs,Free Agent,,"
	
Chiefs KC - DEF
Free Agent
	
Post Mahomes
Dec 17, 10:34 am"
