year,date,team,added_player,acquisition_type,dropped_player,raw_text
2021,"Jan 2, 11:10 am",Malle ❤️ 🐸,Darnell Mooney,Free Agent,T.J. Hockenson,"

	
Darnell Mooney NYG - WR
Free Agent
T.J. Hockenson Min - TE Q
To Waivers
	
Malle ❤️ 🐸
Jan 2, 11:10 am"
2021,"Dec 31, 7:56 pm",ThreatLevelMidnight,,,Justin Jackson,"
	
Justin Jackson Det - RB NA
To Waivers
	
ThreatLevelMidnight
Dec 31, 7:56 pm"
2021,"Dec 31, 6:57 pm",ThreatLevelMidnight,Packers,Free Agent,Bears,"

	
Packers GB - DEF
Free Agent
Bears Chi - DEF
To Waivers
	
ThreatLevelMidnight
Dec 31, 6:57 pm"
2021,"Dec 31, 12:58 pm",ThreatLevelMidnight,Trey Lance,Free Agent,Taysom Hill,"

	
Trey Lance LAC - QB
Free Agent
Taysom Hill NO - QB NA
To Waivers
	
ThreatLevelMidnight
Dec 31, 12:58 pm"
2021,"Dec 30, 1:11 pm",Post Mahomes,Dare Ogunbowale,Free Agent,Tony Pollard,"

	
Dare Ogunbowale LV - RB
Free Agent
Tony Pollard Ten - RB
To Waivers
	
Post Mahomes
Dec 30, 1:11 pm"
2021,"Dec 30, 11:52 am",Post Mahomes,Marlon Mack,Free Agent,,"
	
Marlon Mack Ari - RB NA
Free Agent
	
Post Mahomes
Dec 30, 11:52 am"
2021,"Dec 30, 11:52 am",Post Mahomes,Khalil Herbert,Free Agent,,"
	
Khalil Herbert SF - RB
Free Agent
	
Post Mahomes
Dec 30, 11:52 am"
2021,"Dec 30, 11:48 am",Post Mahomes,Chris Godwin Jr.,Free Agent,Darrel Williams,"

	
Chris Godwin Jr. TB - WR Q
Free Agent
Darrel Williams NO - RB NA
To Waivers
	
Post Mahomes
Dec 30, 11:48 am"
2021,"Dec 30, 11:48 am",Post Mahomes,Calvin Ridley,Free Agent,Rashod Bateman,"

	
Calvin Ridley Ten - WR SUSP
Free Agent
Rashod Bateman Bal - WR
To Waivers
	
Post Mahomes
Dec 30, 11:48 am"
2021,"Dec 30, 11:47 am",Post Mahomes,Cam Akers,Free Agent,,"
	
Cam Akers Sea - RB NA
Free Agent
	
Post Mahomes
Dec 30, 11:47 am"
2021,"Dec 30, 11:46 am",Post Mahomes,J.K. Dobbins,Free Agent,,"
	
J.K. Dobbins Den - RB Q
Free Agent
	
Post Mahomes
Dec 30, 11:46 am"
2021,"Dec 30, 11:46 am",Post Mahomes,,,Rhamondre Stevenson,"
	
Rhamondre Stevenson NE - RB
To Waivers
	
Post Mahomes
Dec 30, 11:46 am"
