year,date,team,added_player,acquisition_type,dropped_player,raw_text
2024,"Dec 29, 4:42 pm",Post Mahomes,Ricky Pearsall,Free Agent,T.J. Hockenson,"

	
Ricky Pearsall SF - WR NA
Free Agent
T.J. Hockenson Min - TE
To Waivers
	
Post Mahomes
Dec 29, 4:42 pm"
2024,"Dec 29, 4:42 pm",Post Mahomes,Tim Patrick,Free Agent,Amari Cooper,"

	
Tim Patrick NYJ - WR
Free Agent
Amari Cooper Buf - WR NA
To Waivers
	
Post Mahomes
Dec 29, 4:42 pm"
2024,"Dec 29, 4:41 pm",Post Mahomes,Craig Reynolds,Free Agent,,"
	
Craig Reynolds Was - RB
Free Agent
	
Post Mahomes
Dec 29, 4:41 pm"
2024,"Dec 29, 1:58 pm",Post Mahomes,,,Colts,"
	
Colts Ind - DEF
To Waivers
	
Post Mahomes
Dec 29, 1:58 pm"
2024,"Dec 29, 1:23 pm",ThreatLevelMidnight,Will Reichard,Free Agent,,"

	
Will Reichard Min - K
Free Agent
Brandon McManus GB - K NA
To Free Agent
	
ThreatLevelMidnight
Dec 29, 1:23 pm"
2024,"Dec 29, 1:16 pm",ThreatLevelMidnight,,,Michael Carter,"
	
Michael Carter Ten - RB
To Waivers
	
ThreatLevelMidnight
Dec 29, 1:16 pm"
2024,"Dec 29, 1:16 pm",ThreatLevelMidnight,,,Dolphins,"
	
Dolphins Mia - DEF
To Waivers
	
ThreatLevelMidnight
Dec 29, 1:16 pm"
2024,"Dec 29, 4:45 am",ThreatLevelMidnight,Brandon McManus,Free Agent,Jason Sanders,"

	
Brandon McManus GB - K NA
Free Agent
Jason Sanders NYJ - K
To Waivers
	
ThreatLevelMidnight
Dec 29, 4:45 am"
2024,"Dec 27, 3:13 pm",Malle ❤️ 🐸,Justin Herbert,Free Agent,Matthew Wright,"

	
Justin Herbert LAC - QB
Free Agent
Matthew Wright Buf - K NA
To Waivers
	
Malle ❤️ 🐸
Dec 27, 3:13 pm"
2024,"Dec 25, 8:39 am",ThreatLevelMidnight,Jason Sanders,Free Agent,Jake Moody,"

	
Jason Sanders NYJ - K
Free Agent
Jake Moody Was - K NA
To Waivers
	
ThreatLevelMidnight
Dec 25, 8:39 am"
2024,"Dec 25, 8:09 am",ThreatLevelMidnight,Dolphins,Free Agent,Jalen McMillan,"

	
Dolphins Mia - DEF
Free Agent
Jalen McMillan TB - WR
To Waivers
	
ThreatLevelMidnight
Dec 25, 8:09 am"
2024,"Dec 25, 2:29 am",ThreatLevelMidnight,Michael Carter,Waiver,,"
	
Michael Carter Ten - RB
Waiver
	
ThreatLevelMidnight
Dec 25, 2:29 am"
2024,"Dec 25, 2:29 am",Post Mahomes,Colts,Waiver,,"
	
Colts Ind - DEF
Waiver
	
Post Mahomes
Dec 25, 2:29 am"
2024,"Dec 24, 8:07 am",ThreatLevelMidnight,,,Bengals,"
	
Bengals Cin - DEF
To Waivers
	
ThreatLevelMidnight
Dec 24, 8:07 am"
2024,"Dec 24, 6:30 am",Post Mahomes,,,Falcons,"
	
Falcons Atl - DEF
To Waivers
	
Post Mahomes
Dec 24, 6:30 am"
2024,"Dec 22, 6:20 pm",ThreatLevelMidnight,Chris Brooks,Free Agent,Cam Akers,"

	
Chris Brooks GB - RB
Free Agent
Cam Akers Sea - RB NA
To Waivers
	
ThreatLevelMidnight
Dec 22, 6:20 pm"
2024,"Dec 21, 9:07 am",ThreatLevelMidnight,Xavier Worthy,Free Agent,Keon Coleman,"

	
Xavier Worthy KC - WR
Free Agent
Keon Coleman Buf - WR
To Waivers
	
ThreatLevelMidnight
Dec 21, 9:07 am"
2024,"Dec 21, 9:02 am",ThreatLevelMidnight,Eagles,Free Agent,Jaylen Warren,"

	
Eagles Phi - DEF
Free Agent
Jaylen Warren Pit - RB
To Waivers
	
ThreatLevelMidnight
Dec 21, 9:02 am"
2024,"Dec 19, 7:21 pm",Post Mahomes,,,Chiefs,"
	
Chiefs KC - DEF
To Waivers
	
Post Mahomes
Dec 19, 7:21 pm"
2024,"Dec 18, 8:36 am",ThreatLevelMidnight,Bengals,Free Agent,Eagles,"

	
Bengals Cin - DEF
Free Agent
Eagles Phi - DEF
To Waivers
	
ThreatLevelMidnight
Dec 18, 8:36 am"
2024,"Dec 18, 8:31 am",Post Mahomes,Jaguars,Free Agent,Braelon Allen,"

	
Jaguars Jax - DEF
Free Agent
Braelon Allen NYJ - RB
To Waivers
	
Post Mahomes
Dec 18, 8:31 am"
2024,"Dec 18, 2:25 am",ThreatLevelMidnight,Jalen McMillan,Waiver,Gus Edwards,"

	
Jalen McMillan TB - WR
Waiver
Gus Edwards LAC - RB NA
To Waivers
	
ThreatLevelMidnight
Dec 18, 2:25 am"
2024,"Dec 13, 8:11 am",The Big Gronkowski,Kendre Miller,Free Agent,Chris Olave,"

	
Kendre Miller NO - RB Q
Free Agent
Chris Olave NO - WR Q
To Waivers
	
The Big Gronkowski
Dec 13, 8:11 am"
2024,"Dec 11, 9:19 am",Post Mahomes,Falcons,Free Agent,,"

	
Falcons Atl - DEF
Free Agent
Ravens Bal - DEF
To Free Agent
	
Post Mahomes
Dec 11, 9:19 am"
2024,"Dec 11, 9:16 am",Post Mahomes,Ravens,Free Agent,,"
	
Ravens Bal - DEF
Free Agent
	
Post Mahomes
Dec 11, 9:16 am"
2024,"Dec 11, 9:15 am",Post Mahomes,,,Tyler Bass,"
	
Tyler Bass Buf - K
To Waivers
	
Post Mahomes
Dec 11, 9:15 am"
2024,"Dec 11, 9:15 am",Post Mahomes,Braelon Allen,Free Agent,,"
	
Braelon Allen NYJ - RB
Free Agent
	
Post Mahomes
Dec 11, 9:15 am"
2024,"Dec 11, 2:31 am",Patty Primetimes,Patrick Taylor Jr.,Waiver,Xavier Worthy,"

	
Patrick Taylor Jr. SF - RB NA
Waiver
Xavier Worthy KC - WR
To Waivers
	
Patty Primetimes
Dec 11, 2:31 am"
2024,"Dec 11, 2:31 am",The Big Gronkowski,Sincere McCormick,Waiver,Ameer Abdullah,"

	
Sincere McCormick SF - RB Q
Waiver
Ameer Abdullah Jax - RB Q
To Waivers
	
The Big Gronkowski
Dec 11, 2:31 am"
2024,"Dec 10, 10:39 am",Post Mahomes,,,Russell Wilson,"
	
Russell Wilson NYG - QB NA
To Waivers
	
Post Mahomes
Dec 10, 10:39 am"
2024,"Dec 8, 11:49 am",malle_dips_pouches,Tyler Allgeier,Free Agent,Pat Freiermuth,"

	
Tyler Allgeier Ari - RB
Free Agent
Pat Freiermuth Pit - TE
To Waivers
	
malle_dips_pouches
Dec 8, 11:49 am"
2024,"Dec 8, 11:47 am",malle_dips_pouches,Isaiah Davis,Free Agent,,"
	
Isaiah Davis NYJ - RB
Free Agent
	
malle_dips_pouches
Dec 8, 11:47 am"
2024,"Dec 8, 10:42 am",Ginger FC,,,Dallas Goedert,"
	
Dallas Goedert Phi - TE
To Waivers
	
Ginger FC
Dec 8, 10:42 am"
2024,"Dec 8, 8:57 am",Malle ❤️ 🐸,Tank Bigsby,Free Agent,Zamir White,"

	
Tank Bigsby Phi - RB
Free Agent
Zamir White SF - RB Q
To Waivers
	
Malle ❤️ 🐸
Dec 8, 8:57 am"
2024,"Dec 7, 2:27 am",Post Mahomes,Ka'imi Fairbairn,Waiver,Braelon Allen,"

	
Ka'imi Fairbairn Hou - K
Waiver
Braelon Allen NYJ - RB
To Waivers
	
Post Mahomes
Dec 7, 2:27 am"
2024,"Dec 5, 6:35 pm",Uncle Rico,Xavier Legette,Free Agent,Romeo Doubs,"

	
Xavier Legette Car - WR Q
Free Agent
Romeo Doubs NE - WR Q
To Waivers
	
Uncle Rico
Dec 5, 6:35 pm"
2024,"Dec 5, 5:53 pm",Buttermilk Puuump,Titans,Free Agent,Colts,"

	
Titans Ten - DEF
Free Agent
Colts Ind - DEF
To Waivers
	
Buttermilk Puuump
Dec 5, 5:53 pm"
2024,"Dec 5, 4:14 pm",Malle ❤️ 🐸,Matthew Wright,Free Agent,,"
	
Matthew Wright Buf - K NA
Free Agent
	
Malle ❤️ 🐸
Dec 5, 4:14 pm"
2024,"Dec 4, 12:29 pm",Uncle Rico,Noah Gray,Free Agent,Austin Ekeler,"

	
Noah Gray KC - TE
Free Agent
Austin Ekeler Was - RB NA
To Waivers
	
Uncle Rico
Dec 4, 12:29 pm"
2024,"Dec 4, 12:27 pm",Pop Lockett Drop it,Younghoe Koo,Free Agent,Evan McPherson,"

	
Younghoe Koo NYG - K NA
Free Agent
Evan McPherson Cin - K Q
To Waivers
	
Pop Lockett Drop it
Dec 4, 12:27 pm"
2024,"Dec 4, 10:47 am",Pop Lockett Drop it,Will Levis,Free Agent,Jordan Mason,"

	
Will Levis Ten - QB
Free Agent
Jordan Mason Min - RB Q
To Waivers
	
Pop Lockett Drop it
Dec 4, 10:47 am"
2024,"Dec 4, 3:49 am",Post Mahomes,Tyler Bass,Free Agent,Jason Sanders,"

	
Tyler Bass Buf - K
Free Agent
Jason Sanders NYJ - K
To Waivers
	
Post Mahomes
Dec 4, 3:49 am"
2024,"Dec 4, 3:48 am",Post Mahomes,Russell Wilson,Free Agent,,"
	
Russell Wilson NYG - QB NA
Free Agent
	
Post Mahomes
Dec 4, 3:48 am"
2024,"Dec 4, 2:39 am",Pop Lockett Drop it,Saints,Waiver,Cowboys,"

	
Saints NO - DEF
Waiver
Cowboys Dal - DEF
To Waivers
	
Pop Lockett Drop it
Dec 4, 2:39 am"
2024,"Dec 4, 2:39 am",ThreatLevelMidnight,Eagles,Waiver,Texans,"

	
Eagles Phi - DEF
Waiver
Texans Hou - DEF
To Waivers
	
ThreatLevelMidnight
Dec 4, 2:39 am"
2024,"Dec 4, 2:39 am",Pop Lockett Drop it,Evan McPherson,Waiver,Ka'imi Fairbairn,"

	
Evan McPherson Cin - K Q
Waiver
Ka'imi Fairbairn Hou - K
To Waivers
	
Pop Lockett Drop it
Dec 4, 2:39 am"
2024,"Dec 4, 2:39 am",ThreatLevelMidnight,Adam Thielen,Waiver,,"
	
Adam Thielen Pit - WR NA
Waiver
	
ThreatLevelMidnight
Dec 4, 2:39 am"
2024,"Dec 4, 2:39 am",Pop Lockett Drop it,Jordan Mason,Waiver,Roschon Johnson,"

	
Jordan Mason Min - RB Q
Waiver
Roschon Johnson Chi - RB
To Waivers
	
Pop Lockett Drop it
Dec 4, 2:39 am"
2024,"Dec 4, 2:39 am",Patty Primetimes,Isaac Guerendo,Waiver,Tank Bigsby,"

	
Isaac Guerendo SF - RB Q
Waiver
Tank Bigsby Phi - RB
To Waivers
	
Patty Primetimes
Dec 4, 2:39 am"
2024,"Dec 3, 7:24 am",Post Mahomes,,,Taysom Hill,"
	
Taysom Hill NO - QB,TE NA
To Waivers
	
Post Mahomes
Dec 3, 7:24 am"
2024,"Dec 2, 2:40 pm",ThreatLevelMidnight,,,Justin Herbert,"
	
Justin Herbert LAC - QB
To Waivers
	
ThreatLevelMidnight
Dec 2, 2:40 pm"
2024,"Dec 1, 11:47 am",Buttermilk Puuump,Colts,Free Agent,Eagles,"

	
Colts Ind - DEF
Free Agent
Eagles Phi - DEF
To Waivers
	
Buttermilk Puuump
Dec 1, 11:47 am"
2024,"Nov 27, 3:13 pm",Pop Lockett Drop it,Cowboys,Free Agent,Commanders,"

	
Cowboys Dal - DEF
Free Agent
Commanders Was - DEF
To Waivers
	
Pop Lockett Drop it
Nov 27, 3:13 pm"
2024,"Nov 27, 10:31 am",Post Mahomes,Braelon Allen,Free Agent,Cedric Tillman,"

	
Braelon Allen NYJ - RB
Free Agent
Cedric Tillman Cle - WR Q
To Waivers
	
Post Mahomes
Nov 27, 10:31 am"
2024,"Nov 27, 10:30 am",Post Mahomes,Jason Sanders,Free Agent,Austin Seibert,"

	
Jason Sanders NYJ - K
Free Agent
Austin Seibert Was - K NA
To Waivers
	
Post Mahomes
Nov 27, 10:30 am"
2024,"Nov 27, 10:26 am",Patty Primetimes,Packers,Free Agent,Bears,"

	
Packers GB - DEF
Free Agent
Bears Chi - DEF
To Waivers
	
Patty Primetimes
Nov 27, 10:26 am"
2024,"Nov 27, 2:14 am",ThreatLevelMidnight,Gus Edwards,Waiver,,"
	
Gus Edwards LAC - RB NA
Waiver
	
ThreatLevelMidnight
Nov 27, 2:14 am"
2024,"Nov 26, 6:18 am",ThreatLevelMidnight,,,Ricky Pearsall,"
	
Ricky Pearsall SF - WR NA
To Waivers
	
ThreatLevelMidnight
Nov 26, 6:18 am"
2024,"Nov 24, 10:49 am",malle_dips_pouches,Sam LaPorta,Free Agent,Caleb Williams,"

	
Sam LaPorta Det - TE
Free Agent
Caleb Williams Chi - QB Q
To Waivers
	
malle_dips_pouches
Nov 24, 10:49 am"
2024,"Nov 24, 8:29 am",The Big Gronkowski,Ameer Abdullah,Free Agent,Braelon Allen,"

	
Ameer Abdullah Jax - RB Q
Free Agent
Braelon Allen NYJ - RB
To Waivers
	
The Big Gronkowski
Nov 24, 8:29 am"
2024,"Nov 23, 2:11 am",Joe Mantegna,Dalton Schultz,Waiver,Wan'Dale Robinson,"

	
Dalton Schultz Hou - TE
Waiver
Wan'Dale Robinson Ten - WR
To Waivers
	
Joe Mantegna
Nov 23, 2:11 am"
