year,date,team,added_player,acquisition_type,dropped_player,raw_text
2019,"Dec 11, 3:45 am",Pop Lockett Drop it,A.J. Brown,Waiver,Chris Thompson,"

	
A.J. Brown NE - WR
Waiver
Chris Thompson SF - RB NA
To Waivers
	
Pop Lockett Drop it
Dec 11, 3:45 am"
2019,"Dec 11, 3:45 am",ThreatLevelMidnight,DeAndre Washington,Waiver,Rashaad Penny,"

	
DeAndre Washington Mia - RB NA
Waiver
Rashaad Penny Phi - RB NA
To Waivers
	
ThreatLevelMidnight
Dec 11, 3:45 am"
2019,"Dec 10, 5:59 pm",Voldemort,,,A.J. Green,"
	
A.J. Green Ari - WR NA
To Waivers
	
Voldemort
Dec 10, 5:59 pm"
2019,"Dec 10, 10:53 am",Post Mahomes,,,Derrius Guice,"
	
Derrius Guice Was - RB NA
To Waivers
	
Post Mahomes
Dec 10, 10:53 am"
2019,"Dec 8, 2:19 pm",ThreatLevelMidnight,Jacob Hollister,Free Agent,,"

	
Jacob Hollister Car - TE NA
Free Agent
DeAndre Washington Mia - RB NA
To Free Agent
	
ThreatLevelMidnight
Dec 8, 2:19 pm"
2019,"Dec 8, 2:06 pm",Pop Lockett Drop it,Jaylen Samuels,Free Agent,Kyle Allen,"

	
Jaylen Samuels Hou - RB NA
Free Agent
Kyle Allen Buf - QB
To Waivers
	
Pop Lockett Drop it
Dec 8, 2:06 pm"
2019,"Dec 8, 1:55 pm",ThreatLevelMidnight,DeAndre Washington,Free Agent,,"

	
DeAndre Washington Mia - RB NA
Free Agent
Jalen Richard LV - RB NA
To Free Agent
	
ThreatLevelMidnight
Dec 8, 1:55 pm"
2019,"Dec 8, 1:27 pm",ThreatLevelMidnight,Jalen Richard,Free Agent,,"
	
Jalen Richard LV - RB NA
Free Agent
	
ThreatLevelMidnight
Dec 8, 1:27 pm"
2019,"Dec 8, 1:20 pm",ThreatLevelMidnight,,,Curtis Samuel,"
	
Curtis Samuel Buf - WR NA
To Waivers
	
ThreatLevelMidnight
Dec 8, 1:20 pm"
2019,"Dec 6, 6:56 pm",Voldemort,A.J. Green,Free Agent,,"
	
A.J. Green Ari - WR NA
Free Agent
	
Voldemort
Dec 6, 6:56 pm"
2019,"Dec 6, 3:06 pm",Post Mahomes,Patrick Laird,Free Agent,,"
	
Patrick Laird TB - RB NA
Free Agent
	
Post Mahomes
Dec 6, 3:06 pm"
2019,"Dec 6, 9:40 am",malle_dips_pouches,Robbie Gould,Free Agent,Adam Vinatieri,"

	
Robbie Gould SF - K NA
Free Agent
Adam Vinatieri Ind - K NA
To Waivers
	
malle_dips_pouches
Dec 6, 9:40 am"
2019,"Dec 5, 2:41 pm",ThreatLevelMidnight,Zach Pascal,Free Agent,Darius Slayton,"

	
Zach Pascal NYG - WR NA
Free Agent
Darius Slayton NYG - WR
To Waivers
	
ThreatLevelMidnight
Dec 5, 2:41 pm"
