rank,team,record,points_for,points_against,streak,waiver,moves,year,league_id
1,Voldemort,9-5-0,1683.00,1484.40,L-2,9,36,2021,410355
2,ThreatLevelMidnight,11-3-0,1618.28,1468.22,W-4,12,37,2021,410355
3,Post Mahomes,8-6-0,1592.92,1606.62,W-3,10,42,2021,410355
4,Malle ❤️ 🐸,11-3-0,1586.24,1371.46,W-2,6,12,2021,410355
5,The Big Gronkowski,7-7-0,1696.54,1635.06,L-1,1,4,2021,410355
6,Joe Mantegna,9-5-0,1573.76,1410.58,W-7,7,19,2021,410355
7,Uncle Rico,4-10-0,1505.98,1600.50,L-7,4,36,2021,410355
8,Patty Primetimes,6-8-0,1462.18,1615.56,W-1,5,17,2021,410355
9,Pop Lockett Drop it,7-7-0,1443.06,1407.38,W-1,11,28,2021,410355
10,Big Sack Jack,3-11-0,1405.86,1671.22,L-1,2,15,2021,410355
11,Ginger FC,5-9-0,1625.40,1695.50,L-7,8,21,2021,410355
12,malle_dips_pouches,4-10-0,1374.70,1601.42,L-6,3,15,2021,410355
