year,week,target_team_1,target_team_1_score,target_team_2,target_team_2_score,yahoo_team_id,source_url,table_index,row_index,lineup_slot,player,fantasy_points_best_effort,is_starter,is_bench,is_ir,raw_row_text
2022,1,malle_dips_pouches,106.32,Patty Primetimes,104.7,10,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=10,2,1,BN,DeVonta Smith Final W 38-35 @ Det,10.25,False,True,False,"DeVonta Smith Final W 38-35 @ Det | 9.85 | 0.00 | BN | BN | BN | 3.60 | 10.25 | Hunter Renfrow Final L 24-26 vs Cle | 21 Rec Yds, 3 Rec"
2022,1,malle_dips_pouches,106.32,Patty Primetimes,104.7,10,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=10,2,7,IR,(Empty),0.0,False,False,True,(Empty) | 0.00 | – | IR | IR | IR | 0.00 | 0.00 | Michael Gallup Final W 28-22 vs Jax
