year,week,target_team_1,target_team_1_score,target_team_2,target_team_2_score,yahoo_team_id,source_url,table_index,row_index,lineup_slot,player,fantasy_points_best_effort,is_starter,is_bench,is_ir,raw_row_text
2023,1,Uncle Rico,52.38,malle_dips_pouches,80.64,10,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=1&mid1=10,1,6,TE,Chig OkonkwoVideo Forecast Final W 20-16 vs Ari,8.58,True,False,False,"Chig OkonkwoVideo Forecast Final W 20-16 vs Ari | 6.11 | 0.00 | TE | TE | TE | 6.40 | 8.58 | Tyler Higbee Final W 30-13 @ Sea | 49 Rec Yds, 3 Rec"
2023,1,Uncle Rico,52.38,malle_dips_pouches,80.64,10,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=1&mid1=10,2,7,IR,Jeff Wilson Jr. Final W 36-34 @ LAC,0.0,False,False,True,Jeff Wilson Jr. Final W 36-34 @ LAC | 0.00 | 0.00 | IR | IR | IR | 0.00 | 0.00 | Cooper KuppVideo Forecast Final L 13-30 vs LAR
