year,week,target_team_1,target_team_1_score,target_team_2,target_team_2_score,yahoo_team_id,source_url,table_index,row_index,lineup_slot,player,fantasy_points_best_effort,is_starter,is_bench,is_ir,raw_row_text
2023,3,Uncle Rico,116.06,Patty Primetimes,122.66,11,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=3&mid1=11,2,5,BN,Diontae Johnson Final W 27-3 vs Ten,0.0,False,True,False,Diontae Johnson Final W 27-3 vs Ten | 0.00 | 0.00 | BN | BN | BN | 0.00 | 0.00 | Justice Hill Final L 19-22 vs Ind
2023,3,Uncle Rico,116.06,Patty Primetimes,122.66,11,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=3&mid1=11,2,7,IR,Jeff Wilson Jr. Final W 70-20 vs Den,0.0,False,False,True,Jeff Wilson Jr. Final W 70-20 vs Den | 0.00 | 0.00 | IR | IR | IR | – | 0.00 | (Empty)
