year,week,target_team_1,target_team_1_score,target_team_2,target_team_2_score,yahoo_team_id,source_url,table_index,row_index,lineup_slot,player,fantasy_points_best_effort,is_starter,is_bench,is_ir,raw_row_text
2023,14,Uncle Rico,75.22,Patty Primetimes,85.8,11,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,1,7,W/R/T,Gabe Davis Final W 20-17 @ KC,12.78,True,False,False,"Gabe Davis Final W 20-17 @ KC | 8.29 | 0.00 | W/R/T | W/R/T | W/R/T | 15.50 | 12.78 | Michael Pittman Jr. Final L 18-21 vs NE | 95 Rec Yds, 8 Rec, 1 2-PT"
2023,14,Uncle Rico,75.22,Patty Primetimes,85.8,11,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,2,6,BN,(Empty),4.19,False,True,False,"(Empty) | 0.00 | – | BN | BN | BN | 10.00 | 4.19 | Eagles - DEF Final L 13-33 @ Dal | 1 TD, 3 Sack, 1 Fum Rec"
2023,14,Uncle Rico,75.22,Patty Primetimes,85.8,11,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,2,7,IR,Tank DellVideo Forecast Final L 6-30 @ NYJ,0.0,False,False,True,Tank DellVideo Forecast Final L 6-30 @ NYJ | 0.00 | 0.00 | IR | IR | IR | 0.00 | 0.00 | Anthony Richardson Sr. Final L 14-34 @ Cin
