year,week,target_team_1,target_team_1_score,target_team_2,target_team_2_score,yahoo_team_id,source_url,table_index,row_index,lineup_slot,player,fantasy_points_best_effort,is_starter,is_bench,is_ir,raw_row_text
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,1,QB,Lamar Jackson,31.7,True,False,False,Lamar Jackson | 30.09 | 38.64 | QB | QB | QB | 11.56 | 31.70 | Josh Allen 
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,2,WR,Ja'Marr Chase,11.72,True,False,False,Ja'Marr Chase | 14.31 | 5.90 | WR | WR | WR | 20.10 | 11.72 | DeVonta Smith
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,3,WR,Van Jefferson,11.51,True,False,False,Van Jefferson | 8.97 | 5.60 | WR | WR | WR | 10.80 | 11.51 | Tee Higgins
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,4,RB,Khalil Herbert,18.67,True,False,False,Khalil Herbert | 5.22 | 1.30 | RB | RB | RB | 18.40 | 18.67 | Alvin Kamara
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,5,RB,Boston Scott,10.86,True,False,False,Boston Scott | 8.77 | 4.00 | RB | RB | RB | 5.00 | 10.86 | Jeremy McNichols
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,6,TE,Mark Andrews,11.84,True,False,False,Mark Andrews | 13.19 | 6.90 | TE | TE | TE | 7.40 | 11.84 | Mike Gesicki
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,7,W/R/T,Christian McCaffrey,10.36,True,False,False,Christian McCaffrey | 11.43 | 12.60 | W/R/T | W/R/T | W/R/T | 5.50 | 10.36 | Julio Jones
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,8,K,Graham Gano,9.94,True,False,False,Graham Gano | 8.17 | 11.00 | K | K | K | 12.00 | 9.94 | Matt Gay
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,1,9,DEF,Dolphins - DEF,8.64,True,False,False,Dolphins - DEF | 8.00 | 17.00 | DEF | DEF | DEF | 20.00 | 8.64 | Patriots - DEF
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,2,1,BN,Bryan Edwards,0.0,False,True,False,Bryan Edwards | 7.92 | 0.00 | BN | BN | BN | – | 0.00 | Chris Carson
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,2,2,BN,Allen Robinson,8.2,False,True,False,Allen Robinson | 7.59 | 8.80 | BN | BN | BN | 5.00 | 8.20 | Rondale Moore
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,2,3,BN,Randall Cobb,0.0,False,True,False,Randall Cobb | 5.21 | 6.50 | BN | BN | BN | – | 0.00 | Alex Collins
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,2,4,BN,Latavius Murray,7.92,False,True,False,Latavius Murray | 0.00 | 0.00 | BN | BN | BN | 8.90 | 7.92 | Hunter Henry
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,2,5,BN,Antonio Brown,23.45,False,True,False,Antonio Brown | 0.00 | – | BN | BN | BN | 14.34 | 23.45 | Derek Carr
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,2,6,BN,Tim Patrick,0.0,False,True,False,Tim Patrick | 7.16 | 16.50 | BN | BN | BN | 0.00 | 0.00 | Clyde Edwards-Helaire
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,2,7,IR,Derrick Henry ,0.0,False,False,True,Derrick Henry  | 0.00 | 0.00 | IR | IR | IR | 0.00 | 0.00 | Travis Etienne Jr.
