year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2019,2,2019-W02-M01,1,1,The Big Gronkowski,Voldemort,72.32,96.92,32,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=2&mid1=1
2019,2,2019-W02-M02,2,2,Malle ❤️ 🐸,Uncle Rico,84.12,96.4,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=2&mid1=2
2019,2,2019-W02-M03,3,4,malle_dips_pouches,Joe Mantegna,76.74,89.66,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=2&mid1=4
2019,2,2019-W02-M04,4,5,Week 2 Recap (Won),Patty Primetimes,122.38,115.66,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=2&mid1=5
2019,2,2019-W02-M05,5,6,ThreatLevelMidnight,Ginger FC,106.22,74.8,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=2&mid1=6
2019,2,2019-W02-M06,6,7,Pop Lockett Drop it,Post Mahomes,117.5,76.06,32,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=2&mid1=7
