year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2021,1,2021-W01-M01,1,4,Joe Mantegna,malle_dips_pouches,107.28,98.48,30,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=1&mid1=4
2021,1,2021-W01-M02,2,6,Pop Lockett Drop it,Ginger FC,103.44,120.32,30,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=1&mid1=6
2021,1,2021-W01-M03,3,7,Post Mahomes,Patty Primetimes,109.06,103.1,34,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=1&mid1=7
2021,1,2021-W01-M04,4,1,The Big Gronkowski,Malle ❤️ 🐸,139.34,140.56,30,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=1&mid1=1
2021,1,2021-W01-M05,5,5,ThreatLevelMidnight,Big Sack Jack,138.26,129.38,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=1&mid1=5
2021,1,2021-W01-M06,6,3,Uncle Rico,Voldemort,102.4,127.66,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=1&mid1=3
2021,2,2021-W02-M01,1,2,Malle ❤️ 🐸,Patty Primetimes,127.84,91.36,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=2&mid1=2
2021,2,2021-W02-M02,2,6,Pop Lockett Drop it,Big Sack Jack,116.82,109.02,30,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=2&mid1=6
2021,2,2021-W02-M03,3,7,Post Mahomes,Ginger FC,119.6,129.6,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=2&mid1=7
2021,2,2021-W02-M04,4,1,The Big Gronkowski,Voldemort,137.42,92.88,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=2&mid1=1
2021,2,2021-W02-M05,5,5,ThreatLevelMidnight,malle_dips_pouches,108.52,121.28,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=2&mid1=5
