year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2017,1,2017-W01-M01,1,1,The Big Gronkowski,Malle ❤️ 🐸,108.02,78.62,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=1&mid1=1
2017,1,2017-W01-M02,2,3,Voldemort,Big Sack Jack,98.88,61.7,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=1&mid1=3
2017,1,2017-W01-M03,3,4,Ur The Best Bellows,Hello Harvard,48.22,132.38,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=1&mid1=4
2017,1,2017-W01-M04,4,5,Dillon Panthers,Ginger FC,65.24,71.94,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=1&mid1=5
2017,1,2017-W01-M05,5,6,Little Red Fournette,Pop Lockett Drop it,103.54,58.74,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=1&mid1=6
2017,1,2017-W01-M06,6,7,PickUpYourBratsMalle,malle_dips_pouches,82.12,68.68,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=1&mid1=7
2017,2,2017-W02-M01,1,1,The Big Gronkowski,Voldemort,97.32,110.38,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=2&mid1=1
2017,2,2017-W02-M02,2,2,Malle ❤️ 🐸,malle_dips_pouches,59.12,125.6,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=2&mid1=2
2017,2,2017-W02-M03,3,4,Ur The Best Bellows,Big Sack Jack,80.08,73.54,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=2&mid1=4
2017,2,2017-W02-M04,4,5,Dillon Panthers,Hello Harvard,131.92,61.28,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=2&mid1=5
2017,2,2017-W02-M05,5,6,Pop Lockett Drop it,Ginger FC,68.78,92.8,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=2&mid1=6
2017,2,2017-W02-M06,6,7,Little Red Fournette,PickUpYourBratsMalle,81.54,96.02,32,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=2&mid1=7
2017,3,2017-W03-M01,1,1,The Big Gronkowski,Ur The Best Bellows,71.3,105.22,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=3&mid1=1
2017,3,2017-W03-M02,2,2,Malle ❤️ 🐸,Voldemort,84.34,141.02,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=3&mid1=2
2017,3,2017-W03-M03,3,5,Dillon Panthers,Big Sack Jack,84.42,98.98,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=3&mid1=5
2017,3,2017-W03-M04,4,6,Pop Lockett Drop it,Hello Harvard,71.26,69.86,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=3&mid1=6
2017,3,2017-W03-M05,5,7,PickUpYourBratsMalle,Ginger FC,76.72,66.76,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=3&mid1=7
2017,3,2017-W03-M06,6,8,Little Red Fournette,malle_dips_pouches,113.8,88.42,32,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=3&mid1=8
2017,4,2017-W04-M01,1,1,The Big Gronkowski,Dillon Panthers,90.24,71.06,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=4&mid1=1
2017,4,2017-W04-M02,2,2,Malle ❤️ 🐸,Ur The Best Bellows,60.88,104.78,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=4&mid1=2
2017,4,2017-W04-M03,3,3,Voldemort,malle_dips_pouches,107.68,96.12,32,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=4&mid1=3
2017,4,2017-W04-M04,4,6,Pop Lockett Drop it,Big Sack Jack,90.18,71.88,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=4&mid1=6
2017,4,2017-W04-M05,5,7,PickUpYourBratsMalle,Hello Harvard,104.88,73.06,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=4&mid1=7
2017,4,2017-W04-M06,6,8,Little Red Fournette,Ginger FC,106.42,100.46,32,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=4&mid1=8
2017,5,2017-W05-M01,1,1,The Big Gronkowski,Pop Lockett Drop it,80.48,89.9,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=5&mid1=1
2017,5,2017-W05-M02,2,2,Malle ❤️ 🐸,Dillon Panthers,100.16,72.54,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=5&mid1=2
