year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,matchup_number,yahoo_team_id_used,team_score,opponent_score
2018,13,1,0,left,The Big Gronkowski,Voldemort,2018-W13-M01,Philip Rivers,QB,QB,True,False,False,24.69,27.96,,Philip Rivers,QB,"["""", ""Philip Rivers"", ""24.69"", ""27.96"", ""QB"", ""QB"", ""QB"", ""16.50"", ""21.86"", ""Lamar Jackson"", """"]",1,1,91.76,93.0
2018,13,1,0,right,Voldemort,The Big Gronkowski,2018-W13-M01,Lamar Jackson,QB,QB,True,False,False,21.86,16.5,,Lamar Jackson,QB,"["""", ""Philip Rivers"", ""24.69"", ""27.96"", ""QB"", ""QB"", ""QB"", ""16.50"", ""21.86"", ""Lamar Jackson"", """"]",1,1,93.0,91.76
2018,13,1,1,left,The Big Gronkowski,Voldemort,2018-W13-M01,JuJu Smith-Schuster,WR,WR,True,False,False,12.28,4.9,,JuJu Smith-Schuster,WR,"["""", ""JuJu Smith-Schuster"", ""12.28"", ""4.90"", ""WR"", ""WR"", ""WR"", ""6.00"", ""9.88"", ""Julian Edelman"", """"]",1,1,91.76,93.0
2018,13,1,1,right,Voldemort,The Big Gronkowski,2018-W13-M01,Julian Edelman,WR,WR,True,False,False,9.88,6.0,,Julian Edelman,WR,"["""", ""JuJu Smith-Schuster"", ""12.28"", ""4.90"", ""WR"", ""WR"", ""WR"", ""6.00"", ""9.88"", ""Julian Edelman"", """"]",1,1,93.0,91.76
2018,13,1,2,left,The Big Gronkowski,Voldemort,2018-W13-M01,Brandin Cooks,WR,WR,True,False,False,11.51,6.2,,Brandin Cooks,WR,"["""", ""Brandin Cooks"", ""11.51"", ""6.20"", ""WR"", ""WR"", ""WR"", ""12.10"", ""7.20"", ""Adam Humphries"", """"]",1,1,91.76,93.0
2018,13,1,2,right,Voldemort,The Big Gronkowski,2018-W13-M01,Adam Humphries,WR,WR,True,False,False,7.2,12.1,,Adam Humphries,WR,"["""", ""Brandin Cooks"", ""11.51"", ""6.20"", ""WR"", ""WR"", ""WR"", ""12.10"", ""7.20"", ""Adam Humphries"", """"]",1,1,93.0,91.76
2018,13,1,3,left,The Big Gronkowski,Voldemort,2018-W13-M01,Christian McCaffrey,RB,RB,True,False,False,18.24,22.1,,Christian McCaffrey,RB,"["""", ""Christian McCaffrey"", ""18.24"", ""22.10"", ""RB"", ""RB"", ""RB"", ""19.40"", ""15.19"", ""James Conner"", """"]",1,1,91.76,93.0
2018,13,1,3,right,Voldemort,The Big Gronkowski,2018-W13-M01,James Conner,RB,RB,True,False,False,15.19,19.4,,James Conner,RB,"["""", ""Christian McCaffrey"", ""18.24"", ""22.10"", ""RB"", ""RB"", ""RB"", ""19.40"", ""15.19"", ""James Conner"", """"]",1,1,93.0,91.76
2018,13,1,4,left,The Big Gronkowski,Voldemort,2018-W13-M01,Dalvin Cook,RB,RB,True,False,False,11.32,10.6,,Dalvin Cook,RB,"["""", ""Dalvin Cook"", ""11.32"", ""10.60"", ""RB"", ""RB"", ""RB"", ""8.20"", ""10.93"", ""Gus Edwards"", """"]",1,1,91.76,93.0
2018,13,1,4,right,Voldemort,The Big Gronkowski,2018-W13-M01,Gus Edwards,RB,RB,True,False,False,10.93,8.2,,Gus Edwards,RB,"["""", ""Dalvin Cook"", ""11.32"", ""10.60"", ""RB"", ""RB"", ""RB"", ""8.20"", ""10.93"", ""Gus Edwards"", """"]",1,1,93.0,91.76
2018,13,1,5,left,The Big Gronkowski,Voldemort,2018-W13-M01,David Njoku,TE,TE,True,False,False,6.29,0.8,,David Njoku,TE,"["""", ""David Njoku"", ""6.29"", ""0.80"", ""TE"", ""TE"", ""TE"", ""2.60"", ""8.88"", ""Rob Gronkowski"", """"]",1,1,91.76,93.0
2018,13,1,5,right,Voldemort,The Big Gronkowski,2018-W13-M01,Rob Gronkowski,TE,TE,True,False,False,8.88,2.6,,Rob Gronkowski,TE,"["""", ""David Njoku"", ""6.29"", ""0.80"", ""TE"", ""TE"", ""TE"", ""2.60"", ""8.88"", ""Rob Gronkowski"", """"]",1,1,93.0,91.76
2018,13,1,6,left,The Big Gronkowski,Voldemort,2018-W13-M01,Calvin Ridley,,W/R/T,True,False,False,7.92,2.2,,Calvin Ridley,W/R/T,"["""", ""Calvin Ridley"", ""7.92"", ""2.20"", ""W/R/T"", ""W/R/T"", ""W/R/T"", ""11.20"", ""12.03"", ""Spencer Ware"", """"]",1,1,91.76,93.0
2018,13,1,6,right,Voldemort,The Big Gronkowski,2018-W13-M01,Spencer Ware,,W/R/T,True,False,False,12.03,11.2,,Spencer Ware,W/R/T,"["""", ""Calvin Ridley"", ""7.92"", ""2.20"", ""W/R/T"", ""W/R/T"", ""W/R/T"", ""11.20"", ""12.03"", ""Spencer Ware"", """"]",1,1,93.0,91.76
2018,13,1,7,left,The Big Gronkowski,Voldemort,2018-W13-M01,Sebastian Janikowski,K,K,True,False,False,10.29,8.0,,Sebastian Janikowski,K,"["""", ""Sebastian Janikowski"", ""10.29"", ""8.00"", ""K"", ""K"", ""K"", ""14.00"", ""12.18"", ""Greg Zuerlein"", """"]",1,1,91.76,93.0
2018,13,1,7,right,Voldemort,The Big Gronkowski,2018-W13-M01,Greg Zuerlein,K,K,True,False,False,12.18,14.0,,Greg Zuerlein,K,"["""", ""Sebastian Janikowski"", ""10.29"", ""8.00"", ""K"", ""K"", ""K"", ""14.00"", ""12.18"", ""Greg Zuerlein"", """"]",1,1,93.0,91.76
2018,13,1,8,left,The Big Gronkowski,Voldemort,2018-W13-M01,Dolphins - DEF,DEF,DEF,True,False,False,8.36,9.0,,Dolphins - DEF,DEF,"["""", ""Dolphins - DEF"", ""8.36"", ""9.00"", ""DEF"", ""DEF"", ""DEF"", ""3.00"", ""8.99"", ""Packers - DEF"", """"]",1,1,91.76,93.0
2018,13,1,8,right,Voldemort,The Big Gronkowski,2018-W13-M01,Packers - DEF,DEF,DEF,True,False,False,8.99,3.0,,Packers - DEF,DEF,"["""", ""Dolphins - DEF"", ""8.36"", ""9.00"", ""DEF"", ""DEF"", ""DEF"", ""3.00"", ""8.99"", ""Packers - DEF"", """"]",1,1,93.0,91.76
2018,13,2,0,left,The Big Gronkowski,Voldemort,2018-W13-M01,Larry Fitzgerald,,BN,False,True,False,7.28,4.8,,Larry Fitzgerald,BN,"["""", ""Larry Fitzgerald"", ""7.28"", ""4.80"", ""BN"", ""BN"", ""BN"", ""4.90"", ""11.87"", ""Stefon Diggs"", """"]",1,1,91.76,93.0
2018,13,2,0,right,Voldemort,The Big Gronkowski,2018-W13-M01,Stefon Diggs,,BN,False,True,False,11.87,4.9,,Stefon Diggs,BN,"["""", ""Larry Fitzgerald"", ""7.28"", ""4.80"", ""BN"", ""BN"", ""BN"", ""4.90"", ""11.87"", ""Stefon Diggs"", """"]",1,1,93.0,91.76
2018,13,2,1,left,The Big Gronkowski,Voldemort,2018-W13-M01,Vance McDonald,,BN,False,True,False,5.53,2.8,,Vance McDonald,BN,"["""", ""Vance McDonald"", ""5.53"", ""2.80"", ""BN"", ""BN"", ""BN"", ""5.70"", ""11.82"", ""Matt Breida"", """"]",1,1,91.76,93.0
2018,13,2,1,right,Voldemort,The Big Gronkowski,2018-W13-M01,Matt Breida,,BN,False,True,False,11.82,5.7,,Matt Breida,BN,"["""", ""Vance McDonald"", ""5.53"", ""2.80"", ""BN"", ""BN"", ""BN"", ""5.70"", ""11.82"", ""Matt Breida"", """"]",1,1,93.0,91.76
2018,13,2,2,left,The Big Gronkowski,Voldemort,2018-W13-M01,Jalen Richard,,BN,False,True,False,6.42,10.6,,Jalen Richard,BN,"["""", ""Jalen Richard"", ""6.42"", ""10.60"", ""BN"", ""BN"", ""BN"", ""17.94"", ""23.99"", ""Tom Brady"", """"]",1,1,91.76,93.0
2018,13,2,2,right,Voldemort,The Big Gronkowski,2018-W13-M01,Tom Brady,,BN,False,True,False,23.99,17.94,,Tom Brady,BN,"["""", ""Jalen Richard"", ""6.42"", ""10.60"", ""BN"", ""BN"", ""BN"", ""17.94"", ""23.99"", ""Tom Brady"", """"]",1,1,93.0,91.76
2018,13,2,3,left,The Big Gronkowski,Voldemort,2018-W13-M01,Mitchell Trubisky,,BN,False,True,False,0.0,0.0,,Mitchell Trubisky,BN,"["""", ""Mitchell Trubisky"", ""0.00"", ""0.00"", ""BN"", ""BN"", ""BN"", ""3.30"", ""11.22"", ""Marlon Mack"", """"]",1,1,91.76,93.0
2018,13,2,3,right,Voldemort,The Big Gronkowski,2018-W13-M01,Marlon Mack,,BN,False,True,False,11.22,3.3,,Marlon Mack,BN,"["""", ""Mitchell Trubisky"", ""0.00"", ""0.00"", ""BN"", ""BN"", ""BN"", ""3.30"", ""11.22"", ""Marlon Mack"", """"]",1,1,93.0,91.76
2018,13,2,4,left,The Big Gronkowski,Voldemort,2018-W13-M01,Matt Bryant,,BN,False,True,False,10.61,5.0,,Matt Bryant,BN,"["""", ""Matt Bryant"", ""10.61"", ""5.00"", ""BN"", ""BN"", ""BN"", ""1.30"", ""5.87"", ""Greg Olsen"", """"]",1,1,91.76,93.0
2018,13,2,4,right,Voldemort,The Big Gronkowski,2018-W13-M01,Greg Olsen,,BN,False,True,False,5.87,1.3,,Greg Olsen,BN,"["""", ""Matt Bryant"", ""10.61"", ""5.00"", ""BN"", ""BN"", ""BN"", ""1.30"", ""5.87"", ""Greg Olsen"", """"]",1,1,93.0,91.76
2018,13,2,5,left,The Big Gronkowski,Voldemort,2018-W13-M01,Browns - DEF,,BN,False,True,False,6.69,4.0,,Browns - DEF,BN,"["""", ""Browns - DEF"", ""6.69"", ""4.00"", ""BN"", ""BN"", ""BN"", ""14.00"", ""8.88"", ""Broncos - DEF"", """"]",1,1,91.76,93.0
2018,13,2,5,right,Voldemort,The Big Gronkowski,2018-W13-M01,Broncos - DEF,,BN,False,True,False,8.88,14.0,,Broncos - DEF,BN,"["""", ""Browns - DEF"", ""6.69"", ""4.00"", ""BN"", ""BN"", ""BN"", ""14.00"", ""8.88"", ""Broncos - DEF"", """"]",1,1,93.0,91.76
2018,13,1,0,left,malle_dips_pouches,Malle ❤️ 🐸,2018-W13-M02,Andrew Luck,QB,QB,True,False,False,24.92,10.52,,Andrew Luck,QB,"["""", ""Andrew Luck"", ""24.92"", ""10.52"", ""QB"", ""QB"", ""QB"", ""11.08"", ""25.72"", ""Jared Goff"", """"]",2,2,54.72,72.58
2018,13,1,0,right,Malle ❤️ 🐸,malle_dips_pouches,2018-W13-M02,Jared Goff,QB,QB,True,False,False,25.72,11.08,,Jared Goff,QB,"["""", ""Andrew Luck"", ""24.92"", ""10.52"", ""QB"", ""QB"", ""QB"", ""11.08"", ""25.72"", ""Jared Goff"", """"]",2,2,72.58,54.72
