year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2017,13,2017-W13-M01,1,1,The Big Gronkowski,Voldemort,92.2,94.12,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=13&mid1=1
2017,13,2017-W13-M02,2,2,Malle ❤️ 🐸,malle_dips_pouches,67.98,87.58,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=13&mid1=2
2017,13,2017-W13-M03,3,4,Ur The Best Bellows,Big Sack Jack,69.7,102.56,32,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=13&mid1=4
2017,13,2017-W13-M04,4,5,Dillon Panthers,Hello Harvard,130.86,69.48,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=13&mid1=5
2017,13,2017-W13-M05,5,6,Pop Lockett Drop it,Ginger FC,85.92,103.18,30,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=13&mid1=6
2017,13,2017-W13-M06,6,7,Little Red Fournette,PickUpYourBratsMalle,100.96,97.58,32,2,https://football.fantasysports.yahoo.com/2017/f1/1121308/matchup?week=13&mid1=7
