year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2018,4,2018-W04-M01,1,1,Week 4 Recap (Won),The Big Gronkowski,98.5,93.18,30,2,https://football.fantasysports.yahoo.com/2018/f1/941496/matchup?week=4&mid1=1
2018,4,2018-W04-M02,2,2,Joe Mantegna,Malle ❤️ 🐸,77.46,131.56,32,2,https://football.fantasysports.yahoo.com/2018/f1/941496/matchup?week=4&mid1=2
2018,4,2018-W04-M03,3,3,malle_dips_pouches,Voldemort,93.16,112.2,32,2,https://football.fantasysports.yahoo.com/2018/f1/941496/matchup?week=4&mid1=3
2018,4,2018-W04-M04,4,5,Week 4 Recap (Lost),Dillon Panthers,93.18,98.5,30,2,https://football.fantasysports.yahoo.com/2018/f1/941496/matchup?week=4&mid1=5
2018,4,2018-W04-M05,5,6,Week 4 Recap (Won),PickUpYourBratsMalle,154.38,130.98,30,2,https://football.fantasysports.yahoo.com/2018/f1/941496/matchup?week=4&mid1=6
2018,4,2018-W04-M06,6,7,Pop Lockett Drop it,Uncle Rico,84.62,158.96,30,2,https://football.fantasysports.yahoo.com/2018/f1/941496/matchup?week=4&mid1=7
2018,4,2018-W04-M07,7,8,Post Mahomes,Ginger FC,152.36,110.52,32,2,https://football.fantasysports.yahoo.com/2018/f1/941496/matchup?week=4&mid1=8
