year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2023,13,2023-W13-M01,1,1,The Big Gronkowski,Voldemort,114.08,132.88,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=13&mid1=1
2023,13,2023-W13-M02,2,2,Patty Primetimes,Malle ❤️ 🐸,127.72,134.9,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=13&mid1=2
2023,13,2023-W13-M03,3,4,Week 13 Recap (Won),Joe Mantegna,92.88,91.06,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=13&mid1=4
2023,13,2023-W13-M04,4,5,ThreatLevelMidnight,Uncle Rico,94.1,146.82,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=13&mid1=5
2023,13,2023-W13-M05,5,6,Pop Lockett Drop it,Ginger FC,102.16,116.46,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=13&mid1=6
2023,13,2023-W13-M06,6,7,malle_dips_pouches,Post Mahomes,102.3,109.84,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=13&mid1=7
