year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,matchup_number,team_score,opponent_score,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,player_key,player_id,nfl_team,source
2021,1,,1,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,Patrick Mahomes,QB,QB,True,False,False,,39.28,,Patrick Mahomes,QB,,406.p.30123,30123,KC,yahoo_fantasy_api
2021,1,,2,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,DJ Moore,WR,WR,True,False,False,,12.4,,DJ Moore,WR,,406.p.30994,30994,Buf,yahoo_fantasy_api
2021,1,,3,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,JuJu Smith-Schuster,WR,WR,True,False,False,,7.2,,JuJu Smith-Schuster,WR,,406.p.30175,30175,NYG,yahoo_fantasy_api
2021,1,,4,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,Josh Jacobs,RB,RB,True,False,False,,16.5,,Josh Jacobs,RB,,406.p.31856,31856,GB,yahoo_fantasy_api
2021,1,,5,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,James Robinson,RB,RB,True,False,False,,6.9,,James Robinson,RB,,406.p.33138,33138,NO,yahoo_fantasy_api
2021,1,,6,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,Robert Tonyan,TE,TE,True,False,False,,1.8,,Robert Tonyan,TE,,406.p.30777,30777,Pit,yahoo_fantasy_api
2021,1,,7,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,Melvin Gordon III,RB,W/R/T,True,False,False,,19.3,,Melvin Gordon III,RB,,406.p.28403,28403,Bal,yahoo_fantasy_api
2021,1,,8,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,Mecole Hardman Jr.,WR,BN,False,True,False,,3.4,,Mecole Hardman Jr.,WR,,406.p.31888,31888,Buf,yahoo_fantasy_api
2021,1,,9,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,Marquez Callaway,WR,BN,False,True,False,,1.9,,Marquez Callaway,WR,,406.p.33109,33109,LV,yahoo_fantasy_api
2021,1,,10,api,Big Sack Jack,ThreatLevelMidnight,2021-W01-04,4,129.38,138.26,Jalen Reagor,WR,BN,False,True,False,,13.9,,Jalen Reagor,WR,,406.p.32691,32691,Mia,yahoo_fantasy_api
